experiment_id,stage,seed,variant,source_clients,target_clients,split_protocol,classifier_checkpoint,source_prior,target_head,primary_metric,status,result_path,notes
B5-MS-CLS-S42,M2,42,B5,C1;C2,C5,"frozen split seed42; C5 test=1360","existing canonical checkpoint","none","classification logits","Accuracy;Macro-F1;NLL;ECE",completed_reference,results/iotj_b5_multiseed_20260724/seed42_reference,"do not retrain"
B5-MS-CLS-S43,M1-M2,43,B5,C1;C2,C5,"same as seed42","pending new round25 adapted","none","classification logits","Accuracy;Macro-F1;NLL;ECE",registered,results/iotj_b5_multiseed_20260724/seed43,"real ECS+Pi+ECS-C2 topology"
B5-MS-CLS-S44,M1-M2,44,B5,C1;C2,C5,"same as seed42","pending new round25 adapted","none","classification logits","Accuracy;Macro-F1;NLL;ECE",registered,results/iotj_b5_multiseed_20260724/seed44,"real ECS+Pi+ECS-C2 topology"
B5-MS-CLS-S45,M1-M2,45,B5,C1;C2,C5,"same as seed42","pending new round25 adapted","none","classification logits","Accuracy;Macro-F1;NLL;ECE",registered,results/iotj_b5_multiseed_20260724/seed45,"real ECS+Pi+ECS-C2 topology"
B5-MS-CLS-S46,M1-M2,46,B5,C1;C2,C5,"same as seed42","pending new round25 adapted","none","classification logits","Accuracy;Macro-F1;NLL;ECE",registered,results/iotj_b5_multiseed_20260724/seed46,"real ECS+Pi+ECS-C2 topology"
B5-MS-RG0-S42,M3,42,RG0_RICH_ONLY,C1;C2,C5,"C5 calibration/test=320/1360","B5 seed42","none","104D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed42/RG0,"test evaluation only"
B5-MS-RG1-S42,M3,42,RG1_FEDERATED_H1,C1;C2,C5,"C5 calibration/test=320/1360","B5 seed42","fixed sufficient-statistics H1","105D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed42/RG1,"practical-equivalence H1 asset"
B5-MS-RG2-S42,M3,42,RG2_ALL_PRIOR,C1;C2,C5,"C5 calibration/test=320/1360","B5 seed42","fixed pooled H1/H2/H3","107D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed42/RG2,"runtime-v4 R4 source heads"
B5-MS-RG0-S43,M3,43,RG0_RICH_ONLY,C1;C2,C5,"same frozen split","pending B5 seed43","none","104D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed43/RG0,"same route within seed"
B5-MS-RG1-S43,M3,43,RG1_FEDERATED_H1,C1;C2,C5,"same frozen split","pending B5 seed43","fixed sufficient-statistics H1","105D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed43/RG1,"same route within seed"
B5-MS-RG2-S43,M3,43,RG2_ALL_PRIOR,C1;C2,C5,"same frozen split","pending B5 seed43","fixed pooled H1/H2/H3","107D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed43/RG2,"same route within seed"
B5-MS-RG0-S44,M3,44,RG0_RICH_ONLY,C1;C2,C5,"same frozen split","pending B5 seed44","none","104D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed44/RG0,"same route within seed"
B5-MS-RG1-S44,M3,44,RG1_FEDERATED_H1,C1;C2,C5,"same frozen split","pending B5 seed44","fixed sufficient-statistics H1","105D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed44/RG1,"same route within seed"
B5-MS-RG2-S44,M3,44,RG2_ALL_PRIOR,C1;C2,C5,"same frozen split","pending B5 seed44","fixed pooled H1/H2/H3","107D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed44/RG2,"same route within seed"
B5-MS-RG0-S45,M3,45,RG0_RICH_ONLY,C1;C2,C5,"same frozen split","pending B5 seed45","none","104D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed45/RG0,"same route within seed"
B5-MS-RG1-S45,M3,45,RG1_FEDERATED_H1,C1;C2,C5,"same frozen split","pending B5 seed45","fixed sufficient-statistics H1","105D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed45/RG1,"same route within seed"
B5-MS-RG2-S45,M3,45,RG2_ALL_PRIOR,C1;C2,C5,"same frozen split","pending B5 seed45","fixed pooled H1/H2/H3","107D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed45/RG2,"same route within seed"
B5-MS-RG0-S46,M3,46,RG0_RICH_ONLY,C1;C2,C5,"same frozen split","pending B5 seed46","none","104D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed46/RG0,"same route within seed"
B5-MS-RG1-S46,M3,46,RG1_FEDERATED_H1,C1;C2,C5,"same frozen split","pending B5 seed46","fixed sufficient-statistics H1","105D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed46/RG1,"same route within seed"
B5-MS-RG2-S46,M3,46,RG2_ALL_PRIOR,C1;C2,C5,"same frozen split","pending B5 seed46","fixed pooled H1/H2/H3","107D per-gas Ridge","S_CC RMSE",registered,results/iotj_b5_multiseed_20260724/regression/seed46/RG2,"same route within seed"
