scope,gas,variant,input_dimension,N,RMSE,NRMSE_range,MAE,P90AE,Bias,R2,absolute_RMSE_gain_vs_83D,relative_RMSE_reduction_vs_83D
C3,ALL,R83_TARGET_ONLY,83,2677,10.508412669520872,0.057919820324851566,5.96910026150987,14.208695464699247,0.3889749617543881,0.9749535126481567,0.0,0.0
C3,ALL,R84_FED_H1,84,2677,9.332731018185996,0.05567242206126857,5.505235803628614,12.905684597033414,0.2403032491643125,0.9802444062802769,1.1756816513348767,0.11188004204906063
C3,Ethanol,R83_TARGET_ONLY,83,670,5.397750316206245,0.04798000281072217,4.062295147768949,8.855086444662774,0.444703244533575,0.9773977534245977,0.0,0.0
C3,Ethanol,R84_FED_H1,84,670,7.055720036478466,0.06271751143536414,5.515853591902374,11.795055055790868,0.2679757710144995,0.9613803169100306,-1.657969720272221,-0.30715939477495297
C3,CO,R83_TARGET_ONLY,83,667,17.977288678113055,0.07989906079161357,11.401741468008327,22.639060055683302,0.5326172348607353,0.9375715852079745,0.0,0.0
C3,CO,R84_FED_H1,84,667,15.089296370682753,0.06706353942525668,8.976835299207405,19.82084357912575,0.2673904596323244,0.9560183113425881,2.887992307430302,0.1606467114780422
C3,Ethylene,R83_TARGET_ONLY,83,670,7.0698376906385505,0.0628430016945649,4.244402393279487,8.969113093110309,0.1951060119247048,0.9612256155368933,0.0,0.0
C3,Ethylene,R84_FED_H1,84,670,6.571926641168458,0.05841712569927518,3.9741966257582027,9.444023624680696,0.00520553245255372,0.9664948598094354,0.49791104947009224,0.07042750785203963
C3,Methane,R83_TARGET_ONLY,83,670,6.352823407025825,0.028234770697892556,4.192287296116292,10.349019220030527,0.38411653005573015,0.9921729231048039,0.0,0.0
C3,Methane,R84_FED_H1,84,670,5.326227283356914,0.023672121259364062,3.5696021729998146,9.090340636804484,0.42076251957489263,0.9944981920826229,1.0265961236689112,0.16159682992817967
C4,ALL,R83_TARGET_ONLY,83,1360,13.613733482049156,0.0688985950488261,6.206575541299651,15.655833383525078,0.30206349815426264,0.9579197895645338,0.0,0.0
C4,ALL,R84_FED_H1,84,1360,13.807982479383819,0.06831368580337005,6.4781853906313085,16.22583150524389,0.3835650029443429,0.9567103704490922,-0.19424899733466283,-0.014268605859722195
C4,Ethanol,R83_TARGET_ONLY,83,340,7.992238880900649,0.07104212338578356,2.72153820439853,5.488797260962258,-0.2765503813260191,0.9504478003747839,0.0,0.0
C4,Ethanol,R84_FED_H1,84,340,7.237602148903644,0.06433424132358793,3.0780005555378125,5.942787041389636,0.2082884775471119,0.9593635802253074,0.7546367319970049,0.0944211932654301
C4,CO,R83_TARGET_ONLY,83,340,23.574387351292955,0.10477505489463536,12.448987481736342,26.120413950997502,0.465215039162704,0.8922178445597476,0.0,0.0
C4,CO,R84_FED_H1,84,340,24.33497855688953,0.10815546025284234,13.336032088529587,27.673202663389986,0.3672428838128192,0.8851508011899591,-0.760591205596576,-0.032263455854128945
C4,Ethylene,R83_TARGET_ONLY,83,340,3.071819041462521,0.027305058146333522,2.178533913547812,5.199895519839629,-0.3373100778377189,0.9926798954872307,0.0,0.0
C4,Ethylene,R84_FED_H1,84,340,2.8999228482317982,0.02577709198428265,2.1188311648617777,4.371397500388511,-0.3872797846360464,0.9934762259194594,0.1718961932307228,0.05595908838070144
C4,Methane,R83_TARGET_ONLY,83,340,10.595813500595032,0.04709250444708903,7.47724256551592,17.26705059472951,1.3568994126180842,0.9782261791535725,0.0,0.0
C4,Methane,R84_FED_H1,84,340,10.471766892368139,0.04654118618830284,7.379877753596057,16.48043901365378,1.346008435053487,0.9787330129749144,0.12404660822689273,0.011707133975123912
C5,ALL,R83_TARGET_ONLY,83,1360,18.933023962593946,0.09644245410860455,9.567024227926446,24.169928226622233,0.01553889569879245,0.9186114363900238,0.0,0.0
C5,ALL,R84_FED_H1,84,1360,18.47654027252635,0.09464561738913281,8.673732588501265,19.040405096638892,-0.08481937677956675,0.9224887535669838,0.45648369006759637,0.02411044801767922
C5,Ethanol,R83_TARGET_ONLY,83,340,10.59953062815207,0.09421805002801842,3.9963964857193868,7.814750550839307,0.8328084806046345,0.9128435979348295,0.0,0.0
C5,Ethanol,R84_FED_H1,84,340,10.572749682049126,0.09397999717377001,3.9644782616935834,7.785254793915513,0.8476282424616983,0.9132834631065058,0.026780946102944014,0.0025266162288181456
C5,CO,R83_TARGET_ONLY,83,340,30.241028274601085,0.13440457010933815,19.45643133226642,40.45100420894806,-0.6642869371726887,0.8226385859674721,0.0,0.0
C5,CO,R84_FED_H1,84,340,25.248971128632498,0.11221764946058888,14.732623902084898,28.219264744923635,-0.23747055096177605,0.876361591650033,4.992057145968587,0.16507564162959795
C5,Ethylene,R83_TARGET_ONLY,83,340,6.126296439673186,0.054455968352650534,4.322356165974467,8.653494678770969,1.3763663302836524,0.9708846482876103,0.0,0.0
C5,Ethylene,R84_FED_H1,84,340,6.139321111612887,0.054571743214336776,4.344953916916407,8.538006211550055,1.337566177008936,0.9707607166359307,-0.013024671939700916,-0.002126027048798137
C5,Methane,R83_TARGET_ONLY,83,340,19.220724147740057,0.08542544065662248,10.49291292774551,21.36134129571775,-1.482732290920428,0.9283517601428329,0.0,0.0
C5,Methane,R84_FED_H1,84,340,24.05296903011911,0.10690208457830717,11.652874273310172,21.569804788653073,-2.287001375627125,0.887797271434886,-4.8322448823790545,-0.25140805545285466
ALL,ALL,R83_TARGET_ONLY,83,5397,13.849364564474996,0.07213883354797908,6.935589602781065,16.246050535797337,0.2729711373460537,0.9564729305492463,0.0,0.0
ALL,ALL,R84_FED_H1,84,5397,13.31440698136162,0.07050275399003958,6.548846525464906,15.265365116813228,0.19447579203204737,0.9597706154108141,0.5349575831133766,0.03862686844749515
ALL,Ethanol,R83_TARGET_ONLY,83,1350,7.670904216033409,0.06818581525363031,3.708026328626139,7.9605802129616166,0.36079920562386997,0.9543522742368511,0.0,0.0
ALL,Ethanol,R84_FED_H1,84,1350,8.12728131601161,0.07224250058676987,4.511159040320937,9.643304867130496,0.398929963987193,0.94875911634262,-0.45637709997820064,-0.05949456376007146
ALL,CO,R83_TARGET_ONLY,83,1347,23.04663166045069,0.10242947404644749,13.699186307292125,29.0342879897473,0.21349016356994482,0.8971931126394987,0.0,0.0
ALL,CO,R84_FED_H1,84,1347,20.570297476143782,0.0914235443384168,11.52998677162603,24.33738911285218,0.16516112081968434,0.9180991454332886,2.476334184306907,0.10744885503404973
ALL,Ethylene,R83_TARGET_ONLY,83,1350,6.052689798753094,0.0538016871000275,3.743742392988764,7.931521542544573,0.35851863246012566,0.9715800794764181,0.0,0.0
ALL,Ethylene,R84_FED_H1,84,1350,5.74854086292489,0.051098141003776805,3.600295308935243,7.952771653719324,0.24191487418518032,0.9743645307712254,0.3041489358282039,0.05025021039255327
ALL,Methane,R83_TARGET_ONLY,83,1350,11.889013131719313,0.05284005836319695,6.6064335971161485,15.262729231787404,0.15894436778854987,0.9725869317340714,0.0,0.0
ALL,Methane,R84_FED_H1,84,1350,13.689577603083256,0.06084256712481448,6.56501418152444,14.796273567414516,-0.028167934577673064,0.9636548780701404,-1.800564471363943,-0.15144776537929158
