evidence,scope,metric_1,value_1,metric_2,value_2,status,canonical,metric_3,value_3
classification,C3,accuracy,0.9985057900635039,macro_f1,0.9985068849278491,COMPLETE,True,,
classification,C4,accuracy,0.9977941176470588,macro_f1,0.9977941081200143,COMPLETE,True,,
classification,C5,accuracy,0.9941176470588236,macro_f1,0.99412609063164,COMPLETE,True,,
classification,ALL,accuracy,0.9972206781545303,macro_f1,0.9972212465805109,COMPLETE,True,,
regression,C3,RMSE_ppm,9.332731018185996,NRMSE,0.05567242206126857,COMPLETE,True,,
regression,C4,RMSE_ppm,13.807982479383819,NRMSE,0.06831368580337005,COMPLETE,True,,
regression,C5,RMSE_ppm,18.47654027252635,NRMSE,0.09464561738913281,COMPLETE,True,,
qc,ALL_HC90,coverage,0.8589957383731702,NRMSE,0.06424263677788576,COMPLETE,True,RMSE_gain_vs_random,1.124761933983363
qc,ALL_HC95,coverage,0.9077265147304058,NRMSE,0.06483840358030474,COMPLETE,True,RMSE_gain_vs_random,1.0376841446205471
qc,C3_HC90,coverage,0.8778483376914457,NRMSE,0.0488427546800016,COMPLETE,True,RMSE_gain_vs_random,0.669148588976574
qc,C3_HC95,coverage,0.9301456854688084,NRMSE,0.05114151669356387,COMPLETE,True,RMSE_gain_vs_random,0.3513597094497687
qc,C4_HC90,coverage,0.8742647058823529,NRMSE,0.06309458731708087,COMPLETE,True,RMSE_gain_vs_random,0.4067725126674766
qc,C4_HC95,coverage,0.9235294117647059,NRMSE,0.06375762192315039,COMPLETE,True,RMSE_gain_vs_random,0.2543523425605265
qc,C5_HC90,coverage,0.8066176470588236,NRMSE,0.08953335362050428,COMPLETE,True,RMSE_gain_vs_random,1.9155782961969834
qc,C5_HC95,coverage,0.8477941176470588,NRMSE,0.0882386262041206,COMPLETE,True,RMSE_gain_vs_random,2.18006035939872
pi5,C5_total_pipeline,P50_ms,3.1487410000000002,P95_ms,3.192528,COMPLETE,True,P99_ms,4.9241465500000015
model_size,classifier,total_parameter_count,22765,fp32_model_bytes,91060,COMPLETE,True,,
equal_label_fairness,C3_C4_C5,,,,,BLOCKED_NOT_RUN,False,,
window_overlap,C3_C4_C5,raw_time_overlap,present,,,SUBMISSION_BLOCKER,True,,
