method,target,N,accuracy,macro_f1,nll,ece,source_macro_f1,source_target_f1_gap,checkpoint_sha256,seed,rounds,local_epochs,batch_size,optimizer,optimizer_lr,optimizer_note,target_x,target_y,target_phase,target_concentration,information_regime,selection_role
FedAvg,C3,2677,0.9398580500560328,0.9392391677278106,0.26655309008506917,0.05102368701648749,0.9992647042921805,0.06002553656436993,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedAvg,C4,1360,0.9235294117647059,0.9211459774107049,0.45451190190188545,0.07035767975098943,0.9992647042921805,0.07811872688147559,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedAvg,C5,1360,0.4786764705882353,0.36860954434591753,4.082857309767214,0.5057970133993556,0.9992647042921805,0.630655159946263,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedAvg,ALL,5397,0.8195293681675004,0.8187296199819102,1.2755947285580336,0.16949133971719496,,,target_specific_or_shared_as_manifested,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedProx,C3,2677,0.9592827792304819,0.9590585256870819,0.14033342705734525,0.027763882456406534,0.9985294117647059,0.039470886077623946,4d560fa325299304e63823ca72296b8de1401919a98ec373f700d4e1ce897fbf,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedProx,C4,1360,0.9183823529411764,0.9173416708310674,0.31670119625426796,0.0676752732299707,0.9985294117647059,0.08118774093363845,4d560fa325299304e63823ca72296b8de1401919a98ec373f700d4e1ce897fbf,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedProx,C5,1360,0.5029411764705882,0.39308309156051624,3.323687331238137,0.4749036355053676,0.9985294117647059,0.6054463202041896,4d560fa325299304e63823ca72296b8de1401919a98ec373f700d4e1ce897fbf,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
FedProx,ALL,5397,0.833981841763943,0.8337161232787587,0.9869558980215275,0.15014638136178451,,,target_specific_or_shared_as_manifested,42,25,1,32,Adam,0.0005,frozen GAPS experimental protocol,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
SCAFFOLD,C3,2677,0.7336570788195742,0.6493580495833993,1.1279410450606802,0.3982822755890904,0.7177792534699324,0.06842120388653317,2f4f3591f7afbbe5d7bf69aeedeb8fcdaaa0c29fe60c4a38a5e369e9626d1eea,42,25,1,32,SGD,0.0005,canonical SCAFFOLD implementation,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
SCAFFOLD,C4,1360,0.7352941176470589,0.6352085194243134,1.155200169548929,0.43833542610792553,0.7177792534699324,0.08257073404561899,2f4f3591f7afbbe5d7bf69aeedeb8fcdaaa0c29fe60c4a38a5e369e9626d1eea,42,25,1,32,SGD,0.0005,canonical SCAFFOLD implementation,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
SCAFFOLD,C5,1360,0.6213235294117647,0.7156099335134104,1.2293297083575356,0.29931363025132346,0.7177792534699324,0.002169319956522031,2f4f3591f7afbbe5d7bf69aeedeb8fcdaaa0c29fe60c4a38a5e369e9626d1eea,42,25,1,32,SGD,0.0005,canonical SCAFFOLD implementation,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
SCAFFOLD,ALL,5397,0.7057624606262739,0.6182133853355047,1.1603592387586126,0.3834360512137436,,,target_specific_or_shared_as_manifested,42,25,1,32,SGD,0.0005,canonical SCAFFOLD implementation,False,False,False,False,source-only,fixed_endpoint_one_time_sealed_test
MMD,C3,2677,0.9828165857302951,0.9827910388919461,0.10656646769273787,0.014690414054383889,0.9992647042921805,0.016473665400234427,de215607a336659b23bc8815979d8f6dc0158a801c664c2a4ed9aca62ec20ba4,42,25,1,32,Adam,0.0005,canonical post-hoc global MMD2,True,False,False,False,unlabeled x-only,fixed_endpoint_one_time_sealed_test
MMD,C4,1360,0.975,0.9747351158236335,0.10394873675366731,0.017926594264367046,0.9977962517281342,0.023061135904500762,b02b4e66cd4539b9fb60e24254ff41623bea6b885cd3ea2a2fb95deec58d8d9d,42,25,1,32,Adam,0.0005,canonical post-hoc global MMD2,True,False,False,False,unlabeled x-only,fixed_endpoint_one_time_sealed_test
MMD,C5,1360,0.5632352941176471,0.5641094255475105,3.004425754220034,0.39644941604312733,0.9830576011713561,0.41894817562384556,712e7ebde1a6b86de4ef8119a389362731efd06c2763a5234b73d77c2abfbfe4,42,25,1,32,Adam,0.0005,canonical post-hoc global MMD2,True,False,False,False,unlabeled x-only,fixed_endpoint_one_time_sealed_test
MMD,ALL,5397,0.8751158050768946,0.8758879513669138,0.8361437357305342,0.11039766506926094,,,target_specific_or_shared_as_manifested,42,25,1,32,Adam,0.0005,canonical post-hoc global MMD2,True,False,False,False,unlabeled x-only,fixed_endpoint_one_time_sealed_test
A0T,C3,2677,0.9985057900635039,0.9985054988522586,0.01633926242089398,0.0012927219900658992,0.9985294101745334,2.3911322274861035e-05,4894be9a943876dc46e219ffcb68d1d7ce0fdb3981ae9255b0aba2ce4e6b5728,42,25,1,32,Adam,0.0005,equal-label target-CE-only commissioning,True,True,False,False,equal-label supervised commissioning,fixed_endpoint_one_time_sealed_test
A0T,C4,1360,0.9948529411764706,0.9948570130406309,0.04889979796492138,0.005027200632235634,0.9985294117647059,0.003672398724074988,eee28075336170682abc4fb7e17fd01f481776ea06d175c2cf0decada85ec609,42,25,1,32,Adam,0.0005,equal-label target-CE-only commissioning,True,True,False,False,equal-label supervised commissioning,fixed_endpoint_one_time_sealed_test
A0T,C5,1360,0.9941176470588236,0.9941388070612982,0.05018156535506536,0.005821397856754396,0.9992647042921805,0.005125897230882304,b46d1f5fe9df53b425d207df965af2656ca4290e1fe0cb6f723cdd8f0e007fa5,42,25,1,32,Adam,0.0005,equal-label target-CE-only commissioning,True,True,False,False,equal-label supervised commissioning,fixed_endpoint_one_time_sealed_test
A0T,ALL,5397,0.996479525662405,0.9964792119283015,0.03307223635647863,0.003374969559464958,,,target_specific_or_shared_as_manifested,42,25,1,32,Adam,0.0005,equal-label target-CE-only commissioning,True,True,False,False,equal-label supervised commissioning,fixed_endpoint_one_time_sealed_test
GAPS/A4,C3,2677,0.9985057900635039,0.9985068849278491,0.015451274150844118,0.0013429038240519906,1.0,0.0014931150721508857,e2364290ffc7fd9748fe86edb3745dca0eac692165f6c8aba1825728ddcd4414,42,25,1,32,Adam,0.0005,proposed method protocol,True,True,True,False,labeled structured commissioning; target CE weight zero,fixed_endpoint_one_time_sealed_test
GAPS/A4,C4,1360,0.9977941176470588,0.9977941081200143,0.01844602208131202,0.0019527335815570017,1.0,0.0022058918799856553,422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,42,25,1,32,Adam,0.0005,proposed method protocol,True,True,True,False,labeled structured commissioning; target CE weight zero,fixed_endpoint_one_time_sealed_test
GAPS/A4,C5,1360,0.9941176470588236,0.99412609063164,0.0659403512622192,0.006260940301067694,0.9963298906990736,0.0022038000674335922,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,42,25,1,32,Adam,0.0005,proposed method protocol,True,True,True,False,labeled structured commissioning; target CE weight zero,fixed_endpoint_one_time_sealed_test
GAPS/A4,ALL,5397,0.9972206781545303,0.9972212465805109,0.028928762025016146,0.0025659929453630812,,,target_specific_or_shared_as_manifested,42,25,1,32,Adam,0.0005,proposed method protocol,True,True,True,False,labeled structured commissioning; target CE weight zero,fixed_endpoint_one_time_sealed_test
