scope,analysis,workpoint,N,accepted_N,high_risk_N,misroute_N,misroute_captured_N,misroute_capture_rate,error_gt40_N,error_gt40_captured_N,error_gt40_capture_rate,top_risk_fraction
ALL,fixed_workpoint,HC90,5397,4636,761,15,4,0.26666666666666666,64,27,0.421875,
ALL,fixed_workpoint,HC95,5397,4899,498,15,4,0.26666666666666666,64,24,0.375,
ALL,top_risk_fraction,,,,54,15,,0.0,64,,0.046875,0.01
ALL,top_risk_fraction,,,,135,15,,0.0,64,,0.046875,0.025
ALL,top_risk_fraction,,,,270,15,,0.2,64,,0.09375,0.05
ALL,top_risk_fraction,,,,540,15,,0.26666666666666666,64,,0.171875,0.1
ALL,top_risk_fraction,,,,810,15,,0.26666666666666666,64,,0.3125,0.15
ALL,top_risk_fraction,,,,1080,15,,0.3333333333333333,64,,0.5,0.2
ALL,top_risk_fraction,,,,1350,15,,0.3333333333333333,64,,0.546875,0.25
ALL,top_risk_fraction,,,,1620,15,,0.4,64,,0.609375,0.3
C3,fixed_workpoint,HC90,2677,2350,327,4,2,0.5,13,5,0.38461538461538464,
C3,fixed_workpoint,HC95,2677,2490,187,4,2,0.5,13,4,0.3076923076923077,
C3,top_risk_fraction,,,,27,4,,0.5,13,,0.07692307692307693,0.01
C3,top_risk_fraction,,,,67,4,,0.5,13,,0.07692307692307693,0.025
C3,top_risk_fraction,,,,134,4,,0.5,13,,0.15384615384615385,0.05
C3,top_risk_fraction,,,,268,4,,0.5,13,,0.38461538461538464,0.1
C3,top_risk_fraction,,,,402,4,,0.5,13,,0.5384615384615384,0.15
C3,top_risk_fraction,,,,536,4,,0.5,13,,0.6153846153846154,0.2
C3,top_risk_fraction,,,,670,4,,0.5,13,,0.8461538461538461,0.25
C3,top_risk_fraction,,,,804,4,,0.5,13,,0.8461538461538461,0.3
C4,fixed_workpoint,HC90,1360,1189,171,3,0,0.0,13,4,0.3076923076923077,
C4,fixed_workpoint,HC95,1360,1256,104,3,0,0.0,13,3,0.23076923076923078,
C4,top_risk_fraction,,,,14,3,,0.0,13,,0.07692307692307693,0.01
C4,top_risk_fraction,,,,34,3,,0.0,13,,0.15384615384615385,0.025
C4,top_risk_fraction,,,,68,3,,0.0,13,,0.23076923076923078,0.05
C4,top_risk_fraction,,,,136,3,,0.0,13,,0.23076923076923078,0.1
C4,top_risk_fraction,,,,204,3,,0.0,13,,0.3076923076923077,0.15
C4,top_risk_fraction,,,,272,3,,0.0,13,,0.38461538461538464,0.2
C4,top_risk_fraction,,,,340,3,,0.0,13,,0.38461538461538464,0.25
C4,top_risk_fraction,,,,408,3,,0.0,13,,0.5384615384615384,0.3
C5,fixed_workpoint,HC90,1360,1097,263,8,2,0.25,38,18,0.47368421052631576,
C5,fixed_workpoint,HC95,1360,1153,207,8,2,0.25,38,17,0.4473684210526316,
C5,top_risk_fraction,,,,14,8,,0.25,38,,0.05263157894736842,0.01
C5,top_risk_fraction,,,,34,8,,0.25,38,,0.07894736842105263,0.025
C5,top_risk_fraction,,,,68,8,,0.25,38,,0.18421052631578946,0.05
C5,top_risk_fraction,,,,136,8,,0.25,38,,0.42105263157894735,0.1
C5,top_risk_fraction,,,,204,8,,0.25,38,,0.4473684210526316,0.15
C5,top_risk_fraction,,,,272,8,,0.25,38,,0.47368421052631576,0.2
C5,top_risk_fraction,,,,340,8,,0.25,38,,0.47368421052631576,0.25
C5,top_risk_fraction,,,,408,8,,0.25,38,,0.47368421052631576,0.3
