requested_coverage,coverage,N,RMSE,NRMSE_range,MAE,max_accepted_risk,scope
0.1,0.09987029831387809,539,9.079388583441183,0.04035283814862748,5.908887467241037,0.1350767461618688,ALL
0.11,0.10987585695756902,593,8.90562196120815,0.039580542049813996,5.842359606468357,0.1423849186665358,ALL
0.12,0.11988141560125996,647,8.700210619381755,0.0386676027528078,5.658900447842521,0.1486512852149315,ALL
0.13,0.1298869742449509,701,8.570519193824643,0.0380911964169984,5.605792456096656,0.1566191564726748,ALL
0.14,0.13989253288864184,755,8.376442278988259,0.037236935038751216,5.465832732507048,0.1671486029360861,ALL
0.15,0.14989809153233277,809,8.22688542422867,0.036571824598478235,5.396329596001141,0.1751820940890859,ALL
0.16,0.1599036501760237,863,8.275549487744307,0.03678757223568986,5.395297273180741,0.1837281994669985,ALL
0.17,0.16990920881971466,917,8.23666069277815,0.036614332891501365,5.376837010893824,0.1954151471469559,ALL
0.18,0.1799147674634056,971,8.392460889437242,0.037329578401013565,5.452642079868326,0.2069616463831977,ALL
0.19,0.18992032610709653,1025,8.359701640148389,0.037182525261391555,5.467094967581302,0.216933397886212,ALL
0.2,0.19992588475078749,1079,8.273260388295983,0.036798542140974805,5.424607789223374,0.22706688255236,ALL
0.21,0.20993144339447842,1133,8.157999241107719,0.0362854883516578,5.343308273669956,0.2442459505247997,ALL
0.22,0.21993700203816935,1187,8.097922010872214,0.036163380684173435,5.308655704250409,0.2615194531138318,ALL
0.23,0.22994256068186028,1241,8.080581682749035,0.03610131409980534,5.318401074789604,0.2824078135710397,ALL
0.24,0.23994811932555124,1295,7.945747051010143,0.035593126962875817,5.195837902471374,0.2976812552817441,ALL
0.25,0.24995367796924217,1349,7.933547923449716,0.03702613277367476,5.192840417396025,0.3077851825522832,ALL
0.26,0.25995923661293313,1403,7.885335857609875,0.03719860774004197,5.134713657890073,0.3167457582407585,ALL
0.27,0.26996479525662403,1457,7.817545012320483,0.03701260582782349,5.047856541674979,0.3241440948771951,ALL
0.28,0.279970353900315,1511,7.783004494861712,0.03696559313082937,5.019413891070921,0.3333333333333333,ALL
0.29,0.28997591254400595,1565,7.835905030373516,0.037276641473442014,5.046983194679268,0.3435171815416069,ALL
0.3,0.29998147118769686,1619,8.368185350205081,0.045104409458174496,5.120968915350854,0.356248565535969,ALL
0.31,0.3099870298313878,1673,8.365097110003953,0.04506135124461769,5.136538747882631,0.3653882246539209,ALL
0.32,0.3199925884750787,1727,8.343734349524935,0.045015643518886275,5.152183202975574,0.3761253090639473,ALL
0.33,0.3299981471187697,1781,8.313774383369214,0.045038033341120505,5.124020110447669,0.3862478929146178,ALL
0.34,0.3398184176394293,1834,8.269489045571897,0.04486989258626521,5.088211871707868,0.392628577000619,ALL
0.35,0.34982397628312023,1888,8.309828048248987,0.044938585160934526,5.112278238781413,0.3994556570372052,ALL
0.36,0.3598295349268112,1942,8.527052531903752,0.04596664013801341,5.17542842957974,0.4068968146283248,ALL
0.37,0.36983509357050215,1996,8.669031503160976,0.046717701494263006,5.2068165614000765,0.4152803378152861,ALL
0.38,0.37984065221419305,2050,8.649415209873496,0.0466412006616576,5.193871316062913,0.4215146645305694,ALL
0.39,0.389846210857884,2104,9.727049622028344,0.051124972139782926,5.289573130578099,0.4273347546783098,ALL
0.4,0.39985176950157497,2158,10.945052981435406,0.055780453613730005,5.386552130660863,0.4333832146009174,ALL
0.41,0.4098573281452659,2212,10.906511171738321,0.05561901480485758,5.379281922406827,0.4413933360138223,ALL
0.42,0.41986288678895684,2266,10.820065088771587,0.05523270586264003,5.334213396019025,0.4480153798390842,ALL
0.43,0.4298684454326478,2320,10.731236734667094,0.05489656016311182,5.291564806108647,0.4534113796514518,ALL
0.44,0.4398740040763387,2374,10.729989302112017,0.05498770802673231,5.302924693560723,0.4597341084449066,ALL
0.45,0.44987956272002966,2428,10.67437186383047,0.055259758476312225,5.2754276506716655,0.4619052189859525,ALL
0.46,0.45988512136372056,2482,10.580935704883398,0.05500849521987711,5.235910675645555,0.4637297480711908,ALL
0.47,0.4698906800074115,2536,10.525655763514024,0.054858453896894754,5.217874598139042,0.465962066556673,ALL
0.48,0.4798962386511025,2590,10.561454190282216,0.055149316942564267,5.222266751872904,0.46878034635277,ALL
0.49,0.4899017972947934,2644,11.463614855052919,0.05859030317986438,5.286736268125708,0.4717822174432837,ALL
0.5,0.49990735593848434,2698,11.369605156251108,0.05827319910609106,5.262974870214251,0.4741844705580352,ALL
0.51,0.5099129145821752,2752,11.288777132989278,0.0579588108054275,5.24307423553926,0.4781817827605129,ALL
0.52,0.5199184732258663,2806,11.224871540106095,0.05772388169242378,5.227766191853311,0.4818428104866052,ALL
0.53,0.5299240318695572,2860,11.169026831739489,0.05765834753313017,5.22981837763298,0.4887273318633211,ALL
0.54,0.5399295905132481,2914,11.631146863173742,0.061106957001879514,5.283178263481598,0.4937176686193084,ALL
0.55,0.5499351491569391,2968,11.584218073569561,0.06093553677758082,5.289113544722885,0.500974175804732,ALL
0.56,0.55994070780063,3022,11.72065550559346,0.06138024567545485,5.291710215571378,0.5087719298245613,ALL
0.57,0.5699462664443209,3076,11.660089430951325,0.06113917614584583,5.2905157567130985,0.516296229987424,ALL
0.58,0.5799518250880119,3130,11.630482133939259,0.061095505055689066,5.30593665244904,0.5249116114390863,ALL
0.59,0.5899573837317028,3184,11.55123056884469,0.06077054408022085,5.280973405448636,0.5318597971532452,ALL
0.6,0.5999629423753937,3238,11.745350399438847,0.061491279358847434,5.305541890786862,0.5419137081184217,ALL
0.61,0.6099685010190847,3292,11.794824450968692,0.06283604660153941,5.339886661835567,0.5507127861692226,ALL
0.62,0.6199740596627756,3346,11.752791607060065,0.06273578415900954,5.3511989664013475,0.5582862100071915,ALL
0.63,0.6299796183064665,3400,11.690203259592142,0.06257766260273144,5.350896810413533,0.5661810626856352,ALL
0.64,0.6399851769501574,3454,11.663252443333171,0.06253842271750484,5.372812400436541,0.5763946355101432,ALL
0.65,0.6499907355938485,3508,11.69947554861018,0.06260692125105256,5.405585194650279,0.584934088223088,ALL
0.66,0.6599962942375394,3562,11.644134339058489,0.06243219314385813,5.4049094421538815,0.595484612464647,ALL
0.67,0.669816564758199,3615,11.602262422966046,0.06234273276789434,5.412472840674173,0.6052009170607086,ALL
0.68,0.67982212340189,3669,11.553621906421224,0.06210880589523734,5.4073901948175305,0.6139739883448307,ALL
0.69,0.6898276820455809,3723,11.511427994391068,0.062077165210237185,5.406883056363053,0.6187460983337646,ALL
0.7,0.6998332406892718,3777,11.600616702939153,0.06249265940828732,5.444849326183441,0.6230564589686005,ALL
0.71,0.7098387993329628,3831,11.686526856879649,0.06278188423735852,5.488146829836953,0.6270483521026292,ALL
0.72,0.7198443579766537,3885,11.756443558828458,0.062969488297301,5.519831893630372,0.6303805211744309,ALL
0.73,0.7298499166203446,3939,11.741020469901983,0.06283633166406052,5.542830088266007,0.6326340831147297,ALL
0.74,0.7398554752640356,3993,12.288041449892853,0.06476481673746601,5.586991390618157,0.6342864050544667,ALL
0.75,0.7498610339077265,4047,12.232044073644857,0.06448870059860855,5.5775443398924525,0.6361983494069082,ALL
0.76,0.7598665925514174,4101,12.20444776953162,0.06435473134043346,5.583695291342815,0.6381475880723891,ALL
0.77,0.7698721511951084,4155,12.167520849572854,0.06418915396652702,5.583216151765544,0.6409179782383805,ALL
0.78,0.7798777098387993,4209,12.152311348156756,0.06406384029744056,5.601285717176952,0.6437864056535614,ALL
0.79,0.7898832684824902,4263,12.102787542108532,0.06383035512011487,5.594093469791549,0.6478967025588163,ALL
0.8,0.7998888271261813,4317,12.085192784135902,0.06384642328569586,5.615649823111976,0.6529588185405035,ALL
0.81,0.8098943857698722,4371,12.07725462202184,0.06382047500160597,5.6500030120160725,0.6593156121100567,ALL
0.82,0.8198999444135631,4425,12.090687868047008,0.06384047660378561,5.676345726919961,0.6657078111169472,ALL
0.83,0.8299055030572541,4479,12.530019367229546,0.06582003335679418,5.86895558372591,0.6679745550949212,ALL
0.84,0.839911061700945,4533,12.54237327513593,0.06597855398269883,5.909028198285422,0.6764310957124983,ALL
0.85,0.8499166203446359,4587,12.539340307520952,0.06593039314937378,5.929966355933876,0.6871201787635975,ALL
0.86,0.8599221789883269,4641,12.553206484662375,0.06600476913691068,5.959856042977342,0.6981964127358348,ALL
0.87,0.8699277376320178,4695,12.69912406597065,0.0665838124845045,6.031195617647999,0.7082437597716743,ALL
0.88,0.8799332962757087,4749,12.774418057163475,0.06683872943669453,6.08214642242548,0.7225345511172779,ALL
0.89,0.8899388549193996,4803,12.78213789662797,0.06691415849559307,6.109376021592118,0.7402088682516985,ALL
0.9,0.8999444135630906,4857,12.775243510068508,0.06687422033915814,6.133920517630761,0.7537998846091606,ALL
0.91,0.9099499722067815,4911,12.762722486053192,0.06680235159390913,6.154201257576875,0.7685465892168232,ALL
0.92,0.9199555308504724,4965,12.8043067394132,0.06706404851629023,6.20169938847319,0.7813182557146959,ALL
0.93,0.9299610894941635,5019,12.782952567284148,0.06709748357084465,6.227815074066145,0.7950748525382236,ALL
0.94,0.9399666481378544,5073,12.800190049353988,0.06750081892410935,6.285143059223938,0.8093543900284956,ALL
0.95,0.9499722067815453,5127,12.873852232411405,0.06779902396248147,6.325601117125131,0.8313398396072976,ALL
0.96,0.9599777654252363,5181,13.205602691639807,0.06943652813855491,6.387796936600046,0.8539249504517571,ALL
0.97,0.9699833240689272,5235,13.213671635317134,0.06946744969648397,6.416141493938566,0.889685623647042,ALL
0.98,0.9799888827126181,5289,13.241411977200775,0.0695018535719932,6.4702067687723055,0.9334323086503842,ALL
0.99,0.9899944413563091,5343,13.241977581047596,0.06948297338983504,6.501479739507109,0.9521965721086404,ALL
1.0,1.0,5397,13.31440698136162,0.07050275399003957,6.548846525464906,1.0,ALL
0.1,0.09973851326111319,267,4.92260716763494,0.02187825407837751,3.460332444874664,0.1322862281313791,C3
0.11,0.10982443033246171,294,4.872085990195709,0.02165371551198093,3.426222546569395,0.1370026622689634,C3
0.12,0.11991034740381024,321,4.810745444207759,0.021381090863145595,3.370379198539565,0.1430348012198957,C3
0.13,0.12999626447515875,348,4.793899956354385,0.02130622202824171,3.3342060737869237,0.147790127600859,C3
0.14,0.13970862906238327,374,4.748621249012205,0.021104983328943134,3.3108667471854534,0.152662842370718,C3
0.15,0.14979454613373178,401,4.707294603942467,0.020921309350855406,3.283194252395774,0.1605120649615465,C3
0.16,0.15988046320508031,428,4.680052448949925,0.02080023310644411,3.2623821292463937,0.1691452127632639,C3
0.17,0.16996638027642882,455,4.667933322912482,0.020746370324055474,3.263578388088424,0.1755974696743063,C3
0.18,0.17967874486365334,481,4.771014989280902,0.021204511063470672,3.334507353861727,0.1817817189140552,C3
0.19,0.18976466193500185,508,4.799888384076713,0.021332837262563166,3.331218633807709,0.19234286963086,C3
0.2,0.1998505790063504,535,4.987769576705319,0.022167864785356973,3.444543276024102,0.202289962818256,C3
0.21,0.2099364960776989,562,5.054662018670342,0.022531962385406865,3.508513856585956,0.2113189606078368,C3
0.22,0.21964886066492342,588,5.1083685464968465,0.02277099885952453,3.5073174792252835,0.2198475964330146,C3
0.23,0.22973477773627193,615,5.111297058942705,0.022781034397876935,3.497994471137953,0.2309301733082211,C3
0.24,0.23982069480762047,642,5.138416368465787,0.023309566794988294,3.4946631425708166,0.2486415458440329,C3
0.25,0.24990661187896898,669,5.21504418839169,0.02363862037727354,3.499985489517511,0.274085431480657,C3
0.26,0.2599925289503175,696,5.184573427579124,0.02379307253717854,3.4643467529401195,0.2990469841787739,C3
0.27,0.269704893537542,722,5.19783927412792,0.024054987801740074,3.4416782667318606,0.3134661763799697,C3
0.28,0.27979081060889055,749,5.134627974801137,0.023896586285025424,3.3749440403785167,0.3170539892847577,C3
0.29,0.2898767276802391,776,5.093250884257393,0.023821359877044916,3.306466139225865,0.3210826932667036,C3
0.3,0.29996264475158757,803,5.101733480008225,0.02402058107743574,3.3081090194876888,0.327582476529233,C3
0.31,0.3096750093388121,829,5.175495979146227,0.02458450450378299,3.3259093275611793,0.3337987281666097,C3
0.32,0.31976092641016063,856,5.321796093168198,0.02551742061394652,3.390525502117156,0.341408463674459,C3
0.33,0.32984684348150917,883,5.382089818602631,0.026111512216659905,3.4234913038588792,0.347766171728641,C3
