physical_identity,client_id,filename,repeat_id,class_id,concentration,window_start_s,window_end_s,parent_role,strict_role,inactive_reason
C3|B3_GCO_F010_R1.txt|1|1|25.000000|120.000000|130.000000,3,B3_GCO_F010_R1.txt,1,1,25.0,120.0,130.0,calibration,test,
C3|B3_GCO_F010_R1.txt|1|1|25.000000|150.000000|160.000000,3,B3_GCO_F010_R1.txt,1,1,25.0,150.0,160.0,calibration,test,
C3|B3_GCO_F010_R1.txt|1|1|25.000000|160.000000|170.000000,3,B3_GCO_F010_R1.txt,1,1,25.0,160.0,170.0,calibration,test,
C3|B3_GCO_F010_R1.txt|1|1|25.000000|70.000000|80.000000,3,B3_GCO_F010_R1.txt,1,1,25.0,70.0,80.00000000000001,calibration,test,
C3|B3_GCO_F010_R2.txt|2|1|25.000000|65.000000|75.000000,3,B3_GCO_F010_R2.txt,2,1,25.0,65.0,75.0,calibration,test,
C3|B3_GCO_F010_R2.txt|2|1|25.000000|70.000000|80.000000,3,B3_GCO_F010_R2.txt,2,1,25.0,70.0,80.00000000000001,calibration,test,
C3|B3_GCO_F010_R2.txt|2|1|25.000000|90.000000|100.000000,3,B3_GCO_F010_R2.txt,2,1,25.0,90.0,100.00000000000001,calibration,test,
C3|B3_GCO_F010_R3.txt|3|1|25.000000|135.000000|145.000000,3,B3_GCO_F010_R3.txt,3,1,25.0,135.0,145.0,calibration,calibration,
C3|B3_GCO_F010_R3.txt|3|1|25.000000|140.000000|150.000000,3,B3_GCO_F010_R3.txt,3,1,25.0,140.0,150.0,calibration,calibration,
C3|B3_GCO_F010_R3.txt|3|1|25.000000|150.000000|160.000000,3,B3_GCO_F010_R3.txt,3,1,25.0,150.0,160.0,calibration,excluded,calibration_file_budget_subsample
C3|B3_GCO_F010_R4.txt|4|1|25.000000|120.000000|130.000000,3,B3_GCO_F010_R4.txt,4,1,25.0,120.0,130.0,calibration,test,
C3|B3_GCO_F010_R4.txt|4|1|25.000000|130.000000|140.000000,3,B3_GCO_F010_R4.txt,4,1,25.0,130.0,140.0,calibration,test,
C3|B3_GCO_F010_R4.txt|4|1|25.000000|60.000000|70.000000,3,B3_GCO_F010_R4.txt,4,1,25.0,60.0,70.0,calibration,test,
C3|B3_GCO_F010_R4.txt|4|1|25.000000|65.000000|75.000000,3,B3_GCO_F010_R4.txt,4,1,25.0,65.0,75.0,calibration,test,
C3|B3_GCO_F010_R4.txt|4|1|25.000000|75.000000|85.000000,3,B3_GCO_F010_R4.txt,4,1,25.0,75.0,85.00000000000001,calibration,test,
