experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,metrics,status,notes,code_commit,config_path,dataset_path,created_at,evidence_status,provenance
FCL-E0-SHIFT,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25,diagnostic_only,none,none,42,results/iotj_final_classification_le1_20260804/e0_domain_shift,planned,draft,calibration-only diagnostic,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E1-FEDAVG,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_fedavg,planned,draft,reuse P0A; no retraining,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,P0A_manifest_and_hash
FCL-E1-FEDPROX,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_fedprox,planned,draft,Adam5e-4;mu0.01,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E1-SCAFFOLD,C1;C2,C3;C4;C5,timeaware_60_170_window_fullgrid,classification_TCN,round25,none,none,none,42,results/iotj_final_classification_le1_20260804/e1_scaffold,planned,draft,canonical SGD5e-4,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_design
FCL-E2-CORAL-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c3,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-CORAL-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c4,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-CORAL-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_CORAL,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_coral_c5,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-MMD-C3,C1;C2,C3,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c3,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-MMD-C4,C1;C2,C4,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c4,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
FCL-E2-MMD-C5,C1;C2,C5,timeaware_60_170_window_fullgrid,classification_TCN,P0A_round25_sha256_4313c375,canonical_global_MMD2,x_only,none,42,results/iotj_final_classification_le1_20260804/e2_mmd_c5,planned,draft,100 steps;lambda0.5,11cfbba,pending_implementation,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid,2026-08-04,draft,user_approved_E2
