round,checkpoint_role,global_mmd2,coral_discrepancy,source_feature_norm,target_feature_norm
1,pure_source_reference,0.05407083034515381,2.235350848422968e-06,1.0,1.0
1,interleaved_pre_uda,0.05407083034515381,2.235350848422968e-06,1.0,1.0
1,interleaved_post_uda,0.01739501953125,2.5140232082776492e-06,1.0,1.0
2,pure_source_reference,0.05562716722488403,3.87385534850182e-06,1.0,1.0
2,interleaved_pre_uda,0.032592058181762695,3.4719032555585727e-06,1.0,1.0
2,interleaved_post_uda,0.025408804416656494,2.1608020688290708e-06,1.0,1.0
3,pure_source_reference,0.07240855693817139,4.1245548345614225e-06,1.0,1.0
3,interleaved_pre_uda,0.025662004947662354,2.959578068839619e-06,1.0,1.0
3,interleaved_post_uda,0.055051207542419434,4.198928763798904e-06,1.0,1.0
4,pure_source_reference,0.09659093618392944,5.426202278613346e-06,1.0,1.0
4,interleaved_pre_uda,0.04148381948471069,3.541794285411015e-06,1.0,1.0
4,interleaved_post_uda,0.048108696937561035,3.383007424417883e-06,1.0,1.0
5,pure_source_reference,0.1286333203315735,6.783624939998845e-06,1.0,1.0
5,interleaved_pre_uda,0.05601078271865845,3.885940259351628e-06,1.0,1.0
5,interleaved_post_uda,0.05940669775009155,5.1430829444143455e-06,1.0,1.0
6,pure_source_reference,0.13463032245635986,7.838428246031981e-06,1.0,1.0
6,interleaved_pre_uda,0.05763518810272217,4.897391136182705e-06,1.0,1.0
6,interleaved_post_uda,0.05275416374206543,2.5158199150610017e-06,1.0,1.0
7,pure_source_reference,0.14935338497161865,8.869076737028081e-06,1.0,1.0
7,interleaved_pre_uda,0.04780703783035278,2.6341667762608267e-06,1.0,1.0
7,interleaved_post_uda,0.030522406101226807,1.3367051678869757e-06,1.0,1.0
8,pure_source_reference,0.14112722873687744,8.14789927972015e-06,1.0,1.0
8,interleaved_pre_uda,0.0256119966506958,1.560227701702388e-06,1.0,1.0
8,interleaved_post_uda,0.044607460498809814,3.7364238778536674e-06,1.0,1.0
9,pure_source_reference,0.1412125825881958,8.331899152835831e-06,1.0,1.0
9,interleaved_pre_uda,0.03854113817214966,2.0598270111804595e-06,1.0,1.0
9,interleaved_post_uda,0.05283057689666748,2.731178483372787e-06,1.0,1.0
10,pure_source_reference,0.1495569944381714,9.601168130757287e-06,1.0,1.0
10,interleaved_pre_uda,0.04366707801818848,2.4373086944251554e-06,1.0,1.0
10,interleaved_post_uda,0.07203918695449829,3.3018493468262022e-06,1.0,1.0
11,pure_source_reference,0.16329193115234375,1.0718281373556238e-05,1.0,1.0
11,interleaved_pre_uda,0.052785634994506836,2.6657730813894887e-06,1.0,1.0
11,interleaved_post_uda,0.06779718399047852,4.135697963647544e-06,1.0,1.0
12,pure_source_reference,0.16069692373275757,9.929769476002548e-06,1.0,1.0
12,interleaved_pre_uda,0.06298357248306274,3.6485334931057878e-06,1.0,1.0
12,interleaved_post_uda,0.03312492370605469,1.0790790838655084e-06,1.0,1.0
13,pure_source_reference,0.15295910835266113,1.1025607818737626e-05,1.0,1.0
13,interleaved_pre_uda,0.03477603197097778,1.1085323876613984e-06,1.0,1.0
13,interleaved_post_uda,0.060379981994628906,2.246797293992131e-06,1.0,1.0
14,pure_source_reference,0.16349565982818604,1.0383850167272612e-05,1.0,1.0
14,interleaved_pre_uda,0.047603487968444824,1.792127477528993e-06,1.0,1.0
14,interleaved_post_uda,0.02149742841720581,1.5834062878639088e-06,1.0,1.0
15,pure_source_reference,0.17095577716827393,1.1703159543685615e-05,1.0,1.0
15,interleaved_pre_uda,0.027866482734680176,1.6046615201048553e-06,1.0,1.0
15,interleaved_post_uda,0.04629772901535034,3.4176241570094135e-06,1.0,1.0
16,pure_source_reference,0.16757136583328247,1.1630978406174108e-05,1.0,1.0
16,interleaved_pre_uda,0.023558974266052246,2.003732788580237e-06,1.0,1.0
16,interleaved_post_uda,0.06041896343231201,3.0590513233619276e-06,1.0,1.0
17,pure_source_reference,0.16259557008743286,1.09631118903053e-05,1.0,1.0
17,interleaved_pre_uda,0.04142606258392334,2.985257424370502e-06,1.0,1.0
17,interleaved_post_uda,0.041732072830200195,1.6399169453507056e-06,1.0,1.0
18,pure_source_reference,0.15636909008026123,1.1023483239114285e-05,1.0,1.0
18,interleaved_pre_uda,0.040203630924224854,2.1628040940413484e-06,1.0,1.0
18,interleaved_post_uda,0.02401268482208252,1.1189347333129263e-06,1.0,1.0
19,pure_source_reference,0.1391313076019287,8.940784937294666e-06,1.0,1.0
19,interleaved_pre_uda,0.024072587490081787,1.0665552281352575e-06,1.0,1.0
19,interleaved_post_uda,0.052005767822265625,2.675678160812822e-06,1.0,1.0
20,pure_source_reference,0.16239261627197266,1.117757801694097e-05,1.0,1.0
20,interleaved_pre_uda,0.03516417741775513,2.3990482986846473e-06,1.0,1.0
20,interleaved_post_uda,0.08788692951202393,6.129466783022508e-06,1.0,1.0
21,pure_source_reference,0.16527342796325684,1.1535069461388048e-05,1.0,1.0
21,interleaved_pre_uda,0.044304072856903076,4.188565981166903e-06,1.0,1.0
21,interleaved_post_uda,0.02247333526611328,1.9321792024129536e-06,1.0,1.0
22,pure_source_reference,0.12395155429840088,7.893386282376014e-06,1.0,1.0
22,interleaved_pre_uda,0.03314518928527832,2.5059371182578616e-06,1.0,1.0
22,interleaved_post_uda,0.02942591905593872,3.5177376958017703e-06,1.0,1.0
23,pure_source_reference,0.16681373119354248,1.1104576515208464e-05,1.0,1.0
23,interleaved_pre_uda,0.0384182333946228,3.54626740772801e-06,1.0,1.0
23,interleaved_post_uda,0.0285799503326416,2.483147227394511e-06,1.0,1.0
24,pure_source_reference,0.16429340839385986,1.1631908819254022e-05,1.0,1.0
24,interleaved_pre_uda,0.03398096561431885,2.458639073665836e-06,1.0,1.0
24,interleaved_post_uda,0.02048194408416748,1.7834826167018036e-06,1.0,1.0
25,pure_source_reference,0.1667485237121582,1.1062774319725577e-05,1.0,1.0
25,interleaved_pre_uda,0.016393184661865234,1.255649522136082e-06,1.0,1.0
25,interleaved_post_uda,0.03250432014465332,2.1296007162163733e-06,1.0,1.0
