round,step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status,uda_wall_seconds_per_round,fit_wall_seconds_per_round,total_round_seconds
1,1,0.7903459668159485,2.8035447030561045e-06,0.09046143293380737,0.009358614683151245,1.4017723515280522e-06,0.045230716466903687,0.0046793073415756226,0.8402574062347412,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,2,0.8177140951156616,2.6385639557702234e-06,0.04338574409484863,0.002289973199367523,1.3192819778851117e-06,0.021692872047424316,0.0011449865996837616,0.8405532836914062,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,3,0.817031741142273,4.0981635720527265e-06,0.05389273166656494,0.008943948894739151,2.0490817860263633e-06,0.02694636583328247,0.0044719744473695755,0.848452091217041,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,4,0.8245770931243896,2.749442955973791e-06,0.04442930221557617,-0.0014489274471998215,1.3747214779868955e-06,0.022214651107788086,-0.0007244637235999107,0.8460686802864075,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,5,0.7701632380485535,4.247534434398403e-06,0.051393866539001465,0.010732058435678482,2.1237672171992017e-06,0.025696933269500732,0.005366029217839241,0.8012283444404602,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,6,0.7274637222290039,3.87361933462671e-06,0.04807615280151367,0.03129880502820015,1.936809667313355e-06,0.024038076400756836,0.015649402514100075,0.7671530842781067,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,7,0.7663246989250183,2.836417479556985e-06,0.03825235366821289,-0.0007461067289113998,1.4182087397784926e-06,0.019126176834106445,-0.0003730533644556999,0.7850792407989502,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,8,0.850487470626831,4.586709110299125e-06,0.07515227794647217,0.022936489433050156,2.2933545551495627e-06,0.037576138973236084,0.011468244716525078,0.8995341062545776,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,9,0.7632837295532227,4.2878355088760145e-06,0.0774640440940857,-0.011036470532417297,2.1439177544380073e-06,0.03873202204704285,-0.005518235266208649,0.7964996695518494,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,10,0.7203440070152283,4.683391580329044e-06,0.05746561288833618,0.02610921673476696,2.341695790164522e-06,0.02873280644416809,0.01305460836738348,0.7621337175369263,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,11,0.7778836488723755,3.0103301469353028e-06,0.05281877517700195,-0.01015494391322136,1.5051650734676514e-06,0.026409387588500977,-0.00507747195661068,0.7992170453071594,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,12,0.872538149356842,3.5715590911422623e-06,0.07086586952209473,0.00819445215165615,1.7857795455711312e-06,0.03543293476104736,0.004097226075828075,0.912070095539093,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,13,0.7602587938308716,4.91868286189856e-06,0.07093006372451782,0.008278058841824532,2.45934143094928e-06,0.03546503186225891,0.004139029420912266,0.7998653054237366,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,14,0.7972214221954346,2.6021684789157007e-06,0.06992483139038086,-0.02763136476278305,1.3010842394578503e-06,0.03496241569519043,-0.013815682381391525,0.818369448184967,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,15,0.7063117623329163,4.459521278477041e-06,0.04798024892807007,0.017327915877103806,2.2297606392385205e-06,0.023990124464035034,0.008663957938551903,0.7389680743217468,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,16,0.8014975786209106,4.2503215809119865e-06,0.06620204448699951,0.0012560151517391205,2.1251607904559933e-06,0.033101022243499756,0.0006280075758695602,0.8352287411689758,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,17,0.7061401605606079,4.368033387436299e-06,0.04644465446472168,0.010577909648418427,2.1840166937181493e-06,0.02322232723236084,0.005288954824209213,0.734653651714325,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,18,0.8083493113517761,3.2030086458689766e-06,0.10390830039978027,-0.009677477180957794,1.6015043229344883e-06,0.05195415019989014,-0.004838738590478897,0.8554663062095642,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
1,19,0.7395272850990295,2.917303163485485e-06,0.04009777307510376,0.020007412880659103,1.4586515817427426e-06,0.02004888653755188,0.010003706440329552,0.7695813179016113,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED,27.94537176284939,11.647070859093219,54.01933128293604
