step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status
1,0.003124126698821783,9.350002983410377e-06,0.1573190689086914,0.0059974417090415955,4.6750014917051885e-06,0.0786595344543457,0.0029987208545207977,0.08478705585002899,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
2,0.00280291261151433,9.05982142285211e-06,0.11306935548782349,0.0056852251291275024,4.529910711426055e-06,0.05653467774391174,0.0028426125645637512,0.06218473240733147,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
3,0.003322961740195751,1.02771418823977e-05,0.16936218738555908,-0.005484558641910553,5.13857094119885e-06,0.08468109369277954,-0.0027422793209552765,0.08526691794395447,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
4,0.1720472127199173,1.080955917132087e-05,0.14475375413894653,-0.011519208550453186,5.404779585660435e-06,0.07237687706947327,-0.005759604275226593,0.23866990208625793,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
5,0.20572589337825775,8.968302608991507e-06,0.10834342241287231,0.012965939939022064,4.484151304495754e-06,0.05417171120643616,0.006482969969511032,0.2663850486278534,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
6,0.0027904964517802,6.536274668178521e-06,0.10055696964263916,-0.004683714359998703,3.2681373340892605e-06,0.05027848482131958,-0.0023418571799993515,0.0507303923368454,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
7,0.0024304473772644997,6.188819043018157e-06,0.06987929344177246,-0.010224618017673492,3.0944095215090783e-06,0.03493964672088623,-0.005112309008836746,0.03226087987422943,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
8,0.03370802477002144,8.399572834605351e-06,0.14439994096755981,0.008644383400678635,4.1997864173026755e-06,0.07219997048377991,0.004322191700339317,0.11023438721895218,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
9,0.003163520712405443,1.1483719390525948e-05,0.15648651123046875,0.00493544340133667,5.741859695262974e-06,0.07824325561523438,0.002467721700668335,0.0838802382349968,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
10,0.1578575074672699,2.9817908853146946e-06,0.05387061834335327,0.013314478099346161,1.4908954426573473e-06,0.026935309171676636,0.0066572390496730804,0.1914515495300293,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
