step_start,step_end,metric,mean,median,start,end
1,100,source_ce,0.032637372072786094,0.0045798951759934425,0.003124126698821783,0.005873007234185934
1,100,coral_loss,6.559501150604774e-06,6.02266595706169e-06,9.350002983410377e-06,3.176628752044053e-06
1,100,global_mmd2,0.08018073558807373,0.06927967071533203,0.1573190689086914,0.04313015937805176
1,100,adversarial_loss,0.1122625822853297,0.08639450371265411,0.0059974417090415955,0.06717023253440857
1,100,total_loss,0.1288623106852174,0.1040685698390007,0.08478705585002899,0.06102479249238968
101,500,source_ce,0.009851330051897094,0.004938964266330004,0.004759314935654402,0.0026470040902495384
101,500,coral_loss,4.252410539891116e-06,3.8169590652614716e-06,6.859448603790952e-06,2.720231805142248e-06
101,500,global_mmd2,0.05564662843942642,0.04816913604736328,0.0410923957824707,0.022513389587402344
101,500,adversarial_loss,0.009882748369127512,0.00952404085546732,0.0667349323630333,-0.0022230148315429688
101,500,total_loss,0.042618144603911785,0.03506779111921787,0.05867640674114227,0.01279355213046074
501,1000,source_ce,0.005555092005291954,0.002817641943693161,0.002989322179928422,0.003142430679872632
501,1000,coral_loss,3.6409424035355187e-06,3.324916065139405e-06,2.3463421712222043e-06,4.175781214144081e-06
501,1000,global_mmd2,0.0503270434141159,0.044845014810562134,0.04011052846908569,0.05781662464141846
501,1000,adversarial_loss,-0.023594295382499696,-0.022799551486968994,0.04420435428619385,-0.006732553243637085
501,1000,total_loss,0.018923286408185958,0.01591928768903017,0.045147936791181564,0.028686553239822388
1001,1500,source_ce,0.006602882715174928,0.002910635666921735,0.003797819372266531,0.0013689930783584714
1001,1500,coral_loss,4.387234346268088e-06,4.118405058761709e-06,3.097918124694843e-06,3.6355850170366466e-06
1001,1500,global_mmd2,0.05708974480628967,0.05358922481536865,0.03460264205932617,0.04707455635070801
1001,1500,adversarial_loss,-0.05304279142990708,-0.05038809776306152,-0.06796608865261078,-0.11509370803833008
1001,1500,total_loss,0.008628553042188286,0.005553180817514658,-0.012882355600595474,-0.03263876587152481
1501,2000,source_ce,0.004550294125918299,0.0029989854665473104,0.0017942911945283413,0.002290751552209258
1501,2000,coral_loss,6.106286933572846e-06,5.871449275218765e-06,4.1887801671691705e-06,6.525329808937386e-06
1501,2000,global_mmd2,0.13227004849910737,0.13336804509162903,0.06407588720321655,0.13569414615631104
1501,2000,adversarial_loss,-0.29992180299758914,-0.3117337226867676,-0.14223909378051758,-0.32726025581359863
1501,2000,total_loss,-0.0792725300937891,-0.08410418406128883,-0.037285216152668,-0.09348904341459274
2001,2500,source_ce,0.006953100087819621,0.0027340949745848775,0.0021455322857946157,0.0038859136402606964
2001,2500,coral_loss,5.37045809051051e-06,5.211568804952549e-06,5.52174378753989e-06,2.77347339761036e-06
2001,2500,global_mmd2,0.18737326192855835,0.18573230504989624,0.15623795986175537,0.19715368747711182
2001,2500,adversarial_loss,-0.42199643278121945,-0.422385573387146,-0.3633427619934082,-0.4809093475341797
2001,2500,total_loss,-0.11035579997301102,-0.11525908857584,-0.10140410810709,-0.1379905343055725
