source_round,val_loss,coral_loss,mmd_global,mmd_class,adv_loss,proto_anchor,proto_loss,consist_loss,residual_loss,mmd_proto_loss,stage_mmd_loss,align_reg_legacy_loss,target_ce_loss,target_ce_acc,weighted_coral_loss,weighted_mmd_global,weighted_mmd_class,weighted_adv_loss,weighted_proto_anchor,weighted_proto_loss,weighted_consist_loss,weighted_residual_loss,weighted_mmd_proto_loss,weighted_stage_mmd_loss,weighted_align_reg_legacy_loss,weighted_target_ce_loss,total_loss,mmd_objective,stage_alignment,adv_feature_objective,proto_pair_l2_enabled,proto_pair_l2_trainable,num_steps,lambda_coral,lambda_global_mmd,lambda_class_mmd,lambda_proto_anchor,lambda_adv,lambda_target_ce,lambda_proto,lambda_consistency,lambda_residual,lambda_proto_mmd,lambda_stage_mmd,target_ce_label_smoothing,target_ce_class_balanced,target_ce_class_weights,semantic_proto_count,semantic_proto_trainable,device_residual_count,client_proto_groups
1,0.6520580053329468,3.92517495129141e-06,0.04283497855067253,0.12655383348464966,0.03138427808880806,0.0,0.0,0.0,0.0,0.0,0.21582752466201782,0.0,0.0,0.0,1.962587475645705e-06,0.021417489275336266,0.06327691674232483,0.01569213904440403,0.0,0.0,0.0,0.0,0.0,0.043165501207113266,0.0,0.0,0.7956120371818542,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
2,0.47412359714508057,5.91470461586141e-06,0.04840559884905815,0.1538197547197342,0.03587990999221802,0.0,0.0,0.0,0.0,0.0,0.2591731548309326,0.0,0.0,0.0,2.957352307930705e-06,0.024202799424529076,0.0769098773598671,0.01793995499610901,0.0,0.0,0.0,0.0,0.0,0.05183463916182518,0.0,0.0,0.6450138092041016,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
3,0.34525150060653687,5.770356438006274e-06,0.04839408025145531,0.15005424618721008,0.040355097502470016,0.0,0.0,0.0,0.0,0.0,0.24289065599441528,0.0,0.0,0.0,2.885178219003137e-06,0.024197040125727654,0.07502712309360504,0.020177548751235008,0.0,0.0,0.0,0.0,0.0,0.048578131943941116,0.0,0.0,0.5132341980934143,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
4,0.25707367062568665,5.766668891737936e-06,0.05093603953719139,0.15776212513446808,0.03426341712474823,0.0,0.0,0.0,0.0,0.0,0.24543851613998413,0.0,0.0,0.0,2.883334445868968e-06,0.025468019768595695,0.07888106256723404,0.017131708562374115,0.0,0.0,0.0,0.0,0.0,0.049087706953287125,0.0,0.0,0.42764508724212646,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
5,0.1960947960615158,6.148664851934882e-06,0.05177045240998268,0.15399865806102753,0.03733077272772789,0.0,0.0,0.0,0.0,0.0,0.24343347549438477,0.0,0.0,0.0,3.074332425967441e-06,0.02588522620499134,0.07699932903051376,0.018665386363863945,0.0,0.0,0.0,0.0,0.0,0.048686690628528595,0.0,0.0,0.3663344979286194,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
6,0.1536325216293335,5.515680641110521e-06,0.05307644233107567,0.16016700863838196,0.03997926786541939,0.0,0.0,0.0,0.0,0.0,0.24213829636573792,0.0,0.0,0.0,2.7578403205552604e-06,0.026538221165537834,0.08008350431919098,0.019989633932709694,0.0,0.0,0.0,0.0,0.0,0.04842766374349594,0.0,0.0,0.3286742866039276,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
7,0.11744915693998337,6.153842150524724e-06,0.054803282022476196,0.1711098849773407,0.04126603901386261,0.0,0.0,0.0,0.0,0.0,0.2528601586818695,0.0,0.0,0.0,3.076921075262362e-06,0.027401641011238098,0.08555494248867035,0.020633019506931305,0.0,0.0,0.0,0.0,0.0,0.05057203397154808,0.0,0.0,0.3016138970851898,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
8,0.10077979415655136,6.62724778521806e-06,0.05829735845327377,0.1856500506401062,0.05367507040500641,0.0,0.0,0.0,0.0,0.0,0.2582498788833618,0.0,0.0,0.0,3.31362389260903e-06,0.029148679226636887,0.0928250253200531,0.026837535202503204,0.0,0.0,0.0,0.0,0.0,0.05164997652173042,0.0,0.0,0.3012443482875824,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
9,0.07485654950141907,6.482288426923333e-06,0.05486755073070526,0.16281358897686005,0.03963825851678848,0.0,0.0,0.0,0.0,0.0,0.2360323667526245,0.0,0.0,0.0,3.2411442134616664e-06,0.02743377536535263,0.08140679448843002,0.01981912925839424,0.0,0.0,0.0,0.0,0.0,0.04720647260546684,0.0,0.0,0.25072598457336426,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
10,0.06657668203115463,5.914542725804495e-06,0.05579248443245888,0.16503936052322388,0.049572207033634186,0.0,0.0,0.0,0.0,0.0,0.23668253421783447,0.0,0.0,0.0,2.9572713629022473e-06,0.02789624221622944,0.08251968026161194,0.024786103516817093,0.0,0.0,0.0,0.0,0.0,0.04733651131391525,0.0,0.0,0.24911819398403168,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
