source_round,method,accuracy,macro_f1,nll,ece,num_examples,per_class_recall,checkpoint_sha256,commissioning_steps,commissioning_lr,commissioning_time_seconds,target_label_access,selection_role
1,source_only,0.6139705882352942,0.5719747938892251,1.0974078234504252,0.1810381324633079,1360,"{""0"": 0.5147058823529411, ""1"": 0.8823529411764706, ""2"": 0.13529411764705881, ""3"": 0.9235294117647059}",d8dc26d72a0901de0feadf1f3d76be265332683543d7b64613a6f16e8e16fe86,0,0.0,0.597867700002098,none,post_hoc_diagnostic_only
1,simple_target_ce,0.9551470588235295,0.9556768217559577,0.4643592743312611,0.3025414286510033,1360,"{""0"": 0.9794117647058823, ""1"": 0.9911764705882353, ""2"": 0.8970588235294118, ""3"": 0.9529411764705882}",d8dc26d72a0901de0feadf1f3d76be265332683543d7b64613a6f16e8e16fe86,100,0.0005,3.3192255000030855,C5_calibration_320_labels,post_hoc_diagnostic_only
1,full_target_adapter,0.8985294117647059,0.9006019381165802,0.6158611991826226,0.29629754708970296,1360,"{""0"": 0.8823529411764706, ""1"": 0.9323529411764706, ""2"": 0.8441176470588235, ""3"": 0.9352941176470588}",d8dc26d72a0901de0feadf1f3d76be265332683543d7b64613a6f16e8e16fe86,100,0.0005,54.68277609999859,C5_calibration_320_labels,post_hoc_diagnostic_only
2,source_only,0.6080882352941176,0.5894593242389625,1.0873682456858018,0.15924927261384098,1360,"{""0"": 0.39705882352941174, ""1"": 0.7852941176470588, ""2"": 0.29705882352941176, ""3"": 0.9529411764705882}",8da92727c781a5586e5c5d22d6310c59118baff5d5fd72761961c3936b9558a2,0,0.0,0.6383236000001489,none,post_hoc_diagnostic_only
2,simple_target_ce,0.9639705882352941,0.9641057503111907,0.37581587714307446,0.2525965985129861,1360,"{""0"": 0.9764705882352941, ""1"": 0.9882352941176471, ""2"": 0.9029411764705882, ""3"": 0.9882352941176471}",8da92727c781a5586e5c5d22d6310c59118baff5d5fd72761961c3936b9558a2,100,0.0005,3.871080399996572,C5_calibration_320_labels,post_hoc_diagnostic_only
2,full_target_adapter,0.8669117647058824,0.8654530891525766,0.5669432401657104,0.18165072296910426,1360,"{""0"": 0.8735294117647059, ""1"": 0.9382352941176471, ""2"": 0.7147058823529412, ""3"": 0.9411764705882353}",8da92727c781a5586e5c5d22d6310c59118baff5d5fd72761961c3936b9558a2,100,0.0005,37.40235219999886,C5_calibration_320_labels,post_hoc_diagnostic_only
3,source_only,0.5691176470588235,0.5567822507926303,1.1095013730666217,0.16628239544875478,1360,"{""0"": 0.49117647058823527, ""1"": 0.5970588235294118, ""2"": 0.22647058823529412, ""3"": 0.961764705882353}",4da01216b210d4bdd46443c7cffc83c9a6ebce49de8179233a0e708640bcc693,0,0.0,0.5309594000027573,none,post_hoc_diagnostic_only
3,simple_target_ce,0.9639705882352941,0.9640130395054624,0.3191689452704261,0.20222034467493782,1360,"{""0"": 0.9911764705882353, ""1"": 0.9647058823529412, ""2"": 0.9323529411764706, ""3"": 0.9676470588235294}",4da01216b210d4bdd46443c7cffc83c9a6ebce49de8179233a0e708640bcc693,100,0.0005,2.4815254999994067,C5_calibration_320_labels,post_hoc_diagnostic_only
3,full_target_adapter,0.9198529411764705,0.9206003681158667,0.41413845279637507,0.16519850404823527,1360,"{""0"": 0.8852941176470588, ""1"": 0.9676470588235294, ""2"": 0.8911764705882353, ""3"": 0.9352941176470588}",4da01216b210d4bdd46443c7cffc83c9a6ebce49de8179233a0e708640bcc693,100,0.0005,45.00098520000029,C5_calibration_320_labels,post_hoc_diagnostic_only
4,source_only,0.5007352941176471,0.47646628038886996,1.2900361019022324,0.2235501741223475,1360,"{""0"": 0.3058823529411765, ""1"": 0.2735294117647059, ""2"": 0.4647058823529412, ""3"": 0.9588235294117647}",e7cee1141cdd0062adc02cfe0ed160c8b19ecbcaca4ec676e805f85e5ad4e2b1,0,0.0,0.34892129999934696,none,post_hoc_diagnostic_only
