source_round,step,target_calibration_ce,target_calibration_accuracy
1,1,1.0238831043243408,0.65625
1,2,1.0493526458740234,0.6875
1,3,1.1011831760406494,0.71875
1,4,1.0414797067642212,0.71875
1,5,0.8648881316184998,0.875
1,6,0.9966562390327454,0.78125
1,7,0.9063720703125,0.78125
1,8,0.9163033962249756,0.78125
1,9,0.9675750136375427,0.84375
1,10,0.9491357207298279,0.78125
1,11,0.893051266670227,0.78125
1,12,0.9804938435554504,0.75
1,13,0.9619231224060059,0.78125
1,14,0.774346113204956,0.9375
1,15,0.8336771130561829,0.90625
1,16,0.9083175659179688,0.84375
1,17,0.8932021260261536,0.84375
1,18,0.9077602624893188,0.8125
1,19,0.7701758146286011,0.875
1,20,0.7414377927780151,0.875
1,21,0.8512127995491028,0.78125
1,22,0.8086060285568237,0.8125
1,23,0.8067269921302795,0.9375
1,24,0.8600808382034302,0.78125
1,25,0.7581900358200073,0.9375
1,26,0.8005009293556213,0.78125
1,27,0.7683716416358948,0.875
1,28,0.7910328507423401,0.8125
1,29,0.7243969440460205,0.90625
1,30,0.7318557500839233,0.96875
1,31,0.7700973749160767,0.90625
1,32,0.7303705811500549,0.875
1,33,0.7057174444198608,0.90625
1,34,0.6881899833679199,0.96875
1,35,0.7055234909057617,0.875
1,36,0.7177363038063049,0.9375
1,37,0.7609868049621582,0.875
1,38,0.7151892781257629,0.84375
1,39,0.6880425810813904,0.96875
1,40,0.6471468210220337,0.875
1,41,0.6730518937110901,0.9375
1,42,0.6886423230171204,0.9375
1,43,0.7185689210891724,0.90625
1,44,0.667924165725708,0.90625
1,45,0.7007529139518738,0.875
1,46,0.6439612507820129,0.90625
1,47,0.6287989020347595,0.875
1,48,0.6356446743011475,0.90625
1,49,0.6276854872703552,0.96875
1,50,0.6151829361915588,1.0
1,51,0.6855007410049438,0.90625
1,52,0.6262869238853455,0.90625
1,53,0.6480798125267029,0.9375
1,54,0.6100562214851379,0.96875
1,55,0.6505028605461121,0.90625
1,56,0.6302018761634827,0.9375
1,57,0.5845086574554443,0.96875
1,58,0.5995637774467468,0.9375
1,59,0.6313505172729492,0.875
1,60,0.5761021971702576,0.9375
1,61,0.7242331504821777,0.84375
1,62,0.6307880878448486,0.90625
1,63,0.657997190952301,0.90625
1,64,0.6111884117126465,0.9375
1,65,0.6216325163841248,0.9375
1,66,0.6009827256202698,0.96875
1,67,0.4957104027271271,1.0
1,68,0.4930133521556854,0.96875
1,69,0.5200657248497009,0.96875
1,70,0.5420531034469604,1.0
1,71,0.5545123219490051,1.0
1,72,0.5759072303771973,0.9375
1,73,0.5201243162155151,0.96875
1,74,0.5594934225082397,0.96875
