pred_gas,pred_class,pred_ppm,calibrated_ppm,base_r3ak16_raw_ppm,routed_pred_ppm,final_ppm,qc_status,risk_score,risk_reasons,model_version,client_id,confidence,top1_confidence,top2_confidence,confidence_margin,phase,r4a_applied,r4a_delta,r4a_raw_delta,r4a_target_class,risk_classifier_uncertainty,risk_margin_risk,risk_response_signature_norm,risk_response_conc_gap_norm,risk_nearest_calib_conc,risk_nearest_calib_idx,risk_best_response_class,risk_best_response_norm,risk_pred_response_norm,risk_class_response_rank,risk_class_response_rank_risk,risk_class_response_margin,risk_class_response_margin_risk,risk_route_response_risk,risk_composite_response_risk,sample_index,true_class,true_gas,class_correct,true_ppm,abs_error,client,split,raw_ppm,auto_v2_ppm,route_correct,route_class,response_phase,phase_label,filename,repeat_id,baseline_final_ppm,mlp_direct_ppm,mlp_direct_delta_vs_final,val_select_mlp_ppm,coaware_select_mlp_ppm,hybrid_select_mlp_ppm,mlp_direct_plus_c4_rescue_ppm,val_select_mlp_plus_c4_rescue_ppm,coaware_select_mlp_plus_c4_rescue_ppm,hybrid_select_mlp_plus_c4_rescue_ppm,client_hybrid_mlp_c3c4_ridge_c5_ppm,client_hybrid_mlp_c3c4_ridge_c5_head,client_hybrid_mlp_c3_ridge_c4c5_ppm,client_hybrid_mlp_c3_ridge_c4c5_head,client_hybrid_mlp_c3_ridge_c4_c5grid_ppm,client_hybrid_mlp_c3_ridge_c4_c5grid_head,client_hybrid_mlp_c3c4_c5grid_ppm,client_hybrid_mlp_c3c4_c5grid_head,h2_mlp_plus_c4_rescue_ppm,h1_ridge_plus_c4_rescue_ppm,h2_3_ppm,source_aug_target_ridge_ppm,source_aug_c4_rescue_applied,h8_pred_co_source_aug_else_h23_ppm,h8_pred_co_or_c4_gate_source_aug_else_h23_ppm,h8_pred_co_switch,h8_pred_co_or_c4_gate_switch,pred_class_name,route_group,co_bin,baseline_error,baseline_abs_error,h2_3_error,h2_3_abs_error,source_aug_error,source_aug_abs_error,h8_error,h8_abs_error
Ethylene,2,16.18883074261248,16.18883074261248,26.706182584166527,16.18883074261248,16.18883074261248,reject,4.425815965781056,composite_response_risk,25,C4,0.5574184060096741,0.5574184060096741,0.442441314458847,0.114977091550827,0,0,0.0,0.0,-1,0.4425815965781056,0.8850229140640666,1.1430750091469055,1.3524467702955008,50.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.425815965781056,4.425815965781056,385,1,CO,0,250.0,233.81116925738752,C4,test,26.706182584166527,16.18883074261248,0,2,recovery,early,B4_GCO_F100_R1.txt,1,16.18883074261248,15.847360907632677,-0.3414698349798044,15.847360907632677,15.847360907632677,15.847360907632677,15.847360907632677,15.847360907632677,15.847360907632677,15.847360907632677,15.847360907632677,mlp,24.538541628705715,ridge,24.538541628705715,ridge,15.847360907632677,mlp,15.847360907632677,24.538541628705715,24.538541628705715,12.5,0,24.538541628705715,24.538541628705715,0,0,Ethylene,pred_nonCO,high_200_250,-233.81116925738752,233.81116925738752,-225.46145837129427,225.46145837129427,-237.5,237.5,-225.46145837129427,225.46145837129427
Ethanol,0,16.916703060269356,16.916703060269356,12.5,16.916703060269356,16.916703060269356,reject,6.73939034175687,composite_response_risk,25,C4,0.9976435303688048,0.9976435303688048,0.0023196667898446,0.9953238368034364,1,0,0.0,0.0,-1,0.0023564584004583,0.0046761252281679,6.73939034175687,4.323331877589226,125.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235645840045839,6.73939034175687,982,1,CO,0,200.0,183.08329693973064,C4,test,12.5,16.916703060269356,0,0,main_response,middle,B4_GCO_F080_R2.txt,2,16.916703060269356,39.45436916752012,22.537666107250764,39.45436916752012,39.45436916752012,39.45436916752012,39.45436916752012,39.45436916752012,39.45436916752012,39.45436916752012,39.45436916752012,mlp,12.5,ridge,12.5,ridge,39.45436916752012,mlp,39.45436916752012,12.5,12.5,12.5,0,12.5,12.5,0,0,Ethanol,pred_nonCO,high_200_250,-183.08329693973064,183.08329693973064,-187.5,187.5,-187.5,187.5,-187.5,187.5
CO,1,243.0182367563248,243.0182367563248,157.4421301484108,243.0182367563248,243.0182367563248,accept,0.7207294702529907,,25,C4,0.998466730117798,0.998466730117798,0.0015253660967573,0.9969413876533508,0,0,0.0,0.0,-1,0.0015333556563764,0.0030587216601196,0.3948304664210728,0.7207294702529907,225.0,56.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153335565637646,0.7207294702529907,273,1,CO,1,250.0,6.981763243675232,C4,test,157.4421301484108,243.0182367563248,1,1,recovery,early,B4_GCO_F100_R1.txt,1,243.0182367563248,203.94381756742084,-39.07441918890393,203.94381756742084,203.94381756742084,203.94381756742084,203.94381756742084,203.94381756742084,203.94381756742084,203.94381756742084,203.94381756742084,mlp,196.74623892349555,ridge,196.74623892349555,ridge,203.94381756742084,mlp,203.94381756742084,196.74623892349555,196.74623892349555,205.11516159883,0,205.11516159883,205.11516159883,1,1,CO,pred_CO,high_200_250,-6.9817632436752035,6.9817632436752035,-53.253761076504446,53.253761076504446,-44.884838401169986,44.884838401169986,-44.884838401169986,44.884838401169986
CO,1,232.84654915332797,232.84654915332797,207.01886117458344,232.84654915332797,232.84654915332797,review,1.0830973172268412,,25,C4,0.980194091796875,0.980194091796875,0.0197960752993822,0.960398018360138,0,0,0.0,0.0,-1,0.0198059436881936,0.0396020167830679,1.0830973172268412,0.6861380338668823,250.0,59.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1980594368819366,1.0830973172268412,8,1,CO,1,250.0,17.153450846672058,C4,test,207.01886117458344,232.84654915332797,1,1,recovery,early,B4_GCO_F100_R1.txt,1,232.84654915332797,226.49599193744712,-6.350557215880826,226.49599193744712,226.49599193744712,226.49599193744712,226.49599193744712,226.49599193744712,226.49599193744712,226.49599193744712,226.49599193744712,mlp,194.0472562764925,ridge,194.0472562764925,ridge,226.49599193744712,mlp,226.49599193744712,194.0472562764925,194.0472562764925,206.641811401294,0,206.641811401294,206.641811401294,1,1,CO,pred_CO,high_200_250,-17.15345084667203,17.15345084667203,-55.952743723507496,55.952743723507496,-43.35818859870599,43.35818859870599,-43.35818859870599,43.35818859870599
CO,1,211.81215643882751,211.81215643882751,184.56457406282425,211.81215643882751,211.81215643882751,reject,1.5275137424468994,composite_response_risk,25,C4,0.9552565217018129,0.9552565217018129,0.0447393730282783,0.910517156124115,0,0,0.0,0.0,-1,0.0447435200950229,0.0894828901592921,1.486493662671977,1.5275137424468994,250.0,59.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4474352009502291,1.5275137424468994,974,1,CO,1,250.0,38.187843561172485,C4,test,184.56457406282425,211.81215643882751,1,1,recovery,early,B4_GCO_F100_R1.txt,1,211.81215643882751,220.86044046260048,9.048284023772965,220.86044046260048,220.86044046260048,220.86044046260048,220.86044046260048,220.86044046260048,220.86044046260048,220.86044046260048,220.86044046260048,mlp,194.08569889081943,ridge,194.08569889081943,ridge,220.86044046260048,mlp,220.86044046260048,194.08569889081943,194.08569889081943,209.04131705498304,0,209.04131705498304,209.04131705498304,1,1,CO,pred_CO,high_200_250,-38.187843561172485,38.187843561172485,-55.91430110918057,55.91430110918057,-40.95868294501696,40.95868294501696,-40.95868294501696,40.95868294501696
CO,1,248.6331731081009,248.6331731081009,61.25961020588875,248.6331731081009,248.6331731081009,accept,0.7560917179624529,,25,C4,0.9995266199111938,0.9995266199111938,0.0004726290062535,0.9990540146827698,0,0,0.0,0.0,-1,0.000473304811041,0.0009459339216633,0.7560917179624529,0.0546730756759643,250.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047330481104101,0.7560917179624529,927,1,CO,1,200.0,48.63317310810089,C4,test,61.25961020588875,248.6331731081009,1,1,main_response,early,B4_GCO_F080_R1.txt,1,248.6331731081009,250.0,1.3668268918991089,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,mlp,208.37533270749668,ridge,208.37533270749668,ridge,250.0,mlp,250.0,208.37533270749668,208.37533270749668,229.8976411918559,0,229.8976411918559,229.8976411918559,1,1,CO,pred_CO,high_200_250,48.63317310810089,48.63317310810089,8.375332707496682,8.375332707496682,29.89764119185591,29.89764119185591,29.89764119185591,29.89764119185591
CO,1,229.96345609426496,229.96345609426496,216.7758524417877,229.96345609426496,229.96345609426496,accept,0.8014617562294006,,25,C4,0.9350016117095948,0.9350016117095948,0.0649775266647338,0.8700240850448608,0,0,0.0,0.0,-1,0.0649983886175439,0.1299759165119707,0.5326773307953787,0.8014617562294006,250.0,59.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499838861754392,0.8014617562294006,485,1,CO,1,250.0,20.036543905735016,C4,test,216.7758524417877,229.96345609426496,1,1,recovery,early,B4_GCO_F100_R1.txt,1,229.96345609426496,234.0074584463825,4.044002352117531,234.0074584463825,234.0074584463825,234.0074584463825,234.0074584463825,234.0074584463825,234.0074584463825,234.0074584463825,234.0074584463825,mlp,201.1275757262869,ridge,201.1275757262869,ridge,234.0074584463825,mlp,234.0074584463825,201.1275757262869,201.1275757262869,221.19279167348284,0,221.19279167348284,221.19279167348284,1,1,CO,pred_CO,high_200_250,-20.036543905735044,20.036543905735044,-48.87242427371311,48.87242427371311,-28.807208326517156,28.807208326517156,-28.807208326517156,28.807208326517156
CO,1,239.24363106489184,239.24363106489184,217.96039640903476,239.24363106489184,239.24363106489184,accept,0.4302547574043274,,25,C4,0.9853531718254088,0.9853531718254088,0.0146415326744318,0.9707116484642028,0,0,0.0,0.0,-1,0.0146467813099375,0.029288313176772,0.0930592553888959,0.4302547574043274,250.0,59.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464678130993757,0.4302547574043274,453,1,CO,1,250.0,10.756368935108185,C4,test,217.96039640903476,239.24363106489184,1,1,recovery,early,B4_GCO_F100_R1.txt,1,239.24363106489184,250.0,10.756368935108185,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,mlp,206.77163278616004,ridge,206.77163278616004,ridge,250.0,mlp,250.0,206.77163278616004,206.77163278616004,223.0138870280398,0,223.0138870280398,223.0138870280398,1,1,CO,pred_CO,high_200_250,-10.756368935108156,10.756368935108156,-43.22836721383996,43.22836721383996,-26.98611297196021,26.98611297196021,-26.98611297196021,26.98611297196021
CO,1,234.02225524187088,234.02225524187088,214.4955322146416,234.02225524187088,234.02225524187088,reject,4.360890209674835,composite_response_risk,25,C4,0.999951958656311,0.999951958656311,4.6170171117410064e-05,0.99990576505661,1,0,0.0,0.0,-1,4.805385269202045e-05,9.4224035395718e-05,1.28887731162547,4.360890209674835,125.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004805385269202,4.360890209674835,528,1,CO,1,225.0,9.02225524187088,C4,test,214.4955322146416,234.02225524187088,1,1,recovery,middle,B4_GCO_F090_R2.txt,2,234.02225524187088,204.22180690723397,-29.80044833463694,204.22180690723397,204.22180690723397,204.22180690723397,204.22180690723397,204.22180690723397,204.22180690723397,204.22180690723397,204.22180690723397,mlp,188.60658541854292,ridge,188.60658541854292,ridge,204.22180690723397,mlp,204.22180690723397,188.60658541854292,188.60658541854292,199.79539101185253,0,199.79539101185253,199.79539101185253,1,1,CO,pred_CO,high_200_250,9.02225524187088,9.02225524187088,-36.39341458145708,36.39341458145708,-25.20460898814747,25.20460898814747,-25.20460898814747,25.20460898814747
Ethanol,0,16.420443262904882,16.420443262904882,12.5,16.420443262904882,16.420443262904882,reject,7.67362948182257,composite_response_risk,25,C4,0.9913835525512696,0.9913835525512696,0.0085573317483067,0.9828262329101562,1,0,0.0,0.0,-1,0.0086163840059281,0.0171737146686558,7.67362948182257,4.343182269483805,125.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861638400592812,7.67362948182257,783,1,CO,0,225.0,208.57955673709512,C4,test,12.5,16.420443262904882,0,0,recovery,middle,B4_GCO_F090_R2.txt,2,16.420443262904882,51.38720992137347,34.966766658468586,51.38720992137347,51.38720992137347,51.38720992137347,250.0,250.0,250.0,250.0,250.0,mlp,250.0,ridge,250.0,ridge,250.0,mlp,250.0,250.0,250.0,250.0,1,250.0,250.0,0,1,Ethanol,pred_nonCO,high_200_250,-208.57955673709512,208.57955673709512,25.0,25.0,25.0,25.0,25.0,25.0
