class_label,pred_classes,phase,max_final,min_risk,max_conf_margin,rescue_ppm,hit_N,true_c4_high_hits,false_hits,ALL_N,ALL_RMSE,ALL_MAE,ALL_Bias,ALL_P90AE,C4_CO_high_N,C4_CO_high_RMSE,C4_CO_high_MAE,C4_CO_high_Bias,C4_CO_high_P90AE,C4_nonCO_N,C4_nonCO_RMSE,C4_nonCO_MAE,C4_nonCO_Bias,C4_nonCO_P90AE,nonCO_ALL_N,nonCO_ALL_RMSE,nonCO_ALL_MAE,nonCO_ALL_Bias,nonCO_ALL_P90AE
ethanol_ethylene,"0,2",any,20.0,4.0,1.0,250.0,15,15,0,5400.0,18.04514020797115,6.756682841343395,0.5931729895646525,13.46955433700927,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
ethanol_ethylene,"0,2",any,30.0,4.0,1.0,250.0,17,17,0,5400.0,18.04514020797115,6.756682841343395,0.5931729895646525,13.46955433700927,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
all_nonco,"0,2,3",any,20.0,4.0,1.0,250.0,15,15,0,5400.0,18.04514020797115,6.756682841343395,0.5931729895646525,13.46955433700927,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
all_nonco,"0,2,3",any,30.0,4.0,1.0,250.0,17,17,0,5400.0,18.04514020797115,6.756682841343395,0.5931729895646525,13.46955433700927,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
ethanol_ethylene,"0,2",any,50.0,4.0,1.0,250.0,18,17,1,5400.0,18.30302129424645,6.797823054519767,0.6343132027410242,13.471368729898032,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,11.315757407400488,5.263128131034022,0.673259116628323,11.561848381632132,4050.0,18.716237130433946,5.869567645414651,1.0271273239441954,10.60507212212876
all_nonco,"0,2,3",any,50.0,4.0,1.0,250.0,18,17,1,5400.0,18.30302129424645,6.797823054519767,0.6343132027410242,13.471368729898032,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,11.315757407400488,5.263128131034022,0.673259116628323,11.561848381632132,4050.0,18.716237130433946,5.869567645414651,1.0271273239441954,10.60507212212876
ethanol_ethylene,"0,2",any,20.0,2.0,1.0,250.0,17,15,2,5400.0,18.555840448628746,6.835386545047098,0.6811359525276155,13.487603322566954,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
all_nonco,"0,2,3",any,20.0,2.0,1.0,250.0,17,15,2,5400.0,18.555840448628746,6.835386545047098,0.6811359525276155,13.487603322566954,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,8.855616075975213,5.04532700245323,0.45545798804753135,11.430228003851528,4050.0,18.37932337781323,5.814714027846154,0.9722737063756995,10.588118606054724
ethanol_ethylene,"0,2",any,30.0,2.0,1.0,250.0,20,17,3,5400.0,18.78306754649583,6.864210947153872,0.7099603546343896,13.487603322566954,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,11.105827740317858,5.197926778312622,0.6080577639069238,11.430228003851528,4050.0,18.684541117224228,5.8531465639885205,1.0107062425180653,10.588118606054724
all_nonco,"0,2,3",any,30.0,2.0,1.0,250.0,20,17,3,5400.0,18.78306754649583,6.864210947153872,0.7099603546343896,13.487603322566954,102.0,14.81253167574384,10.478603846682585,-0.045058389406031664,23.49410430744886,1020.0,11.105827740317858,5.197926778312622,0.6080577639069238,11.430228003851528,4050.0,18.684541117224228,5.8531465639885205,1.0107062425180653,10.588118606054724
