profile,ALL_RMSE,ALL_NRMSE,C3_NRMSE,C4_NRMSE,C5_NRMSE,C3_CO_RMSE,C4_CO_RMSE,C5_CO_RMSE,C3_CO_high_RMSE,C4_CO_high_RMSE,C5_CO_high_RMSE,nonCO_RMSE
old_B0_final_r25,27.336272006610333,0.1578336952944895,0.110765038856896,0.15201070538296763,0.22722019855381914,33.7008253219887,56.588431890041136,46.11548174353218,,,,nan
old_H2_3_current,18.62168397346191,0.132579221262454,0.10227651137679823,0.07128030276758814,0.20999483779196768,16.152022803297587,22.018698397062504,26.849515813550635,20.015310622092212,34.24264696168007,34.81969974996081,17.831882292749544
F6_r25_adapted_B0,28.570602964649467,0.1898795110488444,0.11310419024000651,0.13961333507243767,0.3137765909762289,33.57440704132741,50.35814028004848,43.35813545197521,,,,nan
F6_r25_H2_3_current,22.943737682097524,0.178890516251516,0.09782759845937807,0.07340785113294007,0.3206529654978175,15.18915504231233,22.989954834380967,25.225025915267242,20.015310622092212,36.053484212881536,30.80498175787619,23.789301257568276
F6_r25_H2_mlp_rescue,22.701938101830354,0.1784151358081792,0.09782759845937807,0.07813985033901316,0.31847570075373055,15.18915504231233,25.25936879071371,26.394353864938257,20.015310622092212,35.83673980360483,33.329756032010856,23.17229072806862
F6_r25_H1_ridge_rescue,23.48260039342467,0.18063398910664036,0.09657582125238089,0.07340785113294007,0.3252486978008566,18.392566208291225,22.989954834380967,20.499735153192432,24.695385004336664,36.05348421288153,20.84614460742129,24.48733322971558
F6_r19_adapted_B0,27.094914598023315,0.1632545359461369,0.11009130845019091,0.15036447210456771,0.24357975480137414,33.70142040664752,55.95365207436536,43.77402477698213,,,,nan
F6_r19_H2_3_current,18.623035208868956,0.13570126848044586,0.08457659414130213,0.06099929360892897,0.23516121739308493,16.144802001976405,17.311457513753105,25.924527979361795,20.015310622092212,24.238467786585552,30.80498175787619,18.377217193744006
F6_r19_H2_mlp_rescue,18.256084366854658,0.13484286948986987,0.08457659414130213,0.06912548339023598,0.23091398985038977,16.144802001976405,17.768882050380732,26.98380343781078,20.015310622092212,22.93593151315318,33.329756032010856,17.70949614487043
F6_r19_H1_ridge_rescue,19.54398503709189,0.14267505449285264,0.0901309459482776,0.060999293608928966,0.24717769755197735,19.110894232083236,17.311457513753105,21.14027021648554,24.695385004336664,24.238467786585552,20.84614460742129,19.651776600125114
