mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
A0_B0_R3aK16_auto_v2,test,ALL,A0_baseline_final_ppm,5400,27.336272006610333,12.998893677167533,0.1578336952944895,-0.7640208506911423,27.83922873437405
A0_B0_R3aK16_auto_v2,test,C3,A0_baseline_final_ppm,2680,19.68588107638486,11.102676585287554,0.110765038856896,0.13622063720544952,24.297240525484078
A0_B0_R3aK16_auto_v2,test,C3-CO,A0_baseline_final_ppm,670,33.7008253219887,20.85602887873121,0.14978144587550532,-0.34794183484445423,42.26480424404144
A0_B0_R3aK16_auto_v2,test,C3-CO_low_25_100,A0_baseline_final_ppm,268,25.070639508976416,16.733673210959505,0.11142506448433963,2.533289732944929,29.861310459673412
A0_B0_R3aK16_auto_v2,test,C3-CO_mid_125_175,A0_baseline_final_ppm,201,34.77081194869033,23.57227482800534,0.15453694199417928,3.6975319627023753,55.79385459423065
A0_B0_R3aK16_auto_v2,test,C3-CO_high_200_250,A0_baseline_final_ppm,201,41.698442503136704,23.636257153152677,0.185326411125052,-8.235057722777128,42.900943756103516
A0_B0_R3aK16_auto_v2,test,C3-nonCO,A0_baseline_final_ppm,2010,11.752872381267416,7.85155915413967,0.09423568645214646,0.2976081278887508,17.98611104488374
A0_B0_R3aK16_auto_v2,test,C4,A0_baseline_final_ppm,1360,30.610873222536796,13.058205977534218,0.1520107053829676,-1.480255008825813,27.1535112708807
A0_B0_R3aK16_auto_v2,test,C4-CO,A0_baseline_final_ppm,340,56.588431890041136,27.309382034684806,0.25150414173351615,-7.428811718709767,51.3457596302033
A0_B0_R3aK16_auto_v2,test,C4-CO_low_25_100,A0_baseline_final_ppm,136,20.01854826396091,10.412459154544836,0.08897132561760404,3.0393287577145895,25.28303600847721
A0_B0_R3aK16_auto_v2,test,C4-CO_mid_125_175,A0_baseline_final_ppm,102,32.479044217650525,25.132904559666034,0.1443513076340023,4.851609753335223,53.143137693405166
A0_B0_R3aK16_auto_v2,test,C4-CO_high_200_250,A0_baseline_final_ppm,102,95.31504288319486,52.01509001655687,0.4236224128141994,-33.666753825987236,233.80422707181424
A0_B0_R3aK16_auto_v2,test,C4-nonCO,A0_baseline_final_ppm,1020,13.48890425511596,8.307813958484022,0.09861488206654702,0.5025972278021714,19.119710214436054
A0_B0_R3aK16_auto_v2,test,C5,A0_baseline_final_ppm,1360,35.58669915603665,16.676244469623164,0.22722019855381914,-1.8217919775291675,39.52300228178502
A0_B0_R3aK16_auto_v2,test,C5-CO,A0_baseline_final_ppm,340,46.115481743532186,32.873059051001775,0.2049576966379208,-7.474195729283726,67.9931676387787
A0_B0_R3aK16_auto_v2,test,C5-CO_low_25_100,A0_baseline_final_ppm,136,32.718059118772295,23.547905029537265,0.14541359608343243,5.848283240544227,48.99037666618824
A0_B0_R3aK16_auto_v2,test,C5-CO_mid_125_175,A0_baseline_final_ppm,102,45.398435985373574,35.89817296768374,0.2017708266016603,7.410517719336877,75.51520705223085
A0_B0_R3aK16_auto_v2,test,C5-CO_high_200_250,A0_baseline_final_ppm,102,60.003991602304794,42.28148382960581,0.26668440712135466,-40.12221447100826,85.81828527152541
A0_B0_R3aK16_auto_v2,test,C5-nonCO,A0_baseline_final_ppm,1020,31.299706978665625,11.277306275830293,0.23417117465095627,0.06234260638901854,18.580510430037982
A0_B0_R3aK16_auto_v2,test,nonCO_ALL,A0_baseline_final_ppm,4050,19.00289748774791,8.829248528104033,0.14376059276542724,0.2899829550447908,18.60622443258762
A1_H2_3_current_with_B0_rescue,test,ALL,A1_h2_3_current_ppm,5400,18.62168397346191,7.324845977068662,0.132579221262454,0.29999496197222125,15.176043274965478
A1_H2_3_current_with_B0_rescue,test,C3,A1_h2_3_current_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A1_H2_3_current_with_B0_rescue,test,C3-CO,A1_h2_3_current_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A1_H2_3_current_with_B0_rescue,test,C3-CO_low_25_100,A1_h2_3_current_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A1_H2_3_current_with_B0_rescue,test,C3-CO_mid_125_175,A1_h2_3_current_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
A1_H2_3_current_with_B0_rescue,test,C3-CO_high_200_250,A1_h2_3_current_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A1_H2_3_current_with_B0_rescue,test,C3-nonCO,A1_h2_3_current_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A1_H2_3_current_with_B0_rescue,test,C4,A1_h2_3_current_ppm,1360,13.41723599848358,6.827342967693555,0.07128030276758814,0.34137647360897677,15.02426774422979
A1_H2_3_current_with_B0_rescue,test,C4-CO,A1_h2_3_current_ppm,340,22.018698397062504,12.173390863414523,0.09786088176472224,-0.0008680697066862187,26.605720375014418
A1_H2_3_current_with_B0_rescue,test,C4-CO_low_25_100,A1_h2_3_current_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A1_H2_3_current_with_B0_rescue,test,C4-CO_mid_125_175,A1_h2_3_current_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A1_H2_3_current_with_B0_rescue,test,C4-CO_high_200_250,A1_h2_3_current_ppm,102,34.24264696168007,15.625240693886527,0.15218954205191143,-9.667424113609208,39.42329234752077
A1_H2_3_current_with_B0_rescue,test,C4-nonCO,A1_h2_3_current_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A1_H2_3_current_with_B0_rescue,test,C5,A1_h2_3_current_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
A1_H2_3_current_with_B0_rescue,test,C5-CO,A1_h2_3_current_ppm,340,26.849515813550635,17.758432076874016,0.11933118139355837,-5.504022128853786,36.41128393309119
A1_H2_3_current_with_B0_rescue,test,C5-CO_low_25_100,A1_h2_3_current_ppm,136,19.63361075360573,13.187424415369504,0.08726049223824768,-3.2080985338780628,26.27758951330722
A1_H2_3_current_with_B0_rescue,test,C5-CO_mid_125_175,A1_h2_3_current_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A1_H2_3_current_with_B0_rescue,test,C5-CO_high_200_250,A1_h2_3_current_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A1_H2_3_current_with_B0_rescue,test,C5-nonCO,A1_h2_3_current_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A1_H2_3_current_with_B0_rescue,test,nonCO_ALL,A1_h2_3_current_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A2_H2_3_direct_only_no_B0_rescue,test,ALL,A2_h2_3_direct_only_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
A2_H2_3_direct_only_no_B0_rescue,test,C3,A2_h2_3_direct_only_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO,A2_h2_3_direct_only_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_low_25_100,A2_h2_3_direct_only_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_mid_125_175,A2_h2_3_direct_only_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_high_200_250,A2_h2_3_direct_only_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A2_H2_3_direct_only_no_B0_rescue,test,C3-nonCO,A2_h2_3_direct_only_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A2_H2_3_direct_only_no_B0_rescue,test,C4,A2_h2_3_direct_only_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.2781088205086704,16.313880027124398
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO,A2_h2_3_direct_only_ppm,340,54.20708106810707,22.504273216355706,0.24092036030269812,-10.478809246177276,33.8426360329072
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_low_25_100,A2_h2_3_direct_only_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_mid_125_175,A2_h2_3_direct_only_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_high_200_250,A2_h2_3_direct_only_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.5938947018445,237.5
A2_H2_3_direct_only_no_B0_rescue,test,C4-nonCO,A2_h2_3_direct_only_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A2_H2_3_direct_only_no_B0_rescue,test,C5,A2_h2_3_direct_only_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
