round,round_wall_s,pi_client_train_core_s,pi_client_fit_callback_s,pc_client_train_core_s,pc_client_fit_callback_s,server_aggregate_total_s,server_da_s,server_non_da_s,client_waiting_or_sync_residual_s,pi_rss_mean_mib,pi_rss_peak_mib,pi_cpu_host_mean_percent,pi_cpu_host_peak_percent,pi_temperature_mean_c,pi_temperature_peak_c,pc_rss_mean_mib,pc_rss_peak_mib,pc_cpu_host_mean_percent,pc_cpu_host_peak_percent
1,982.021849119,32.742711762,32.752941408,773.4258268,773.4468685,150.48665281,150.351709662,0.134943148,58.088327809,500.8851102941176,508.109375,79.91283652731454,90.57523460985878,55.569117647058825,59.5,405.0059375,420.3125,22.631453469376307,42.1310125123608
2,864.850626052,42.122794999,42.143577367,716.05655,716.0711525,148.612609121,148.550457358,0.062151763,0.166864431,513.8813244047619,517.578125,85.21964982174575,90.23359798101349,57.208333333333336,60.6,409.69537045623144,431.40234375,25.13518229021553,63.01896286238698
3,910.444021388,42.246206153,42.26581515,762.0941466,762.1066852,148.181259641,148.119412392,0.061847249,0.156076547,514.3456101190476,517.578125,84.68031065132145,90.00735580888353,59.15952380952381,61.7,409.73845013947,431.40234375,23.486711534523494,52.58865291844
4,936.604485031,42.062870697,42.075902192,788.1707583,788.1826348,148.274629237,148.210876205,0.063753032,0.147220994,514.3208575581396,517.578125,83.38913763708756,90.81097508653902,58.13139534883721,60.6,410.20243535208897,432.46484375,27.09849923009738,72.29551863214564
5,646.641765728,42.038601767,42.057062679,497.5020083,497.5154158,148.963242704,148.896551141,0.066691563,0.163107224,514.6354166666666,517.625,84.6549243510065,89.54174948450232,59.46071428571429,62.25,410.230667794586,432.94921875,25.125326701383354,63.823457453247016
6,796.180984846,42.24345315,42.256065004,647.5824674,647.59318,148.456389818,148.392097158,0.06429266,0.131415028,514.7384672619048,517.625,85.03202111455617,90.75123959219925,59.53928571428571,62.25,410.61707279771616,432.94921875,22.298500184097534,75.47447151475485
7,920.283180842,42.313042826,42.326891089,770.7080532,770.7225394,149.394125951,149.329366282,0.064759669,0.166515491,514.9162946428571,517.625,86.16344784005021,90.84228856779707,57.470238095238095,61.15,410.0132447128611,432.94921875,21.34659989666745,42.086140752734984
8,837.597353325,42.366433873,42.386778534,688.1907416,688.2014352,148.884779356,148.820493934,0.064285422,0.511138769,514.8995535714286,518.015625,85.7024771857007,90.53218066021603,58.62261904761905,62.25,410.28025240384613,432.94921875,20.9928307973856,66.93048528205547
9,939.320873971,42.332919613,42.353064573,790.1496722,790.1716666,148.898057474,148.833867015,0.064190459,0.251149897,514.4170386904761,518.015625,85.72330867018847,90.61114494461965,58.49166666666667,60.6,410.35201524595686,432.94921875,27.250897843830998,74.41832830516002
10,702.975005808,42.445530113,42.464589809,553.2921718,553.3040755,149.449162607,149.384863012,0.064299595,0.221767701,514.6827761627907,518.015625,84.2514074990421,90.16416424056797,58.438372093023254,61.7,411.3351218271073,432.94921875,25.499256044989004,79.91782487486682
11,774.746042614,42.422319592,42.442363506,624.9708427,624.9842488,149.562319955,149.49646577,0.065854185,0.199473859,515.1276041666666,518.015625,85.70163564432387,90.66902744372378,58.701190476190476,61.15,410.5099311440678,432.94921875,22.86869164771489,87.15448688658243
12,757.636572482,42.211305312,42.2312673,608.1238691,608.1360418,149.367443915,149.301264292,0.066179623,0.133086767,515.2987351190476,518.015625,84.9690443429242,91.05756775054151,57.3,60.6,410.59691026475696,432.94921875,18.783346623675712,62.31285123426894
13,815.698498112,42.695401239,42.71413811,665.5736047,665.5891258,149.954027415,149.87513407,0.078893345,0.155344897,515.4877232142857,518.015625,86.0999912162539,89.28077955295839,57.75833333333333,61.15,410.4572051371224,432.94921875,20.14762985284206,60.120502649726994
14,677.071466827,42.155159049,42.175332482,526.578115,526.5899343,150.281513557,150.215095057,0.0664185,0.20001897,514.1918604651163,518.015625,83.77456398434231,90.22487583606727,58.348837209302324,61.15,411.63265530684106,432.94921875,21.16354812691742,64.3194691431206
15,661.582555109,42.312962342,42.326677678,510.6589782,510.6712817,150.777321419,150.709626921,0.067694498,0.13395199,515.1130087209302,518.015625,84.20241240131863,90.57455655165599,58.84767441860465,62.25,410.9367268880208,432.9921875,24.87958242136252,89.61057881884199
16,850.051805325,42.013609861,42.034198714,687.6062697,687.6232757,162.278459729,162.211268164,0.067191565,0.150069896,514.5446428571429,518.015625,84.95698523579789,91.46209741142975,58.25595238095238,61.15,410.09816339837715,432.9921875,23.544739292867675,85.96230025116297
17,806.087537824,42.343502238,42.362262492,651.3484352,651.3615973,154.548386189,154.481382263,0.067003926,0.177554335,515.0341569767442,518.015625,84.13551338273317,90.70042810848395,57.79883720930233,60.6,410.47425946661235,432.9921875,24.40902519876945,56.65418267471066
18,795.343695691,42.334552723,42.353774515,643.4589851,643.4704411,151.56603804,151.498384362,0.067653678,0.307216551,515.0457848837209,518.015625,84.53488425265647,90.74438520678166,57.466279069767445,60.6,410.8946472772277,433.12109375,21.24903854247437,77.30178666174855
19,230.300504917,42.280102273,42.300524104,65.7275737,65.7390782,164.415858525,164.343587434,0.072271091,0.145568192,515.296875,518.09375,84.83358571727995,90.63048191223261,57.77142857142857,60.6,426.52557373046875,433.890625,41.11112262230517,73.9208560143712
20,755.053893485,42.114702897,42.134551648,594.8147804,594.8327997,160.069525702,160.000717545,0.068808157,0.151568083,515.319568452381,518.09375,85.56792454119339,90.4500515719755,57.96785714285714,61.15,67.48676487030411,433.890625,24.67274682407696,77.63432813767959
21,1002.284730776,42.276806884,42.296539223,847.4677234,847.4847127,154.594061703,154.525045023,0.06901668,0.205956373,515.2745535714286,518.34375,85.93614096139736,90.61144465821293,58.596428571428575,60.6,68.59669448390152,433.890625,23.01762759602941,66.28841035437159
22,1015.550436585,42.02017261,42.04022742,841.7517373,841.7646465,173.606181636,173.495548779,0.110632857,0.179608449,514.8768601190476,518.34375,85.46767936477217,90.88532085347263,58.845238095238095,61.7,68.80721245247149,433.890625,27.864385888372553,67.95817526311191
