sample_index,pred_class,h8_ppm,deployment_risk_full,qc_decision,auto_output_ppm,qc_workpoint,selected_profile,filename,repeat_id
0,0,111.1965571255975,0.4916666666666667,accept,111.1965571255975,HC95,b5_c5_r4_h23_hc95,B5_GEa_F090_R2.txt,2
1,0,65.96746491327033,0.40625,accept,65.96746491327033,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R2.txt,2
2,0,23.52794710739304,0.4875,accept,23.52794710739304,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
3,2,98.08892858210714,0.6895833333333333,accept,98.08892858210714,HC95,b5_c5_r4_h23_hc95,B5_GEy_F090_R1.txt,1
4,3,64.82507855099028,0.55625,accept,64.82507855099028,HC95,b5_c5_r4_h23_hc95,B5_GMe_F030_R2.txt,2
5,0,23.541953765067397,0.3875,accept,23.541953765067397,HC95,b5_c5_r4_h23_hc95,B5_GEa_F020_R1.txt,1
6,0,85.35254551336965,0.4666666666666666,accept,85.35254551336965,HC95,b5_c5_r4_h23_hc95,B5_GEa_F070_R1.txt,1
7,3,220.44699265545776,0.3916666666666666,accept,220.44699265545776,HC95,b5_c5_r4_h23_hc95,B5_GMe_F090_R1.txt,1
8,1,208.88452486486182,0.6749999999999999,accept,208.88452486486182,HC95,b5_c5_r4_h23_hc95,B5_GCO_F090_R2.txt,2
9,0,39.34887742598707,0.4291666666666667,accept,39.34887742598707,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R1.txt,1
10,1,161.04497918723962,0.4937500000000001,accept,161.04497918723962,HC95,b5_c5_r4_h23_hc95,B5_GCO_F060_R2.txt,2
11,1,241.63494133471798,0.725,accept,241.63494133471798,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R1.txt,1
12,0,125.0,0.4666666666666666,accept,125.0,HC95,b5_c5_r4_h23_hc95,B5_GEa_F100_R2.txt,2
13,2,12.5,0.7625000000000001,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GMe_F020_R1.txt,1
14,0,100.23106490995738,0.4479166666666667,accept,100.23106490995738,HC95,b5_c5_r4_h23_hc95,B5_GEa_F070_R2.txt,2
15,1,57.68489052155177,0.6895833333333332,accept,57.68489052155177,HC95,b5_c5_r4_h23_hc95,B5_GCO_F020_R2.txt,2
16,0,64.93520256635838,0.49374999999999997,accept,64.93520256635838,HC95,b5_c5_r4_h23_hc95,B5_GEa_F050_R2.txt,2
17,2,39.55796726749193,0.625,accept,39.55796726749193,HC95,b5_c5_r4_h23_hc95,B5_GEy_F030_R2.txt,2
18,0,95.92565245511939,0.5270833333333332,accept,95.92565245511939,HC95,b5_c5_r4_h23_hc95,B5_GEa_F060_R1.txt,1
19,1,235.30207143846118,0.6583333333333333,accept,235.30207143846118,HC95,b5_c5_r4_h23_hc95,B5_GCO_F100_R2.txt,2
20,0,41.032414356549474,0.4979166666666666,accept,41.032414356549474,HC95,b5_c5_r4_h23_hc95,B5_GEa_F030_R1.txt,1
21,2,25.510885557570617,0.6395833333333333,accept,25.510885557570617,HC95,b5_c5_r4_h23_hc95,B5_GEy_F020_R1.txt,1
22,2,12.5,0.7666666666666666,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GCO_F010_R2.txt,2
23,2,27.166367637881294,0.75625,accept,27.166367637881294,HC95,b5_c5_r4_h23_hc95,B5_GEy_F030_R2.txt,2
24,0,64.72689494088723,0.45208333333333334,accept,64.72689494088723,HC95,b5_c5_r4_h23_hc95,B5_GEa_F050_R1.txt,1
25,0,12.5,0.39166666666666666,accept,12.5,HC95,b5_c5_r4_h23_hc95,B5_GEa_F010_R1.txt,1
