decile,N,risk_min,risk_max,RMSE,MAE,misclassification_rate
1,136,0.27578125,0.34375,5.64332388465357,4.243066615783288,0.0
2,136,0.34453124999999996,0.43281250000000004,6.813619089700243,5.160925787498855,0.0
3,136,0.4359375,0.50546875,21.11481881326353,7.192932314795899,0.007352941176470588
4,136,0.50625,0.56953125,6.906860373786434,4.3457411508232875,0.0
5,136,0.5703125,0.665625,13.141308575477296,7.169851433330739,0.0
6,136,0.66796875,0.7242187499999999,9.135337084459005,6.50243863163673,0.0
7,136,0.7242187499999999,0.7531249999999999,9.886552652096306,6.8586075674032445,0.0
8,136,0.753125,0.81640625,19.04865540638011,8.579430684229541,0.014705882352941176
9,136,0.8171875,0.8976562499999999,21.013562585901962,10.661959644531313,0.014705882352941176
10,136,0.89921875,1.0,69.6317069383036,33.12252475262404,0.16176470588235295
