round,fit_clients,fit_failures,evaluate_clients,evaluate_failures,fit_seconds_weighted_mean,evaluate_nll,evaluate_accuracy,C1_fit_seconds,C2_fit_seconds,C1_num_examples,C2_num_examples,local_epochs,training_seed,da_num_steps,da_total_loss,da_checkpoint_changed_tensors,selective_active
1,2,0,2,0,47.197287868992134,0.13859331125722213,0.9948529411764706,33.566950761000044,60.827624976984225,2360,2360,5,43,100,1423.3258056640625,76,False
2,2,0,2,0,58.0494223840069,0.04049809478661593,0.9948529411764706,41.93440460599959,74.16444016201422,2360,2360,5,43,100,1701.1239013671875,76,False
3,2,0,2,0,57.904043034002825,0.03147472697584068,0.9933823529411765,42.01418634700531,73.79389972100034,2360,2360,5,43,100,1989.974365234375,76,False
4,2,0,2,0,57.37430149148713,0.018042854804490856,0.9970588235294118,41.773118163997424,72.97548481897684,2360,2360,5,43,100,1890.15283203125,76,True
5,2,0,2,0,57.78177190900897,0.01937188411693034,0.9970588235294118,42.07442975899903,73.4891140590189,2360,2360,5,43,100,1879.420654296875,76,True
6,2,0,2,0,57.94738264550688,0.0173025201937622,0.9977941176470588,42.064316442003474,73.83044884901028,2360,2360,5,43,100,2001.9033203125,76,True
7,2,0,2,0,57.583911374495074,0.011309808545389814,0.9977941176470588,41.701101911996375,73.46672083699377,2360,2360,5,43,100,2076.307861328125,76,True
8,2,0,2,0,58.24016246951214,0.01946450274947839,0.9963235294117647,41.86071998400439,74.6196049550199,2360,2360,5,43,100,2029.89990234375,76,True
9,2,0,2,0,58.070700193005905,0.022026429375631887,0.9955882352941177,41.79193791899888,74.34946246701293,2360,2360,5,43,100,2001.353271484375,76,True
10,2,0,2,0,57.78863915250258,0.01612085897622284,0.9977941176470588,42.0199789560138,73.55729934899136,2360,2360,5,43,100,2157.6943359375,76,True
11,2,0,2,0,57.62990084502235,0.00834947753291464,0.9985294117647059,41.90432871899975,73.35547297104495,2360,2360,5,43,100,2157.851318359375,76,True
12,2,0,2,0,57.9470072994809,0.015616471789989565,0.9985294117647059,41.62009601799946,74.27391858096235,2360,2360,5,43,100,2190.2099609375,76,True
13,2,0,2,0,58.23473043401464,0.020673127165162654,0.9963235294117647,41.71080620800785,74.75865466002142,2360,2360,5,43,100,2234.804931640625,76,True
14,2,0,2,0,57.81068353349838,0.005754865004286437,0.9992647058823529,42.21783666500414,73.40353040199261,2360,2360,5,43,100,2283.129638671875,76,True
15,2,0,2,0,57.56618743699801,0.006274837450444145,0.9992647058823529,41.756561376998434,73.37581349699758,2360,2360,5,43,100,2299.29345703125,76,True
16,2,0,2,0,57.96405612798844,0.0057793726420239935,0.9992647058823529,41.89990772899182,74.02820452698506,2360,2360,5,43,100,2315.986083984375,76,True
17,2,0,2,0,58.53938866849785,0.006909019272187406,0.9992647058823529,42.07442055300635,75.00435678398935,2360,2360,5,43,100,2476.797607421875,76,True
18,2,0,2,0,57.82375379349833,0.003754898179396846,0.9992647058823529,41.97463973298727,73.67286785400938,2360,2360,5,43,100,2391.013427734375,76,True
19,2,0,2,0,57.5388335440075,0.001714380032650725,0.9992647058823529,41.844874856004026,73.23279223201098,2360,2360,5,43,100,2509.015869140625,76,True
20,2,0,2,0,58.057458180512185,0.0063607302123968755,0.9992647058823529,41.93656427200767,74.1783520890167,2360,2360,5,43,100,2472.01953125,76,True
21,2,0,2,0,57.984055661494494,0.004364824862299135,0.9992647058823529,41.808048990991665,74.16006233199732,2360,2360,5,43,100,2492.759033203125,76,True
22,2,0,2,0,57.88952109800448,0.0013891787764484485,0.9992647058823529,42.072646597996936,73.70639559801202,2360,2360,5,43,100,2494.921875,76,True
23,2,0,2,0,58.2607335194989,0.0021925963021922545,0.9992647058823529,41.942599943999085,74.57886709499871,2360,2360,5,43,100,2584.164794921875,76,True
24,2,0,2,0,58.01812818651524,0.0005484490489660696,0.9992647058823529,41.802588812002796,74.23366756102769,2360,2360,5,43,100,2514.9453125,76,True
25,2,0,2,0,58.55100491648045,3.4882526447558224e-05,1.0,42.00799012700736,75.09401970595354,2360,2360,5,43,100,2592.23046875,76,True
