round,c1_fit_seconds,c2_fit_seconds,fit_round_wall_seconds,server_da_seconds,server_aggregate_non_da_seconds,da_steps,fit_failures,eval_failures
1,33.184095144,58.614292788,236.988455871,165.154665318,0.071491252,100,0,0
2,41.664215824,74.073732407,239.465904683,165.055741958,0.08102178,100,0,0
3,41.879423756,75.708562143,238.468972958,162.371450403,0.072575208,100,0,0
4,42.334226277,73.210656574,236.890216117,163.346876777,0.078330481,100,0,0
5,42.206952362,73.492318822,237.416882324,163.550644642,0.065943112,100,0,0
6,41.967853179,74.688226955,237.815258018,162.84480039,0.067416188,100,0,0
7,41.53213521,77.087062697,240.512556967,163.08837355,0.067068395,100,0,0
8,41.671187678,75.152791277,239.315824405,163.843774805,0.071465179,100,0,0
9,41.699808449,74.582844117,238.572591525,163.64083073,0.079193747,100,0,0
10,42.367241219,74.765625969,238.906123516,163.77928545,0.089479406,100,0,0
11,41.948412855,74.906288827,238.081469615,162.850910651,0.073405037,100,0,0
12,41.990095598,73.883869854,237.285373848,163.063963841,0.084832958,100,0,0
13,41.794443046,75.417865448,239.50934336,163.74565309,0.078314169,100,0,0
14,41.524605195,74.623697107,238.33980832,163.402373821,0.068964249,100,0,0
15,41.901341437,76.893065472,240.307006417,163.101653089,0.07966765,100,0,0
16,41.512610798,76.48688551,239.48492625,162.669083763,0.072016127,100,0,0
17,41.822032665,74.012906875,237.822581607,163.465628524,0.086753799,100,0,0
18,41.813473373,74.441677447,238.133983692,163.255316541,0.080718123,100,0,0
19,42.118535619,75.333733262,239.391204019,163.727779898,0.080416682,100,0,0
20,41.712480366,74.131446448,237.569257997,163.138341206,0.071323857,100,0,0
21,42.336401646,74.400312562,237.437721879,162.669171079,0.072422647,100,0,0
22,41.789269622,73.804661683,237.57866119,163.462286382,0.078670686,100,0,0
23,42.021855514,74.513083899,238.678428096,163.85779702,0.075981488,100,0,0
24,42.024002346,78.373450554,241.784413374,163.098287411,0.072399296,100,0,0
25,42.001124412,74.60489393,240.925698893,165.988433882,0.080209726,100,0,0
