seed,variant,class_id,gas,calibration_fit_N,calibration_validation_N,target_input_dimension,selected_alpha,calibration_validation_RMSE,alpha_grid_audit,selection_split
46,RG0_RICH_ONLY,0,Ethanol,60,20,104,1.0,4.742358215808152,"[{""alpha"": 0.0, ""validation_RMSE"": 15.007445885770077}, {""alpha"": 0.01, ""validation_RMSE"": 7.124853707973962}, {""alpha"": 0.1, ""validation_RMSE"": 5.4773913750829575}, {""alpha"": 1.0, ""validation_RMSE"": 4.742358215808152}, {""alpha"": 10.0, ""validation_RMSE"": 6.048344328013863}, {""alpha"": 100.0, ""validation_RMSE"": 9.354319905826578}, {""alpha"": 1000.0, ""validation_RMSE"": 19.748790340856587}]",C5_calibration_internal_validation
46,RG0_RICH_ONLY,1,CO,60,20,104,10.0,31.22706766932505,"[{""alpha"": 0.0, ""validation_RMSE"": 47.13176553696703}, {""alpha"": 0.01, ""validation_RMSE"": 39.67713795669636}, {""alpha"": 0.1, ""validation_RMSE"": 35.55192675079786}, {""alpha"": 1.0, ""validation_RMSE"": 31.953398908807152}, {""alpha"": 10.0, ""validation_RMSE"": 31.22706766932505}, {""alpha"": 100.0, ""validation_RMSE"": 34.07096484697056}, {""alpha"": 1000.0, ""validation_RMSE"": 46.0868176616386}]",C5_calibration_internal_validation
46,RG0_RICH_ONLY,2,Ethylene,60,20,104,0.0,9.335383891121294,"[{""alpha"": 0.0, ""validation_RMSE"": 9.335383891121294}, {""alpha"": 0.01, ""validation_RMSE"": 11.698487404854218}, {""alpha"": 0.1, ""validation_RMSE"": 12.493801144702623}, {""alpha"": 1.0, ""validation_RMSE"": 12.21302066174887}, {""alpha"": 10.0, ""validation_RMSE"": 11.926659551207981}, {""alpha"": 100.0, ""validation_RMSE"": 11.549673584109224}, {""alpha"": 1000.0, ""validation_RMSE"": 19.36067549203523}]",C5_calibration_internal_validation
46,RG0_RICH_ONLY,3,Methane,60,20,104,0.0,9.013301794881595,"[{""alpha"": 0.0, ""validation_RMSE"": 9.013301794881595}, {""alpha"": 0.01, ""validation_RMSE"": 13.05454485254881}, {""alpha"": 0.1, ""validation_RMSE"": 10.080287704513454}, {""alpha"": 1.0, ""validation_RMSE"": 18.963334670809036}, {""alpha"": 10.0, ""validation_RMSE"": 44.593196899214924}, {""alpha"": 100.0, ""validation_RMSE"": 62.70348605264752}, {""alpha"": 1000.0, ""validation_RMSE"": 63.202573802500275}]",C5_calibration_internal_validation
46,RG1_FEDERATED_H1,0,Ethanol,60,20,105,1.0,5.178443970299135,"[{""alpha"": 0.0, ""validation_RMSE"": 12.698756530811275}, {""alpha"": 0.01, ""validation_RMSE"": 8.14700091066056}, {""alpha"": 0.1, ""validation_RMSE"": 6.657024638872022}, {""alpha"": 1.0, ""validation_RMSE"": 5.178443970299135}, {""alpha"": 10.0, ""validation_RMSE"": 6.286048294207224}, {""alpha"": 100.0, ""validation_RMSE"": 9.452733752441874}, {""alpha"": 1000.0, ""validation_RMSE"": 19.76394114047263}]",C5_calibration_internal_validation
46,RG1_FEDERATED_H1,1,CO,60,20,105,1.0,27.98536239732476,"[{""alpha"": 0.0, ""validation_RMSE"": 33.52413684042519}, {""alpha"": 0.01, ""validation_RMSE"": 30.305506765272526}, {""alpha"": 0.1, ""validation_RMSE"": 28.928794317563142}, {""alpha"": 1.0, ""validation_RMSE"": 27.98536239732476}, {""alpha"": 10.0, ""validation_RMSE"": 30.290528334822472}, {""alpha"": 100.0, ""validation_RMSE"": 34.43333430209401}, {""alpha"": 1000.0, ""validation_RMSE"": 45.981944557533396}]",C5_calibration_internal_validation
46,RG1_FEDERATED_H1,2,Ethylene,60,20,105,0.0,9.335383899246766,"[{""alpha"": 0.0, ""validation_RMSE"": 9.335383899246766}, {""alpha"": 0.01, ""validation_RMSE"": 11.698487404688828}, {""alpha"": 0.1, ""validation_RMSE"": 12.493801144705978}, {""alpha"": 1.0, ""validation_RMSE"": 12.213020661748947}, {""alpha"": 10.0, ""validation_RMSE"": 11.926659551207992}, {""alpha"": 100.0, ""validation_RMSE"": 11.549673584109232}, {""alpha"": 1000.0, ""validation_RMSE"": 19.360675492035277}]",C5_calibration_internal_validation
46,RG1_FEDERATED_H1,3,Methane,60,20,105,0.1,7.127037811476535,"[{""alpha"": 0.0, ""validation_RMSE"": 9.213665329719959}, {""alpha"": 0.01, ""validation_RMSE"": 12.119033429188418}, {""alpha"": 0.1, ""validation_RMSE"": 7.127037811476535}, {""alpha"": 1.0, ""validation_RMSE"": 14.088556577550555}, {""alpha"": 10.0, ""validation_RMSE"": 40.319807106031185}, {""alpha"": 100.0, ""validation_RMSE"": 61.40014353587142}, {""alpha"": 1000.0, ""validation_RMSE"": 62.83753914093598}]",C5_calibration_internal_validation
46,RG2_ALL_PRIOR,0,Ethanol,60,20,107,1.0,5.119772627843357,"[{""alpha"": 0.0, ""validation_RMSE"": 12.951511705562755}, {""alpha"": 0.01, ""validation_RMSE"": 8.728324106349989}, {""alpha"": 0.1, ""validation_RMSE"": 6.720198634237475}, {""alpha"": 1.0, ""validation_RMSE"": 5.119772627843357}, {""alpha"": 10.0, ""validation_RMSE"": 6.338226465081524}, {""alpha"": 100.0, ""validation_RMSE"": 9.440872274957309}, {""alpha"": 1000.0, ""validation_RMSE"": 19.52630443591723}]",C5_calibration_internal_validation
46,RG2_ALL_PRIOR,1,CO,60,20,107,1.0,29.486838183151562,"[{""alpha"": 0.0, ""validation_RMSE"": 34.889365571040415}, {""alpha"": 0.01, ""validation_RMSE"": 32.56277460177909}, {""alpha"": 0.1, ""validation_RMSE"": 30.52538917069938}, {""alpha"": 1.0, ""validation_RMSE"": 29.486838183151562}, {""alpha"": 10.0, ""validation_RMSE"": 31.047312695165136}, {""alpha"": 100.0, ""validation_RMSE"": 34.968643133983264}, {""alpha"": 1000.0, ""validation_RMSE"": 46.018973400351655}]",C5_calibration_internal_validation
46,RG2_ALL_PRIOR,2,Ethylene,60,20,107,0.0,8.204678858574992,"[{""alpha"": 0.0, ""validation_RMSE"": 8.204678858574992}, {""alpha"": 0.01, ""validation_RMSE"": 9.152379499375423}, {""alpha"": 0.1, ""validation_RMSE"": 10.399232405069018}, {""alpha"": 1.0, ""validation_RMSE"": 9.776181115049258}, {""alpha"": 10.0, ""validation_RMSE"": 10.757817180708596}, {""alpha"": 100.0, ""validation_RMSE"": 11.33916448611329}, {""alpha"": 1000.0, ""validation_RMSE"": 19.25068501843907}]",C5_calibration_internal_validation
