seed,variant,S_ALL_N,S_ALL_RMSE,S_ALL_MAE,S_ALL_NRMSE,S_CC_N,S_CC_RMSE,S_CC_MAE,S_CC_NRMSE,route_error_count,CO_RMSE,CO_high_N,CO_high_RMSE
42,RG0_RICH_ONLY,1360,25.898476869586858,10.980889763227566,0.1968394318532585,1333,14.201930380221318,8.421072747144395,0.07667358415854973,27,27.520055545853058,102,40.44096205745392
42,RG1_FEDERATED_H1,1360,25.648978143013927,9.383747858255797,0.20429475620109924,1333,11.341598573023923,6.777275530305491,0.06649953602494117,27,22.6649997607787,102,35.02121278446352
42,RG2_ALL_PRIOR,1360,25.908669856763723,9.24798964111725,0.20569208032522604,1333,11.148363841575641,6.529563200945047,0.06318375603350966,27,22.91416650710558,102,35.627839751901796
43,RG0_RICH_ONLY,1360,19.72804232639663,9.61384279561397,0.13012501431197715,1341,14.755509177799803,8.585737093133721,0.07973525054439691,19,26.972440451366584,102,35.739817388195625
43,RG1_FEDERATED_H1,1360,17.519432093674475,7.955542793871845,0.12140855617131267,1341,11.991559792766576,6.931845858533863,0.06989301115079226,19,21.57189575563485,102,28.40710203297695
43,RG2_ALL_PRIOR,1360,17.749919110642434,7.955866913064582,0.12380268290761284,1341,11.827743708819416,6.846971884995392,0.067236231095762,19,21.49554803287247,102,28.299086877758363
44,RG0_RICH_ONLY,1360,16.268914829284444,8.888902508176379,0.10432196886467732,1353,14.275527565925309,8.479760700037934,0.07759101456538604,7,22.75323491722763,102,28.951524105820212
44,RG1_FEDERATED_H1,1360,13.871307695837194,7.2561395358551115,0.09742518935058737,1353,11.416514777977412,6.834830733972239,0.06750792081795752,7,15.962721684791092,102,19.105970421304782
44,RG2_ALL_PRIOR,1360,13.87661663776449,7.24700850431075,0.09720404353379956,1353,11.37909561454046,6.819249710692602,0.06659548485176237,7,15.858215699267275,102,18.942346297415263
45,RG0_RICH_ONLY,1360,20.34197702555337,9.659438373724369,0.14827151782033918,1349,14.719783146796772,8.591322017177829,0.0795102285864319,11,22.75323491722763,102,28.951524105820212
45,RG1_FEDERATED_H1,1360,17.93601214237044,7.884879325289563,0.13793526296556594,1349,11.95755108195878,6.940692607992286,0.06966437091627173,11,15.962721684791092,102,19.105970421304782
45,RG2_ALL_PRIOR,1360,17.997126901115976,7.8701164146137215,0.13836535162054103,1349,11.871197127564583,6.891175635518361,0.06808387145197947,11,15.858215699267275,102,18.942346297415263
46,RG0_RICH_ONLY,1360,20.09651441145291,9.522149815017146,0.14190969854720237,1350,14.320405210805212,8.506437438954203,0.07810032406791073,10,22.75323491722763,102,28.951524105820212
46,RG1_FEDERATED_H1,1360,17.5643954250521,7.713159415484317,0.13010201758383047,1350,11.462067079839205,6.851946088367303,0.06805737243265196,10,15.962721684791092,102,19.105970421304782
46,RG2_ALL_PRIOR,1360,17.458533842565753,7.683476513235048,0.12875291733801061,1350,11.377430469296671,6.810441561212935,0.06650095646453222,10,15.858215699267275,102,18.942346297415263
