experiment_id,target,variant,input_dimension,seed,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,12.5,34,42.737738134825335,13.21620604529178,nan,0.37989100564289185
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,25.0,34,6.043232617317953,3.955324979079818,nan,0.05371762326504846
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,37.5,34,20.54408623522973,10.423378307554453,nan,0.18261409986870872
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,50.0,34,9.678484785283912,4.899759454842869,nan,0.08603097586919031
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,62.5,34,8.216576160923392,5.216047029135037,nan,0.07303623254154126
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,75.0,34,7.665777250086167,5.905696148663449,nan,0.06814024222298816
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,87.5,34,7.976769411245367,5.225475586456794,nan,0.07090461698884772
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,100.0,34,16.323414251645854,7.584649469894022,nan,0.14509701557018537
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,112.5,34,6.357807827251027,4.627019518160024,nan,0.056513847353342465
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,125.0,34,5.012181249436337,2.633097068004957,nan,0.04455272221721189
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,25.0,34,6.392557525973983,2.8533716516250096,nan,0.028411366782106588
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,50.0,34,14.19653887266863,11.753326688465084,nan,0.0630957283229717
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,75.0,34,18.70737522755632,15.102387092204836,nan,0.0831438899002503
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,100.0,34,15.179637338148973,11.417686473673761,nan,0.06746505483621765
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,125.0,34,12.726418109839438,9.386995177729423,nan,0.05656185826595305
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,150.0,34,13.311965191542473,10.903901554017564,nan,0.059164289740188766
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,175.0,34,17.058915503809246,11.651493157174672,nan,0.0758174022391522
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,200.0,34,18.519572116237516,15.586778500310492,nan,0.08230920940550007
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,225.0,34,22.819934511539685,17.79993436061872,nan,0.1014219311623986
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,250.0,34,15.211520461159163,11.206202890700588,nan,0.06760675760515183
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,12.5,34,3.6068925309812805,1.7140117840217235,nan,0.03206126694205583
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,25.0,34,4.501605587225602,2.8452315768086405,nan,0.0400142718864498
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,37.5,34,5.830167581996368,3.9950967399747603,nan,0.05182371183996771
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,50.0,34,4.209829851995988,3.146677552603584,nan,0.03742070979551989
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,62.5,34,7.280225072527217,4.879683587212149,nan,0.06471311175579748
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,75.0,34,5.031265154553653,3.5460648203840592,nan,0.0447223569293658
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,87.5,34,52.52465142990064,24.754163908688486,nan,0.4668857904880057
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,100.0,34,4.618395430944663,3.257638507223756,nan,0.04105240383061923
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,112.5,34,10.218343618196966,6.639871907064881,nan,0.0908297210506397
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,2,Ethylene,125.0,34,7.482624760173277,5.132212272390201,nan,0.06651222009042913
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,25.0,34,5.993437485679195,4.0200181312697225,nan,0.026637499936351977
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,50.0,34,10.403001896268412,6.496128158461988,nan,0.04623556398341516
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,75.0,34,6.619837217856935,5.268010606505185,nan,0.029421498746030818
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,100.0,34,13.849682957120615,6.074164342628458,nan,0.06155414647609163
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,125.0,34,30.83552922233517,12.138789403389449,nan,0.13704679654371185
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,150.0,34,5.577645706829292,4.496281790485252,nan,0.024789536474796856
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,175.0,34,7.224687651820978,4.700373538967992,nan,0.03210972289698212
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,200.0,34,14.094349308734728,8.313655466685617,nan,0.06264155248326544
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,225.0,34,10.208608867911082,8.202846571781159,nan,0.045371594968493696
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,3,Methane,250.0,34,9.474364770168364,7.014948809601612,nan,0.042108287867414954
