dataset,role,path,exists,bytes,sha256,shape,dtype,mean,std,min,max
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\split_info.json,True,469,281c6fbb91d8e54dda4b0165afa6697d594cf5fa81818af5cc1ff36257d0e66f,,,,,,
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\split_protocol_manifest.json,False,,,,,,,,
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\norm_stats.npz,True,628,b0dccda365b114a88541d87d1e6edfe9ce412ec27a24d6eeea8a14bfde1ddc71,mean:1x1x8;std:1x1x8,mean:float64;std:float64,"[0.42043194796968814, 0.22262790118063028, 0.5683962385541773, 0.9913164915695704, 0.9149289581878147, 0.501257163196353, 1.0474728837711385, 1.810181917953939]","[0.4887700368973785, 0.3296627655752795, 0.5043924616709977, 1.3610119360635695, 1.023950078066657, 0.7681582770831148, 1.006191646409347, 2.355805282817596]",,
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_features.npy,True,2048128,99e3a5fc72c81a598e6c9f9317b17302f09465e783d204d5bf53bd1c70066e3e,320x100x8,float64,0.6487061220313827,0.8848701341859275,-0.13971269235823738,4.680236651912714
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_classification_labels.npy,True,1408,ab86987f6493f8e1b3aca7283992978948c82d1621e4954055251adb9f0301d2,320,int32,1.5,1.118033988749895,0.0,3.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_regression_labels.npy,True,5248,665e7fd4883a596ad2161704adaf0b8cf9c8251a5080e8273deef138b0b63619,320x4,float32,25.78125,55.6335563659668,0.0,250.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_phase_labels.npy,True,2688,fc459637354518e2d4eeb26b89648b2735797555e88bdd7bacc482179c7608fd,320,int64,2.0,0.0,2.0,2.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_experiment_info.json,True,125960,e9d147f30cf7a8f534da43a0b14558dc7ec3f83eca443dad226306ed2c56a01e,,,,,,
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_features.npy,True,8704128,7955cb70b24fa86ce109a52ca3b2231ad543b8ba8be0276781ffa03384143a82,1360x100x8,float64,0.6557844830535307,0.8882982154922773,-0.13635191868336138,4.709366070639725
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_classification_labels.npy,True,5568,e1485405cd2249e3f05446939ace84c67b0ec824cd1a7fd330870a5a1218f456,1360,int32,1.5,1.118033988749895,0.0,3.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_regression_labels.npy,True,21888,1d0d42364e3efb4fca2f88760b5c2a54e2834fd8d0460eb0030a704239061021,1360x4,float32,25.78125,55.6335563659668,0.0,250.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_phase_labels.npy,True,11008,a69f333c8418fa3bf94c599a2d684cd122b4a46df2ff405bced227b68fcdb8b5,1360,int64,2.0,0.0,2.0,2.0
OLD,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_experiment_info.json,True,535350,9b48459f52698b11fad66c0a2c63c9ede22292555e4bcaa71125e1f7e90097bf,,,,,,
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\features.npy,True,10752128,15881cc9cd9f25c173c0e844d99a0c96b35890d95ef661dd5c2647c31aaf0db4,1680x100x8,float64,0.6544362238112168,0.8876506200937246,-0.13971269235823738,4.709366070639725
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\classification_labels.npy,True,6848,1c8d58314f41adf41b6e89e3d7ef170e6dd34ec993dbb774c9ee3db2b03f994c,1680,int32,1.5,1.118033988749895,0.0,3.0
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\regression_labels.npy,True,27008,dd653ec40195d843fe5e459cb3fdaf5ece002a21ba89534921fe9b39621ff53a,1680x4,float32,25.78125,55.63356399536133,0.0,250.0
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\phase_labels.npy,True,1808,73d34c67c876f4770fb01a8c942a6bffa8e09c73d4edbcbbcb08f62cb982225c,1680,int8,2.0,0.0,2.0,2.0
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\experiment_info.json,True,585063,81a43e06d360ee034e11efe97130598bb2cb6701e4676f66b8db4e6471359c5d,,,,,,
OLD,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\processed\unit_5\file_info.json,True,2964,e5be3495a5985958c8ea37b30fba17702ac939de8d12bd8279f341da0a62b819,,,,,,
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\split_info.json,True,819,e8b8683c1629775f1fb601be28f2de5b1d6ffbd25f703f9fb4bbf3a1fdb334c7,,,,,,
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\split_protocol_manifest.json,True,819,e8b8683c1629775f1fb601be28f2de5b1d6ffbd25f703f9fb4bbf3a1fdb334c7,,,,,,
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\norm_stats.npz,True,564,36cb04ade212d80f21003e07c9d20034043bdeeb70c31fd296c56ce8cc559698,mean:1x1x8;std:1x1x8,mean:float32;std:float32,"[0.4224049150943756, 0.22652792930603027, 0.4603113830089569, 1.3169420957565308, 0.849183976650238, 0.47293657064437866, 0.8673919439315796, 1.7942405939102173]","[0.5060200691223145, 0.34123697876930237, 0.4470541775226593, 1.6347038745880127, 0.983556866645813, 0.7012635469436646, 0.8865687847137451, 2.1398823261260986]",,
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_features.npy,True,1024128,84fb925ec8792759266f163ebb4829e6f5c9924b18e3224b59207aeb0363ace4,320x100x8,float32,0.6560821533203125,0.8907942175865173,-0.026086226105690002,4.7092695236206055
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_classification_labels.npy,True,2688,013f50a66861748a9c72bf23bddc28f196861744c2d8218e43eda095d8e613b0,320,int64,1.5,1.118033988749895,0.0,3.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_regression_labels.npy,True,5248,d4f7bed3f774b3fc3689de38bbd22baba4430482f644f52041e7aecbc20c07c8,320x4,float32,25.78125,55.6335563659668,0.0,250.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_phase_labels.npy,True,2688,fc459637354518e2d4eeb26b89648b2735797555e88bdd7bacc482179c7608fd,320,int64,2.0,0.0,2.0,2.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\calibration_experiment_info.json,True,240610,4fcff7a99490e957dd3e622204364100c5737e26ff641cb242a09ed87f9cf997,,,,,,
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_features.npy,True,4352128,4204a06d15e6640c225b64a9f9a19b71a7bff1b5bb3e09de1b5f58280b39d240,1360x100x8,float32,0.6678459048271179,0.892322301864624,-0.026086226105690002,4.7092695236206055
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_classification_labels.npy,True,11008,0a884d8f9461e65c39a60cb86cf715f4e392580c423447a6cf85a591d9b61658,1360,int64,1.5,1.118033988749895,0.0,3.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_regression_labels.npy,True,21888,f8504a4a3ac47b622cae67a58b848cb3bb800706fc052080658c4f7e7c8a314f,1360x4,float32,25.78125,55.6335563659668,0.0,250.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_phase_labels.npy,True,11008,a69f333c8418fa3bf94c599a2d684cd122b4a46df2ff405bced227b68fcdb8b5,1360,int64,2.0,0.0,2.0,2.0
NEW,artifact,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\client_data_c12src_c345tgt_2080_timeaware_60_170_window_fullgrid\client_5\test_experiment_info.json,True,1022897,9c0c5d1d438ce1d766762bcdcdd44f4921d1d4821943d959ef7e7eb878673c60,,,,,,
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\features.npy,True,5376128,91b307c85daffb1bbe257f156a8b40939d8f03f1926bfa61088a947dbb6f1133,1680x100x8,float32,0.6656053066253662,0.89204341173172,-0.026086226105690002,4.7092695236206055
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\classification_labels.npy,True,13568,d288dbc5868fd573e965f104f8a89df07c4329e60bb5553c72d253c545e40705,1680,int64,1.5,1.118033988749895,0.0,3.0
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\regression_labels.npy,True,27008,dd653ec40195d843fe5e459cb3fdaf5ece002a21ba89534921fe9b39621ff53a,1680x4,float32,25.78125,55.63356399536133,0.0,250.0
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\phase_labels.npy,True,13568,19c8e34af91e2accff1ab9aae6923811d43e3e0db144c331e983d8d837937b7c,1680,int64,2.0,0.0,2.0,2.0
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\experiment_info.json,True,1263502,5bb1d8c42f243342f309e521bcc44ca477008a974ed49b985075cf13182ef80a,,,,,,
NEW,upstream,D:\A Python learning\Federated Learning\TRAE SOLO\results\time_aware_pipeline_probe_window_fullgrid\time_aware_60_170_window_fullgrid\processed\unit_5\file_info.json,True,2966,41cbb25061cafe039f3dc2bbe9793cf1be6aa7f8acd9d56ace9653fc5b2ab99e,,,,,,
OLD,generator_script,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\preprocessor.py,True,43348,285247c2478abb448122ee1be6e98c4a0f6a0c29ba4d99d521d3361073f4a9b7,,,,,,
OLD,generator_script,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\split_dataset.py,True,78052,c9f81b16c9eb3cd40ea2b187018449cd64963139089b175e17f7f169752064b1,,,,,,
NEW,generator_script,D:\A Python learning\Federated Learning\TRAE SOLO\preprocessor_time_aware.py,True,21971,3800835dcabb295195249e0fbf191d6b606d46d5dc30ffbd7264c222bfa2c606,,,,,,
NEW,generator_script,D:\A Python learning\Federated Learning\TRAE SOLO\run_time_aware_target_split_ablation.py,True,42809,287041fe52cefc47c7f7abe82334caca10bd930340d639f02ad47e7d693895b1,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F010_R1.txt,True,4378905,b8f8baed3757d13176de72e243ce3e533112f3f8e7100d41e57da0fa63e41a8d,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F010_R1.txt,True,4378905,b8f8baed3757d13176de72e243ce3e533112f3f8e7100d41e57da0fa63e41a8d,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F010_R2.txt,True,4278019,5f3dcf66670050abd9ae7e4601120ec321c1f50d3cf8e6f763aa130219594779,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F010_R2.txt,True,4278019,5f3dcf66670050abd9ae7e4601120ec321c1f50d3cf8e6f763aa130219594779,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F020_R1.txt,True,4379708,ca5d1919976c782b78c328ba5fa276b4a18d52d58bae98a7cf3a2b6d0f6c0e02,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F020_R1.txt,True,4379708,ca5d1919976c782b78c328ba5fa276b4a18d52d58bae98a7cf3a2b6d0f6c0e02,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F020_R2.txt,True,4378540,902bde7c670de617c141d93be7c7bdfa768c0bd7742159a76c8cd70a7750d0f5,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F020_R2.txt,True,4378540,902bde7c670de617c141d93be7c7bdfa768c0bd7742159a76c8cd70a7750d0f5,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F030_R1.txt,True,4377080,9b22ee5eb275274f587e7ba7a8b89c9c2470cc12faf7c47022c81f30b7237998,,,,,,
NEW,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F030_R1.txt,True,4377080,9b22ee5eb275274f587e7ba7a8b89c9c2470cc12faf7c47022c81f30b7237998,,,,,,
OLD,raw_unit5_file,D:\A Python learning\Federated Learning\TRAE SOLO\dataset\data1\B5_GCO_F030_R2.txt,True,4378321,6c311b77edc702410fae4328434e361b9d41f5fd974ed9e7d064d8f662cd6a28,,,,,,
