dataset,seed,selected_alpha,validation_RMSE,test_S_CC_N,test_S_CC_RMSE,oracle_route_N,oracle_route_RMSE
OLD,0,0.1,8.05848199301322,339,13.305609786188956,340,13.291480461587945
OLD,1,0.01,5.830986720159843,339,12.578064288927134,340,12.561428496598689
OLD,2,0.1,7.289257162806082,339,13.305609786188956,340,13.291480461587945
OLD,42,0.01,7.027983755192245,339,12.578064288927134,340,12.561428496598689
OLD,3407,0.01,8.405507998992253,339,12.578064288927134,340,12.561428496598689
NEW,0,1.0,43.364378285943545,338,29.44031864504148,340,30.06064785294211
NEW,1,0.01,11.245027070745168,338,24.037879131213888,340,24.03305324935364
NEW,2,0.01,10.602824605457393,338,24.037879131213888,340,24.03305324935364
NEW,42,0.01,23.318242523040794,338,24.037879131213888,340,24.03305324935364
NEW,3407,10.0,22.895846255413733,338,35.83122801592219,340,37.44127730751427
