case,split,original_processed_index,class_id,concentration
A_C1234_source_C5_target,calibration,775,0,112.5
A_C1234_source_C5_target,calibration,389,1,250.0
A_C1234_source_C5_target,calibration,105,1,75.0
A_C1234_source_C5_target,calibration,578,0,50.0
A_C1234_source_C5_target,calibration,574,0,50.0
A_C1234_source_C5_target,calibration,699,0,87.5
A_C1234_source_C5_target,calibration,824,0,125.0
A_C1234_source_C5_target,calibration,10,1,25.0
A_C1234_source_C5_target,calibration,1578,3,200.0
A_C1234_source_C5_target,calibration,415,1,250.0
A_C1234_source_C5_target,calibration,1608,3,225.0
A_C1234_source_C5_target,calibration,329,1,200.0
A_C1234_source_C5_target,calibration,1263,3,25.0
A_C1234_source_C5_target,calibration,314,1,200.0
A_C1234_source_C5_target,calibration,529,0,37.5
A_C1234_source_C5_target,calibration,966,2,50.0
A_C1234_source_C5_target,calibration,1198,2,112.5
A_C1234_source_C5_target,calibration,231,1,150.0
A_C1234_source_C5_target,calibration,835,0,125.0
A_C1234_source_C5_target,calibration,726,0,100.0
A_C1234_source_C5_target,calibration,787,0,112.5
A_C1234_source_C5_target,calibration,1159,2,100.0
A_C1234_source_C5_target,calibration,48,1,50.0
A_C1234_source_C5_target,calibration,1566,3,200.0
A_C1234_source_C5_target,calibration,1518,3,175.0
A_C1234_source_C5_target,calibration,528,0,37.5
A_C1234_source_C5_target,calibration,724,0,100.0
A_C1234_source_C5_target,calibration,1232,2,125.0
A_C1234_source_C5_target,calibration,1083,2,75.0
A_C1234_source_C5_target,calibration,277,1,175.0
A_C1234_source_C5_target,calibration,712,0,87.5
A_C1234_source_C5_target,calibration,364,1,225.0
A_C1234_source_C5_target,calibration,1420,3,100.0
A_C1234_source_C5_target,calibration,981,2,50.0
A_C1234_source_C5_target,calibration,766,0,112.5
A_C1234_source_C5_target,calibration,836,0,125.0
A_C1234_source_C5_target,calibration,1385,3,75.0
A_C1234_source_C5_target,calibration,381,1,250.0
A_C1234_source_C5_target,calibration,179,1,125.0
A_C1234_source_C5_target,calibration,75,1,50.0
A_C1234_source_C5_target,calibration,1484,3,150.0
A_C1234_source_C5_target,calibration,538,0,37.5
A_C1234_source_C5_target,calibration,26,1,25.0
A_C1234_source_C5_target,calibration,1123,2,87.5
