dataset,split,class_id,gas,concentration,repeat,phase,n,window_start_min,window_start_mean,window_start_max
OLD,calibration,0,Ethanol,12.5,1,late,4,65.0,77.5,90.0
OLD,calibration,0,Ethanol,12.5,2,late,4,70.0,93.75,115.0
OLD,calibration,0,Ethanol,25.0,1,late,5,60.0,80.0,100.0
OLD,calibration,0,Ethanol,25.0,2,late,3,65.0,95.0,130.0
OLD,calibration,0,Ethanol,37.5,1,late,4,80.0,96.25,115.0
OLD,calibration,0,Ethanol,37.5,2,late,4,100.0,121.25,145.0
OLD,calibration,0,Ethanol,50.0,1,late,2,60.0,62.5,65.0
OLD,calibration,0,Ethanol,50.0,2,late,6,65.0,102.5,155.0
OLD,calibration,0,Ethanol,62.5,1,late,5,85.0,116.0,150.0
OLD,calibration,0,Ethanol,62.5,2,late,3,110.0,123.33333333333333,140.0
OLD,calibration,0,Ethanol,75.0,1,late,3,130.0,141.66666666666666,155.0
OLD,calibration,0,Ethanol,75.0,2,late,5,85.0,128.0,155.0
OLD,calibration,0,Ethanol,87.5,1,late,4,90.0,123.75,155.0
OLD,calibration,0,Ethanol,87.5,2,late,4,100.0,118.75,135.0
OLD,calibration,0,Ethanol,100.0,1,late,1,95.0,95.0,95.0
OLD,calibration,0,Ethanol,100.0,2,late,7,60.0,102.85714285714286,155.0
OLD,calibration,0,Ethanol,112.5,1,late,3,105.0,135.0,155.0
OLD,calibration,0,Ethanol,112.5,2,late,5,60.0,109.0,155.0
OLD,calibration,0,Ethanol,125.0,1,late,4,65.0,103.75,145.0
OLD,calibration,0,Ethanol,125.0,2,late,4,60.0,103.75,155.0
OLD,calibration,1,CO,25.0,1,late,2,90.0,112.5,135.0
OLD,calibration,1,CO,25.0,2,late,6,60.0,80.83333333333333,105.0
OLD,calibration,1,CO,50.0,1,late,4,70.0,83.75,105.0
OLD,calibration,1,CO,50.0,2,late,4,60.0,100.0,155.0
OLD,calibration,1,CO,75.0,1,late,6,70.0,97.5,145.0
OLD,calibration,1,CO,75.0,2,late,2,110.0,120.0,130.0
OLD,calibration,1,CO,100.0,1,late,5,60.0,115.0,160.0
OLD,calibration,1,CO,100.0,2,late,3,115.0,138.33333333333334,160.0
OLD,calibration,1,CO,125.0,1,late,4,85.0,111.25,150.0
OLD,calibration,1,CO,125.0,2,late,4,75.0,113.75,150.0
OLD,calibration,1,CO,150.0,1,late,4,85.0,108.75,150.0
OLD,calibration,1,CO,150.0,2,late,4,100.0,130.0,155.0
OLD,calibration,1,CO,175.0,1,late,5,70.0,112.0,160.0
OLD,calibration,1,CO,175.0,2,late,3,105.0,120.0,130.0
OLD,calibration,1,CO,200.0,1,late,3,70.0,121.66666666666667,160.0
OLD,calibration,1,CO,200.0,2,late,5,80.0,115.0,155.0
OLD,calibration,1,CO,225.0,1,late,4,65.0,92.5,115.0
OLD,calibration,1,CO,225.0,2,late,4,60.0,86.25,140.0
OLD,calibration,1,CO,250.0,1,late,4,115.0,136.25,150.0
OLD,calibration,1,CO,250.0,2,late,4,70.0,117.5,160.0
OLD,calibration,2,Ethylene,12.5,1,late,5,80.0,121.0,150.0
OLD,calibration,2,Ethylene,12.5,2,late,3,70.0,108.33333333333333,160.0
OLD,calibration,2,Ethylene,25.0,1,late,6,65.0,101.66666666666667,135.0
OLD,calibration,2,Ethylene,25.0,2,late,2,120.0,135.0,150.0
OLD,calibration,2,Ethylene,37.5,1,late,4,100.0,137.5,155.0
OLD,calibration,2,Ethylene,37.5,2,late,4,60.0,93.75,150.0
OLD,calibration,2,Ethylene,50.0,1,late,3,120.0,138.33333333333334,160.0
OLD,calibration,2,Ethylene,50.0,2,late,5,65.0,103.0,140.0
OLD,calibration,2,Ethylene,62.5,1,late,4,65.0,96.25,135.0
OLD,calibration,2,Ethylene,62.5,2,late,4,90.0,103.75,120.0
OLD,calibration,2,Ethylene,75.0,1,late,4,100.0,133.75,160.0
OLD,calibration,2,Ethylene,75.0,2,late,4,80.0,106.25,140.0
OLD,calibration,2,Ethylene,87.5,1,late,4,60.0,86.25,140.0
OLD,calibration,2,Ethylene,87.5,2,late,4,75.0,106.25,130.0
OLD,calibration,2,Ethylene,100.0,1,late,5,60.0,115.0,160.0
OLD,calibration,2,Ethylene,100.0,2,late,3,125.0,136.66666666666666,150.0
OLD,calibration,2,Ethylene,112.5,1,late,4,115.0,132.5,160.0
OLD,calibration,2,Ethylene,112.5,2,late,4,80.0,103.75,120.0
OLD,calibration,2,Ethylene,125.0,1,late,2,85.0,110.0,135.0
OLD,calibration,2,Ethylene,125.0,2,late,6,85.0,122.5,160.0
OLD,calibration,3,Methane,25.0,1,late,5,80.0,112.0,160.0
OLD,calibration,3,Methane,25.0,2,late,3,125.0,141.66666666666666,155.0
OLD,calibration,3,Methane,50.0,1,late,5,75.0,119.0,160.0
OLD,calibration,3,Methane,50.0,2,late,3,65.0,70.0,75.0
OLD,calibration,3,Methane,75.0,1,late,7,65.0,105.71428571428571,140.0
OLD,calibration,3,Methane,75.0,2,late,1,155.0,155.0,155.0
OLD,calibration,3,Methane,100.0,1,late,4,60.0,95.0,140.0
OLD,calibration,3,Methane,100.0,2,late,4,105.0,135.0,160.0
OLD,calibration,3,Methane,125.0,1,late,4,75.0,107.5,145.0
OLD,calibration,3,Methane,125.0,2,late,4,75.0,100.0,130.0
OLD,calibration,3,Methane,150.0,1,late,5,60.0,108.0,155.0
OLD,calibration,3,Methane,150.0,2,late,3,60.0,95.0,125.0
OLD,calibration,3,Methane,175.0,1,late,2,95.0,102.5,110.0
OLD,calibration,3,Methane,175.0,2,late,6,60.0,95.83333333333333,135.0
OLD,calibration,3,Methane,200.0,1,late,3,65.0,106.66666666666667,140.0
OLD,calibration,3,Methane,200.0,2,late,5,105.0,138.0,160.0
OLD,calibration,3,Methane,225.0,1,late,4,85.0,117.5,140.0
OLD,calibration,3,Methane,225.0,2,late,4,60.0,92.5,145.0
OLD,calibration,3,Methane,250.0,1,late,3,60.0,100.0,135.0
OLD,calibration,3,Methane,250.0,2,late,5,70.0,107.0,135.0
OLD,test,0,Ethanol,12.5,1,late,17,60.0,117.6470588235294,160.0
OLD,test,0,Ethanol,12.5,2,late,17,60.0,113.82352941176471,160.0
OLD,test,0,Ethanol,25.0,1,late,16,70.0,119.375,160.0
OLD,test,0,Ethanol,25.0,2,late,18,60.0,112.5,160.0
OLD,test,0,Ethanol,37.5,1,late,17,60.0,113.23529411764706,160.0
OLD,test,0,Ethanol,37.5,2,late,17,60.0,107.3529411764706,160.0
OLD,test,0,Ethanol,50.0,1,late,19,70.0,115.0,160.0
OLD,test,0,Ethanol,50.0,2,late,15,60.0,113.0,160.0
OLD,test,0,Ethanol,62.5,1,late,16,60.0,108.125,160.0
OLD,test,0,Ethanol,62.5,2,late,18,60.0,107.77777777777777,160.0
OLD,test,0,Ethanol,75.0,1,late,18,60.0,104.72222222222223,160.0
OLD,test,0,Ethanol,75.0,2,late,16,60.0,104.375,160.0
