experiment,dataset,class_id,gas,selected_alpha,validation_RMSE,fit_N,validation_N,internal_split
A_OLD_CKPT_OLD_DATA,OLD,0,Ethanol,1.0,5.178443970298395,60,20,deterministic sample-index tail within concentration
A_OLD_CKPT_OLD_DATA,OLD,1,CO,1.0,27.985362397325616,60,20,deterministic sample-index tail within concentration
A_OLD_CKPT_OLD_DATA,OLD,2,Ethylene,0.0,9.335383856655179,60,20,deterministic sample-index tail within concentration
A_OLD_CKPT_OLD_DATA,OLD,3,Methane,0.1,7.1270378114833575,60,20,deterministic sample-index tail within concentration
B_OLD_CKPT_NEW_DATA,NEW,0,Ethanol,100.0,7.602102902550908,60,20,deterministic sample-index tail within concentration
B_OLD_CKPT_NEW_DATA,NEW,1,CO,0.01,11.614829132749103,60,20,deterministic sample-index tail within concentration
B_OLD_CKPT_NEW_DATA,NEW,2,Ethylene,0.1,3.907109183275199,60,20,deterministic sample-index tail within concentration
B_OLD_CKPT_NEW_DATA,NEW,3,Methane,10.0,45.38558946999537,60,20,deterministic sample-index tail within concentration
C_NEW_CKPT_OLD_DATA,OLD,0,Ethanol,1.0,5.178443970298395,60,20,deterministic sample-index tail within concentration
C_NEW_CKPT_OLD_DATA,OLD,1,CO,1.0,27.985362397325616,60,20,deterministic sample-index tail within concentration
C_NEW_CKPT_OLD_DATA,OLD,2,Ethylene,0.0,9.335383856655179,60,20,deterministic sample-index tail within concentration
C_NEW_CKPT_OLD_DATA,OLD,3,Methane,0.1,7.1270378114833575,60,20,deterministic sample-index tail within concentration
D_NEW_CKPT_NEW_DATA,NEW,0,Ethanol,100.0,7.602102902550908,60,20,deterministic sample-index tail within concentration
D_NEW_CKPT_NEW_DATA,NEW,1,CO,0.01,11.614829132749103,60,20,deterministic sample-index tail within concentration
D_NEW_CKPT_NEW_DATA,NEW,2,Ethylene,0.1,3.907109183275199,60,20,deterministic sample-index tail within concentration
D_NEW_CKPT_NEW_DATA,NEW,3,Methane,10.0,45.13662590046584,60,20,deterministic sample-index tail within concentration
