experiment,classifier_checkpoint,dataset,scope,class_id,gas,N,RMSE,MAE,Bias,R2
A_OLD_CKPT_OLD_DATA,OLD,OLD,PIPELINE_ALL,0,Ethanol,340,17.03135378441805,6.368665360708321,1.0891556532459445,0.7749783181730823
A_OLD_CKPT_OLD_DATA,OLD,OLD,PIPELINE_ALL,1,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854
A_OLD_CKPT_OLD_DATA,OLD,OLD,PIPELINE_ALL,2,Ethylene,340,17.617819836637636,5.991065265637223,0.5409687467936102,0.7592144866550515
A_OLD_CKPT_OLD_DATA,OLD,OLD,PIPELINE_ALL,3,Methane,340,13.440780390750357,6.672521681977643,1.2004438894061156,0.9649639607248719
A_OLD_CKPT_OLD_DATA,OLD,OLD,S_CC,0,Ethanol,326,8.562729899954979,4.54155917850396,0.5690643915800108,0.9417033618725422
A_OLD_CKPT_OLD_DATA,OLD,OLD,S_CC,1,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854
A_OLD_CKPT_OLD_DATA,OLD,OLD,S_CC,2,Ethylene,334,6.873402534622835,4.236504942558366,-1.1548746140715946,0.9638198721206535
A_OLD_CKPT_OLD_DATA,OLD,OLD,S_CC,3,Methane,339,13.305609786188956,6.581585167765187,1.3146044908497914,0.9656154927312719
A_OLD_CKPT_OLD_DATA,OLD,OLD,ORACLE_ROUTE,0,Ethanol,340,9.100783135045218,4.9707148109003025,0.9831703465290631,0.9357484577581587
A_OLD_CKPT_OLD_DATA,OLD,OLD,ORACLE_ROUTE,1,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854
A_OLD_CKPT_OLD_DATA,OLD,OLD,ORACLE_ROUTE,2,Ethylene,340,7.935523470933956,4.612611631497094,-0.7030100735130312,0.9511485806485382
A_OLD_CKPT_OLD_DATA,OLD,OLD,ORACLE_ROUTE,3,Methane,340,13.291480461587945,6.582871945431923,1.2900936259518354,0.9657379970209408
B_OLD_CKPT_NEW_DATA,OLD,NEW,PIPELINE_ALL,0,Ethanol,340,22.89410306986133,9.317341494416643,2.342161928734393,0.593394458861821
B_OLD_CKPT_NEW_DATA,OLD,NEW,PIPELINE_ALL,1,CO,340,16.041937401368582,11.57963758821357,1.0899254423851503,0.9500909080068988
B_OLD_CKPT_NEW_DATA,OLD,NEW,PIPELINE_ALL,2,Ethylene,340,4.682209998005309,2.7678863856740534,0.9518676910254507,0.9829929964874311
B_OLD_CKPT_NEW_DATA,OLD,NEW,PIPELINE_ALL,3,Methane,340,46.13871019327001,26.691736484099067,-1.4801994278306683,0.5871455848148251
B_OLD_CKPT_NEW_DATA,OLD,NEW,S_CC,0,Ethanol,333,8.83090353718803,6.864122180107587,-0.25768278185026666,0.9380495534116491
B_OLD_CKPT_NEW_DATA,OLD,NEW,S_CC,1,CO,337,16.069962663341926,11.57144445101666,1.2109040071541577,0.9492493580949151
B_OLD_CKPT_NEW_DATA,OLD,NEW,S_CC,2,Ethylene,340,4.682209998005309,2.7678863856740534,0.9518676910254507,0.9829929964874311
B_OLD_CKPT_NEW_DATA,OLD,NEW,S_CC,3,Methane,327,25.17358067459121,19.954710717411867,5.800404264640897,0.8744682398852652
B_OLD_CKPT_NEW_DATA,OLD,NEW,ORACLE_ROUTE,0,Ethanol,340,8.77993766792924,6.8243168752064145,-0.1508626904758365,0.940198938800312
B_OLD_CKPT_NEW_DATA,OLD,NEW,ORACLE_ROUTE,1,CO,340,15.998908685246002,11.46934347056651,1.2002195600322092,0.9503582876860431
B_OLD_CKPT_NEW_DATA,OLD,NEW,ORACLE_ROUTE,2,Ethylene,340,4.682209998005309,2.7678863856740534,0.9518676910254507,0.9829929964874311
B_OLD_CKPT_NEW_DATA,OLD,NEW,ORACLE_ROUTE,3,Methane,340,37.44127730751427,24.5090159304806,0.3938015096500528,0.7281262067552614
C_NEW_CKPT_OLD_DATA,NEW,OLD,PIPELINE_ALL,0,Ethanol,340,20.443154643302304,6.351845027071149,1.9966535038763795,0.6757933988693546
C_NEW_CKPT_OLD_DATA,NEW,OLD,PIPELINE_ALL,1,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854
C_NEW_CKPT_OLD_DATA,NEW,OLD,PIPELINE_ALL,2,Ethylene,340,31.141847243291696,8.801965914109603,3.3518693952659895,0.2476589383955281
C_NEW_CKPT_OLD_DATA,NEW,OLD,PIPELINE_ALL,3,Methane,340,46.58745220968284,16.1136369921902,-8.334129067547222,0.5790757423729489
C_NEW_CKPT_OLD_DATA,NEW,OLD,S_CC,0,Ethanol,332,9.059695665283806,4.885925630133104,0.8022957569818345,0.9347332950429135
C_NEW_CKPT_OLD_DATA,NEW,OLD,S_CC,1,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854
C_NEW_CKPT_OLD_DATA,NEW,OLD,S_CC,2,Ethylene,330,7.147703250145792,4.305148094833644,-1.1515815170281936,0.960421389924711
C_NEW_CKPT_OLD_DATA,NEW,OLD,S_CC,3,Methane,322,11.4625828163286,6.067194339579715,1.3707953945153564,0.9738203120720248
