experiment,classifier_checkpoint,dataset,sample_index,true_class,pred_class,gas,true_ppm,filename,repeat_id,phase,phase_label_meta,window_start_s,route_correct,pipeline_pred_ppm,oracle_pred_ppm
A_OLD_CKPT_OLD_DATA,OLD,OLD,0,0,0,Ethanol,112.5,B5_GEa_F090_R2.txt,2,2,late,,1,111.57914015840898,111.57914015840898
A_OLD_CKPT_OLD_DATA,OLD,OLD,1,0,0,Ethanol,75.0,B5_GEa_F060_R2.txt,2,2,late,,1,65.52410075772552,65.52410075772552
A_OLD_CKPT_OLD_DATA,OLD,OLD,2,0,0,Ethanol,25.0,B5_GEa_F020_R1.txt,1,2,late,,1,23.415478009738887,23.415478009738887
A_OLD_CKPT_OLD_DATA,OLD,OLD,3,2,2,Ethylene,112.5,B5_GEy_F090_R1.txt,1,2,late,,1,96.68411431781283,96.68411431781283
A_OLD_CKPT_OLD_DATA,OLD,OLD,4,3,3,Methane,75.0,B5_GMe_F030_R2.txt,2,2,late,,1,66.57593145912638,66.57593145912638
A_OLD_CKPT_OLD_DATA,OLD,OLD,5,0,0,Ethanol,25.0,B5_GEa_F020_R1.txt,1,2,late,,1,23.83325872524928,23.83325872524928
A_OLD_CKPT_OLD_DATA,OLD,OLD,6,0,0,Ethanol,87.5,B5_GEa_F070_R1.txt,1,2,late,,1,85.19296826948158,85.19296826948158
A_OLD_CKPT_OLD_DATA,OLD,OLD,7,3,3,Methane,225.0,B5_GMe_F090_R1.txt,1,2,late,,1,220.4880445413407,220.4880445413407
A_OLD_CKPT_OLD_DATA,OLD,OLD,8,1,1,CO,225.0,B5_GCO_F090_R2.txt,2,2,late,,1,208.6363361214525,208.6363361214525
A_OLD_CKPT_OLD_DATA,OLD,OLD,9,0,0,Ethanol,37.5,B5_GEa_F030_R1.txt,1,2,late,,1,39.58642566408465,39.58642566408465
A_OLD_CKPT_OLD_DATA,OLD,OLD,10,1,1,CO,150.0,B5_GCO_F060_R2.txt,2,2,late,,1,161.07119124303108,161.07119124303108
A_OLD_CKPT_OLD_DATA,OLD,OLD,11,1,1,CO,250.0,B5_GCO_F100_R1.txt,1,2,late,,1,241.23139845055556,241.23139845055556
A_OLD_CKPT_OLD_DATA,OLD,OLD,12,0,0,Ethanol,125.0,B5_GEa_F100_R2.txt,2,2,late,,1,125.0,125.0
A_OLD_CKPT_OLD_DATA,OLD,OLD,13,3,3,Methane,50.0,B5_GMe_F020_R1.txt,1,2,late,,1,82.28010540744239,82.28010540744239
A_OLD_CKPT_OLD_DATA,OLD,OLD,14,0,0,Ethanol,87.5,B5_GEa_F070_R2.txt,2,2,late,,1,100.42449786025034,100.42449786025034
A_OLD_CKPT_OLD_DATA,OLD,OLD,15,1,1,CO,50.0,B5_GCO_F020_R2.txt,2,2,late,,1,59.287695323848354,59.287695323848354
A_OLD_CKPT_OLD_DATA,OLD,OLD,16,0,0,Ethanol,62.5,B5_GEa_F050_R2.txt,2,2,late,,1,64.20982212483466,64.20982212483466
A_OLD_CKPT_OLD_DATA,OLD,OLD,17,2,2,Ethylene,37.5,B5_GEy_F030_R2.txt,2,2,late,,1,35.89657618103698,35.89657618103698
A_OLD_CKPT_OLD_DATA,OLD,OLD,18,0,0,Ethanol,75.0,B5_GEa_F060_R1.txt,1,2,late,,1,97.21069339795616,97.21069339795616
A_OLD_CKPT_OLD_DATA,OLD,OLD,19,1,1,CO,250.0,B5_GCO_F100_R2.txt,2,2,late,,1,234.8018144540634,234.8018144540634
A_OLD_CKPT_OLD_DATA,OLD,OLD,20,0,0,Ethanol,37.5,B5_GEa_F030_R1.txt,1,2,late,,1,40.916837776836545,40.916837776836545
A_OLD_CKPT_OLD_DATA,OLD,OLD,21,2,2,Ethylene,25.0,B5_GEy_F020_R1.txt,1,2,late,,1,25.759229284021643,25.759229284021643
A_OLD_CKPT_OLD_DATA,OLD,OLD,22,1,1,CO,25.0,B5_GCO_F010_R2.txt,2,2,late,,1,25.0,25.0
A_OLD_CKPT_OLD_DATA,OLD,OLD,23,2,2,Ethylene,37.5,B5_GEy_F030_R2.txt,2,2,late,,1,25.764871757316975,25.764871757316975
A_OLD_CKPT_OLD_DATA,OLD,OLD,24,0,0,Ethanol,62.5,B5_GEa_F050_R1.txt,1,2,late,,1,64.36984073763418,64.36984073763418
A_OLD_CKPT_OLD_DATA,OLD,OLD,25,0,0,Ethanol,12.5,B5_GEa_F010_R1.txt,1,2,late,,1,12.5,12.5
A_OLD_CKPT_OLD_DATA,OLD,OLD,26,0,2,Ethanol,25.0,B5_GEa_F020_R1.txt,1,2,late,,0,12.5,51.794408207137394
A_OLD_CKPT_OLD_DATA,OLD,OLD,27,3,3,Methane,125.0,B5_GMe_F050_R2.txt,2,2,late,,1,128.25821417385566,128.25821417385566
A_OLD_CKPT_OLD_DATA,OLD,OLD,28,3,3,Methane,100.0,B5_GMe_F040_R2.txt,2,2,late,,1,97.89693620202098,97.89693620202098
A_OLD_CKPT_OLD_DATA,OLD,OLD,29,1,1,CO,25.0,B5_GCO_F010_R1.txt,1,2,late,,1,25.0,25.0
A_OLD_CKPT_OLD_DATA,OLD,OLD,30,2,2,Ethylene,12.5,B5_GEy_F010_R2.txt,2,2,late,,1,12.5,12.5
A_OLD_CKPT_OLD_DATA,OLD,OLD,31,0,0,Ethanol,37.5,B5_GEa_F030_R1.txt,1,2,late,,1,36.869848760062936,36.869848760062936
A_OLD_CKPT_OLD_DATA,OLD,OLD,32,0,0,Ethanol,112.5,B5_GEa_F090_R2.txt,2,2,late,,1,117.38118739371967,117.38118739371967
A_OLD_CKPT_OLD_DATA,OLD,OLD,33,1,1,CO,125.0,B5_GCO_F050_R1.txt,1,2,late,,1,141.08633441226266,141.08633441226266
A_OLD_CKPT_OLD_DATA,OLD,OLD,34,0,0,Ethanol,62.5,B5_GEa_F050_R2.txt,2,2,late,,1,62.75432345191158,62.75432345191158
A_OLD_CKPT_OLD_DATA,OLD,OLD,35,3,3,Methane,25.0,B5_GMe_F010_R1.txt,1,2,late,,1,31.173970667807126,31.173970667807126
A_OLD_CKPT_OLD_DATA,OLD,OLD,36,3,3,Methane,175.0,B5_GMe_F070_R2.txt,2,2,late,,1,178.20825616105157,178.20825616105157
A_OLD_CKPT_OLD_DATA,OLD,OLD,37,3,3,Methane,225.0,B5_GMe_F090_R1.txt,1,2,late,,1,238.1371286860702,238.1371286860702
