experiment,classifier_checkpoint,dataset,scope,class_accuracy,N,RMSE,MAE,Bias,R2
A_OLD_CKPT_OLD_DATA,OLD,OLD,PIPELINE_ALL,0.9845588235294118,1360,16.092837293535016,7.6996150157438,0.18834552183054612,0.9411984660647583
A_OLD_CKPT_OLD_DATA,OLD,OLD,S_CC,0.9845588235294118,1339,11.796538964862096,6.816436856953597,-0.34414153530151986,0.9684422307845357
A_OLD_CKPT_OLD_DATA,OLD,OLD,ORACLE_ROUTE,0.9845588235294118,1360,12.013208593833228,6.983101535620333,-0.12673307578890466,0.9672326401205757
B_OLD_CKPT_NEW_DATA,OLD,NEW,PIPELINE_ALL,0.9830882352941176,1360,27.074837856055762,12.589150488100833,0.7259389085785817,0.8335609824367913
B_OLD_CKPT_NEW_DATA,OLD,NEW,S_CC,0.9830882352941176,1337,15.655075853111338,10.210621721534254,1.901745320524337,0.9429014741189996
B_OLD_CKPT_NEW_DATA,OLD,NEW,ORACLE_ROUTE,0.9830882352941176,1360,20.95724648811937,11.392640665481895,0.5987565175579692,0.9002777985160704
C_NEW_CKPT_OLD_DATA,NEW,OLD,PIPELINE_ALL,0.9735294117647059,1360,30.874489503755857,10.758413922005742,-1.2656980926320849,0.7835672459937137
C_NEW_CKPT_OLD_DATA,NEW,OLD,S_CC,0.9735294117647059,1324,11.432589645650122,6.79529712569913,-0.28588134515813857,0.9693599776316173
C_NEW_CKPT_OLD_DATA,NEW,OLD,ORACLE_ROUTE,0.9735294117647059,1360,12.013208593833228,6.983101535620333,-0.12673307578890466,0.9672326401205757
D_NEW_CKPT_NEW_DATA,NEW,NEW,PIPELINE_ALL,0.9897058823529412,1360,27.221433664615276,12.783871913690078,1.8317581176902222,0.8317537459921909
D_NEW_CKPT_NEW_DATA,NEW,NEW,S_CC,0.9897058823529412,1346,20.286416120225837,11.26059597932388,0.8260679239302682,0.9057546012343556
D_NEW_CKPT_NEW_DATA,NEW,NEW,ORACLE_ROUTE,0.9897058823529412,1360,20.95724648811937,11.392640665481895,0.5987565175579692,0.9002777985160704
