representation,physical_membership,scope,N,oracle_RMSE,oracle_MAE,selected_alphas_json
OLD,OLD,ALL,1360,12.013145998474268,6.983025753937636,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.1}"
OLD,OLD,Ethanol,340,9.100837659778518,4.970727569709986,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.1}"
OLD,OLD,CO,340,15.962713497700333,11.766196769229984,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.1}"
OLD,OLD,Ethylene,340,7.93512120671661,4.612304052689394,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.1}"
OLD,OLD,Methane,340,13.291466820409333,6.58287462412118,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.1}"
OLD,NEW,ALL,1360,12.36853003181443,6.88920213176136,"{""0"": 10.0, ""1"": 1.0, ""2"": 0.01, ""3"": 0.1}"
OLD,NEW,Ethanol,340,6.783716700816005,4.565107833786547,"{""0"": 10.0, ""1"": 1.0, ""2"": 0.01, ""3"": 0.1}"
OLD,NEW,CO,340,17.23347921890776,12.135915255721562,"{""0"": 10.0, ""1"": 1.0, ""2"": 0.01, ""3"": 0.1}"
OLD,NEW,Ethylene,340,8.18150277359997,3.103374743256734,"{""0"": 10.0, ""1"": 1.0, ""2"": 0.01, ""3"": 0.1}"
OLD,NEW,Methane,340,14.211739326757378,7.752410694280597,"{""0"": 10.0, ""1"": 1.0, ""2"": 0.01, ""3"": 0.1}"
NEW,OLD,ALL,1360,22.45052535651854,11.36922578137502,"{""0"": 1.0, ""1"": 1.0, ""2"": 100.0, ""3"": 10.0}"
NEW,OLD,Ethanol,340,5.558302968504436,3.7350980667209703,"{""0"": 1.0, ""1"": 1.0, ""2"": 100.0, ""3"": 10.0}"
NEW,OLD,CO,340,18.401933506808106,14.141117633613693,"{""0"": 1.0, ""1"": 1.0, ""2"": 100.0, ""3"": 10.0}"
NEW,OLD,Ethylene,340,5.9649869364340775,4.425834763006667,"{""0"": 1.0, ""1"": 1.0, ""2"": 100.0, ""3"": 10.0}"
NEW,OLD,Methane,340,40.13723205832991,23.174852662158745,"{""0"": 1.0, ""1"": 1.0, ""2"": 100.0, ""3"": 10.0}"
NEW,NEW,ALL,1360,20.95724648811937,11.392640665481895,"{""0"": 100.0, ""1"": 0.01, ""2"": 0.1, ""3"": 10.0}"
NEW,NEW,Ethanol,340,8.77993766792924,6.8243168752064145,"{""0"": 100.0, ""1"": 0.01, ""2"": 0.1, ""3"": 10.0}"
NEW,NEW,CO,340,15.998908685246002,11.46934347056651,"{""0"": 100.0, ""1"": 0.01, ""2"": 0.1, ""3"": 10.0}"
NEW,NEW,Ethylene,340,4.682209998005309,2.7678863856740534,"{""0"": 100.0, ""1"": 0.01, ""2"": 0.1, ""3"": 10.0}"
NEW,NEW,Methane,340,37.44127730751427,24.5090159304806,"{""0"": 100.0, ""1"": 0.01, ""2"": 0.1, ""3"": 10.0}"
