replicate,track,nominal_budget,seed,gas_id,gas,alpha,selection_RMSE,validation_N
0,G,320,2026072500,0,Ethanol,0.0,22.257083314851716,80
0,G,320,2026072500,0,Ethanol,0.01,9.669792332359783,80
0,G,320,2026072500,0,Ethanol,0.1,8.43430867756562,80
0,G,320,2026072500,0,Ethanol,1.0,8.257036606499007,80
0,G,320,2026072500,0,Ethanol,10.0,9.537172914101268,80
0,G,320,2026072500,0,Ethanol,100.0,11.442786196894565,80
0,G,320,2026072500,0,Ethanol,1000.0,19.52658069081884,80
0,G,320,2026072500,1,CO,0.0,53.3752255503532,80
0,G,320,2026072500,1,CO,0.01,32.82257021847642,80
0,G,320,2026072500,1,CO,0.1,25.998482739582897,80
0,G,320,2026072500,1,CO,1.0,25.4471428391599,80
0,G,320,2026072500,1,CO,10.0,29.563301026781755,80
0,G,320,2026072500,1,CO,100.0,33.75437354735161,80
0,G,320,2026072500,1,CO,1000.0,46.97372381709003,80
0,G,320,2026072500,2,Ethylene,0.0,20.368440583060426,80
0,G,320,2026072500,2,Ethylene,0.01,14.692899009339046,80
0,G,320,2026072500,2,Ethylene,0.1,15.698547860140616,80
0,G,320,2026072500,2,Ethylene,1.0,16.452578295990556,80
0,G,320,2026072500,2,Ethylene,10.0,15.664023083144999,80
0,G,320,2026072500,2,Ethylene,100.0,16.371520743616646,80
0,G,320,2026072500,2,Ethylene,1000.0,21.319183188920807,80
0,G,320,2026072500,3,Methane,0.0,35.95591536640221,80
0,G,320,2026072500,3,Methane,0.01,45.53531248788387,80
0,G,320,2026072500,3,Methane,0.1,45.88084526911603,80
0,G,320,2026072500,3,Methane,1.0,47.36171543939161,80
0,G,320,2026072500,3,Methane,10.0,54.861407398790625,80
0,G,320,2026072500,3,Methane,100.0,61.98246302314767,80
0,G,320,2026072500,3,Methane,1000.0,66.37053962352081,80
1,G,320,2026072501,0,Ethanol,0.0,29.78202287041501,80
1,G,320,2026072501,0,Ethanol,0.01,20.829155210088267,80
1,G,320,2026072501,0,Ethanol,0.1,11.006698516120844,80
1,G,320,2026072501,0,Ethanol,1.0,10.335883234908572,80
1,G,320,2026072501,0,Ethanol,10.0,12.240283565528639,80
1,G,320,2026072501,0,Ethanol,100.0,14.03870778072709,80
1,G,320,2026072501,0,Ethanol,1000.0,20.90805458140429,80
1,G,320,2026072501,1,CO,0.0,77.09227681799088,80
1,G,320,2026072501,1,CO,0.01,27.19956231691118,80
1,G,320,2026072501,1,CO,0.1,23.908624176284462,80
1,G,320,2026072501,1,CO,1.0,24.597686102689895,80
1,G,320,2026072501,1,CO,10.0,29.763993531311115,80
1,G,320,2026072501,1,CO,100.0,32.922526995417904,80
1,G,320,2026072501,1,CO,1000.0,47.28872041368616,80
1,G,320,2026072501,2,Ethylene,0.0,13.758996348696416,80
1,G,320,2026072501,2,Ethylene,0.01,14.041485894809192,80
