nominal_budget,replicate,actual_rows,variant,class_id,gas,N,RMSE,MAE,track,reuse
160,0,160,LOWCAL,0,Ethanol,340,19.351526540258238,7.717706980940137,G,official_lowcal_20260725
160,0,160,LOWCAL,1,CO,340,30.44784144601751,19.707880408835287,G,official_lowcal_20260725
160,0,160,LOWCAL,2,Ethylene,340,36.24743136821992,11.045705521121077,G,official_lowcal_20260725
160,0,160,LOWCAL,3,Methane,340,21.780311964790666,13.263255019973569,G,official_lowcal_20260725
160,1,160,LOWCAL,0,Ethanol,340,27.492533898696863,8.968483611576008,G,official_lowcal_20260725
160,1,160,LOWCAL,1,CO,340,33.106298927631386,22.84503503852294,G,official_lowcal_20260725
160,1,160,LOWCAL,2,Ethylene,340,34.89639903670013,11.142324127363258,G,official_lowcal_20260725
160,1,160,LOWCAL,3,Methane,340,48.18195736954893,17.903127307376913,G,official_lowcal_20260725
160,2,160,LOWCAL,0,Ethanol,340,26.129836692147833,13.160974547095691,G,official_lowcal_20260725
160,2,160,LOWCAL,1,CO,340,34.67560371428063,24.68479508067962,G,official_lowcal_20260725
160,2,160,LOWCAL,2,Ethylene,340,35.74423853767194,10.874909567720882,G,official_lowcal_20260725
160,2,160,LOWCAL,3,Methane,340,19.135105013523617,10.615348449337084,G,official_lowcal_20260725
160,3,160,LOWCAL,0,Ethanol,340,30.631135446456856,9.931221439767134,G,official_lowcal_20260725
160,3,160,LOWCAL,1,CO,340,31.861037007128957,21.69235795578217,G,official_lowcal_20260725
160,3,160,LOWCAL,2,Ethylene,340,34.83730582592411,12.734390278317996,G,official_lowcal_20260725
160,3,160,LOWCAL,3,Methane,340,46.19513280919528,15.247201261265285,G,official_lowcal_20260725
160,4,160,LOWCAL,0,Ethanol,340,32.95669547060551,10.412939673337473,G,official_lowcal_20260725
160,4,160,LOWCAL,1,CO,340,31.49328473849063,21.739710223795928,G,official_lowcal_20260725
160,4,160,LOWCAL,2,Ethylene,340,36.04838688329841,11.28918376025736,G,official_lowcal_20260725
160,4,160,LOWCAL,3,Methane,340,46.23689562811245,14.808030872528589,G,official_lowcal_20260725
80,0,80,LOWCAL,0,Ethanol,340,29.278499439037592,17.554370889528474,G,official_lowcal_20260725
80,0,80,LOWCAL,1,CO,340,33.923149346482575,23.850139433473135,G,official_lowcal_20260725
80,0,80,LOWCAL,2,Ethylene,340,35.92910846424088,11.366602147928313,G,official_lowcal_20260725
80,0,80,LOWCAL,3,Methane,340,29.923832533438272,19.971132847789196,G,official_lowcal_20260725
80,1,80,LOWCAL,0,Ethanol,340,27.499721230571836,17.8731763042965,G,official_lowcal_20260725
80,1,80,LOWCAL,1,CO,340,46.23160056121017,34.2192483304411,G,official_lowcal_20260725
80,1,80,LOWCAL,2,Ethylene,340,36.91623488271562,11.330463570442376,G,official_lowcal_20260725
80,1,80,LOWCAL,3,Methane,340,49.32583759260497,21.96197219467112,G,official_lowcal_20260725
80,2,80,LOWCAL,0,Ethanol,340,28.820644694430317,16.54115727901832,G,official_lowcal_20260725
80,2,80,LOWCAL,1,CO,340,36.573944294817714,25.963244827458194,G,official_lowcal_20260725
80,2,80,LOWCAL,2,Ethylene,340,32.536397859068444,13.671000635530243,G,official_lowcal_20260725
80,2,80,LOWCAL,3,Methane,340,50.03076696519026,24.123758360081926,G,official_lowcal_20260725
80,3,80,LOWCAL,0,Ethanol,340,27.24614078519755,12.290254322134412,G,official_lowcal_20260725
80,3,80,LOWCAL,1,CO,340,39.30367851814728,27.342677485282966,G,official_lowcal_20260725
80,3,80,LOWCAL,2,Ethylene,340,29.510648093618165,12.511392132097969,G,official_lowcal_20260725
80,3,80,LOWCAL,3,Methane,340,50.06275499310709,24.233452674911142,G,official_lowcal_20260725
80,4,80,LOWCAL,0,Ethanol,340,32.226699037345234,15.867021530202791,G,official_lowcal_20260725
80,4,80,LOWCAL,1,CO,340,38.514474716859695,30.488421558252785,G,official_lowcal_20260725
80,4,80,LOWCAL,2,Ethylene,340,32.6519541679837,14.256774154087045,G,official_lowcal_20260725
80,4,80,LOWCAL,3,Methane,340,50.35289916556409,24.378658732033696,G,official_lowcal_20260725
40,0,40,LOWCAL,0,Ethanol,340,33.874239320978724,24.5845400255441,G,official_lowcal_20260725
40,0,40,LOWCAL,1,CO,340,37.968202830480564,26.970406090371057,G,official_lowcal_20260725
40,0,40,LOWCAL,2,Ethylene,340,28.333860215616124,11.659176812586047,G,official_lowcal_20260725
40,0,40,LOWCAL,3,Methane,340,54.89163924928048,30.41376104233475,G,official_lowcal_20260725
40,1,40,LOWCAL,0,Ethanol,340,28.356867369088647,14.15669837159575,G,official_lowcal_20260725
40,1,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522,G,official_lowcal_20260725
40,1,40,LOWCAL,2,Ethylene,340,29.514475325021245,12.84663192027656,G,official_lowcal_20260725
40,1,40,LOWCAL,3,Methane,340,55.38934584689098,31.950313669159556,G,official_lowcal_20260725
40,2,40,LOWCAL,0,Ethanol,340,31.64280226421457,20.200192265867745,G,official_lowcal_20260725
40,2,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522,G,official_lowcal_20260725
40,2,40,LOWCAL,2,Ethylene,340,27.88521566402314,11.783351192393683,G,official_lowcal_20260725
40,2,40,LOWCAL,3,Methane,340,50.3717135864703,25.49455752214601,G,official_lowcal_20260725
40,3,40,LOWCAL,0,Ethanol,340,42.510474124916165,32.724798522555105,G,official_lowcal_20260725
40,3,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522,G,official_lowcal_20260725
40,3,40,LOWCAL,2,Ethylene,340,29.514475325021245,12.84663192027656,G,official_lowcal_20260725
40,3,40,LOWCAL,3,Methane,340,48.55887227872525,22.03087480174078,G,official_lowcal_20260725
