track,nominal_budget,gas_id,gas,replicates,RMSE_mean,RMSE_sample_std,RMSE_median,RMSE_min,RMSE_max
G,320,0,Ethanol,5,26.049235953117705,1.2531445062108357,26.099582933585353,24.873888300792764,28.055836870398007
G,320,1,CO,5,20.924003654567457,0.8897877445805817,21.573812746698696,19.949290016370597,21.573812746698696
G,320,2,Ethylene,5,35.46020851533406,0.30284415934406683,35.48587714996056,35.156657239794185,35.831175106665235
G,320,3,Methane,5,13.25123398047935,0.46301835849716055,13.248460088486413,12.579739259142627,13.682179859597202
G,160,0,Ethanol,5,27.31234560963306,5.188412251084967,27.492533898696863,19.351526540258238,32.95669547060551
G,160,1,CO,5,32.31681316670982,1.6252820437144402,31.861037007128957,30.44784144601751,34.67560371428063
G,160,2,Ethylene,5,35.5547523303629,0.6533649229387027,35.74423853767194,34.83730582592411,36.24743136821992
G,160,3,Methane,5,36.305880557034186,14.5197386908236,46.19513280919528,19.135105013523617,48.18195736954893
G,80,0,Ethanol,5,29.014341037316505,1.9904237705431407,28.820644694430317,27.24614078519755,32.226699037345234
G,80,1,CO,5,38.90936948750349,4.589201769197961,38.514474716859695,33.923149346482575,46.23160056121017
G,80,2,Ethylene,5,33.508868693525365,2.963674867814701,32.6519541679837,29.510648093618165,36.91623488271562
G,80,3,Methane,5,45.93921824998093,8.960840859078175,50.03076696519026,29.923832533438272,50.35289916556409
G,40,0,Ethanol,5,33.49722784846999,5.407893092299481,31.64280226421457,28.356867369088647,42.510474124916165
G,40,1,CO,5,43.30375755279808,3.781506407441016,43.295571266689876,37.968202830480564,48.663871133440225
G,40,2,Ethylene,5,28.200662418611806,1.5450991050997427,28.333860215616124,25.75528556337727,29.514475325021245
G,40,3,Methane,5,54.19846277055964,5.143895853266884,54.89163924928048,48.55887227872525,61.78074289143116
