nominal_budget,replicate,actual_rows,unique_filenames,model_path,model_bytes,model_sha256,model_numeric_sha256,model_parameters,target_input_dimension,variant,N,S_ALL_RMSE,S_ALL_MAE,S_ALL_NRMSE,S_CC_N,S_CC_RMSE,CO_RMSE,CO_high_200_250_N,CO_high_200_250_RMSE,model_parameter_count,track,reuse
160,0,160,45,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_160\replicate_0\target_ridge_105d.json,46187,9e2484c4dc91f10264318ea5fc2f3111bcf28092bf6649e503b75f78ccd2c57c,6961541ecc9c8237a801f600cda34a1072bbba808cc0e33d2edf397d2741ddf8,424,105,LOWCAL,1360,27.79303374155814,12.933636982717518,0.2006764422244708,1333,17.46495835444487,30.44784144601751,102,42.21391563580423,424,G,official_lowcal_20260725
160,1,160,45,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_160\replicate_1\target_ridge_105d.json,46200,987db63fcd687918c18a7835a663590a987bf79410aa80f9c99c6b9a32a65805,a3ea9ec92d2796859a3859d2b0bb970f61803e1a6e39f16664c436ef46139015,424,105,LOWCAL,1360,36.71214421191685,15.214742521209779,0.23635002697396337,1333,28.559718279606855,33.106298927631386,102,43.21300826419967,424,G,official_lowcal_20260725
160,2,160,45,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_160\replicate_2\target_ridge_105d.json,46437,e4caa06f32604bf64ed1b3d6d3aa280c5b9b6da711a51c28ed7ab53f11f95dca,251df8778c2f57db7cd5930c445513820eaf6f0b794f55d76f2b543116c4eac0,424,105,LOWCAL,1360,29.702561720433796,14.83400691120832,0.21556959351326602,1333,18.970491454213825,34.67560371428063,102,50.75399483739481,424,G,official_lowcal_20260725
160,3,160,45,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_160\replicate_3\target_ridge_105d.json,46139,86a81328a75e29315c309333ffc5c1f9a064198466eab4c87ee986dce1d347e6,521dc938046519a737652d78a2da90e200b9ba447550ee7205ce2a0e81988ec6,424,105,LOWCAL,1360,36.404053038010005,14.901292733783146,0.24095215772473305,1333,27.419492498849497,31.861037007128957,102,47.87254192669317,424,G,official_lowcal_20260725
160,4,160,45,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_160\replicate_4\target_ridge_105d.json,46395,8f1d76542eef0353b8e55a3b9d29621ebb1444b6a21b7175bb6255b7cc86aba5,750057a2ab53dc897b2f53a1e539813e102cf1e44abb07b568a4fa530452d93b,424,105,LOWCAL,1360,37.132558066253665,14.562466132479837,0.25015745554010205,1333,27.163540471483177,31.49328473849063,102,43.728673935893056,424,G,official_lowcal_20260725
80,0,80,28,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_80\replicate_0\target_ridge_105d.json,46456,65fefddacdcc21f85447876f2f32dd0ea620ed199a69e9e60b9397e323463719,350222da96cb4f9eafb2fcf13f2b7825969e60c0dfe3883bf5a232c6dcd740f2,424,105,LOWCAL,1360,32.38188992133539,18.18556132967978,0.22920949792679865,1333,22.97055894266001,33.923149346482575,102,43.33759595771323,424,G,official_lowcal_20260725
80,1,80,28,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_80\replicate_1\target_ridge_105d.json,46400,5af97e4cdba50b882a265cf1750c85662bde2267909cfa9c8d380d2e181d67b2,f1b7f84dd6a62751aa20ec6c4b8cb58e392ffaa3f2401c429f632b5a8dcf8a8a,424,105,LOWCAL,1360,40.894505163708494,21.346215099962773,0.25382575346639225,1333,34.16785268557094,46.23160056121017,102,46.48599424157523,424,G,official_lowcal_20260725
80,2,80,28,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_80\replicate_2\target_ridge_105d.json,46013,daeaabb363113f3c8e400bafc6b9ed0768b55e79a0f49c00f922407bff29431f,681eb3cac8c6311aa034f506c90e4b3c0f4c3ff741a95998286f5a4bbab7d796,424,105,LOWCAL,1360,37.8483083857515,20.07479027552217,0.23724465706445613,1333,31.701136921896016,36.573944294817714,102,56.48813365497455,424,G,official_lowcal_20260725
80,3,80,28,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_80\replicate_3\target_ridge_105d.json,46403,3309ef13fb727fef517c871c4f0e125d518765118d8c3f40f88f5b8f26b7ee94,e35625188b10d772050565e4dacc064edb062fdb82630b96182e1126426b7c7a,424,105,LOWCAL,1360,37.63073584568178,19.09444415360662,0.22775317739162812,1333,31.75340373979818,39.30367851814728,102,63.066226657106306,424,G,official_lowcal_20260725
80,4,80,28,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-confirmation-observability\results\iotj_low_calibration_sensitivity_20260725\models\budget_80\replicate_4\target_ridge_105d.json,46425,df46dd44ea66566ebc579caa0db271158aadef5bf69160dbd422eed39b75e5d6,b5837f3f677b5416b032b99363554689b72622027c5ad19e47f1bbd87b367b40,424,105,LOWCAL,1360,39.12636406224333,21.24771899364408,0.247831286543343,1333,31.80650116075882,38.514474716859695,102,51.17895570489986,424,G,official_lowcal_20260725
