candidate_id,sampling_rate,aggregation,window_duration_s,usable_window_ratio,target_calibration_validation_RMSE,source_validation_RMSE,ranking_eligible,selection_status
HZ1_MEAN_W10S,1,mean,10,1.0,11.71056926839641,11.909720153590541,True,screened
HZ1_MEAN_W20S,1,mean,20,1.0,15.607673640203407,11.292387910123967,True,screened
HZ1_MEDIAN_W10S,1,median,10,1.0,12.126773891683031,11.666507630166759,True,screened
HZ1_MEDIAN_W20S,1,median,20,1.0,15.198341554935993,11.346824527584417,True,screened
HZ2_MEAN_W10S,2,mean,10,1.0,10.780532544677287,11.908960418757987,True,screened
HZ2_MEAN_W20S,2,mean,20,1.0,14.511400143983101,11.359921029947765,True,screened
HZ2_MEDIAN_W10S,2,median,10,1.0,11.836061383979214,11.679439850627867,True,screened
HZ2_MEDIAN_W20S,2,median,20,1.0,14.546076217416854,11.409450936275055,True,screened
HZ5_MEAN_W10S,5,mean,10,0.9996279761904762,10.482149557898786,11.886916096086313,True,screened
HZ5_MEAN_W20S,5,mean,20,0.999375,12.418186374402268,11.011488370043505,True,screened
HZ5_MEDIAN_W10S,5,median,10,0.9996279761904762,12.256603300798744,11.501238566610686,True,screened
HZ5_MEDIAN_W20S,5,median,20,0.999375,13.853045146003444,10.880399977656253,True,screened
HZ10_MEAN_W10S,10,mean,10,0.991889880952381,12.147732968966125,11.660974198862977,True,screened
HZ10_MEAN_W20S,10,mean,20,0.98671875,11.823731599190978,11.3053940909228,True,screened
HZ10_MEDIAN_W10S,10,median,10,0.991889880952381,11.917037939238034,11.29720429959885,True,screened
HZ10_MEDIAN_W20S,10,median,20,0.98671875,13.554816123511513,11.02575343210874,True,screened
