candidate_id,sampling_rate,aggregation,window_duration_s,points_per_window,approx_input_tensor_bytes,processing_time_s,per_file_latency_s,relative_compute_proxy
HZ1_MEAN_W10S,1,mean,10,10,320,10.393527100619394,0.016239886094717805,10
HZ1_MEAN_W20S,1,mean,20,20,640,10.041032000619452,0.015689112500967894,20
HZ1_MEDIAN_W10S,1,median,10,10,320,13.183442399313208,0.020599128748926887,10
HZ1_MEDIAN_W20S,1,median,20,20,640,12.43708900042111,0.019432951563157986,20
HZ2_MEAN_W10S,2,mean,10,20,640,10.494066200277302,0.016396978437933286,20
HZ2_MEAN_W20S,2,mean,20,40,1280,10.079189799318556,0.015748734061435243,40
HZ2_MEDIAN_W10S,2,median,10,20,640,13.236546799598727,0.02068210437437301,20
HZ2_MEDIAN_W20S,2,median,20,40,1280,12.663346599729266,0.019786479062076978,40
HZ5_MEAN_W10S,5,mean,10,50,1600,10.844959700421896,0.016945249531909214,50
HZ5_MEAN_W20S,5,mean,20,100,3200,10.47910429968033,0.016373600468250517,100
HZ5_MEDIAN_W10S,5,median,10,50,1600,14.057325399830006,0.021964570937234383,50
HZ5_MEDIAN_W20S,5,median,20,100,3200,13.516544799844269,0.02111960124975667,100
HZ10_MEAN_W10S,10,mean,10,100,3200,11.23931099899346,0.01756142343592728,100
HZ10_MEAN_W20S,10,mean,20,200,6400,11.005924400524236,0.01719675687581912,200
HZ10_MEDIAN_W10S,10,median,10,100,3200,14.292765699967276,0.02233244640619887,100
HZ10_MEDIAN_W20S,10,median,20,200,6400,13.748767499346286,0.021482449217728572,200
