candidate_id,client,gas,N,mean_abs_feature_concentration_corr,within_concentration_variance
HZ1_MEAN_W10S,C3,CO,170,0.3364820151949924,120.3268836013334
HZ1_MEAN_W10S,C3,Ethanol,170,0.35491643325069655,23.60068150418461
HZ1_MEAN_W10S,C3,Ethylene,170,0.38429308985475674,24.149136939900764
HZ1_MEAN_W10S,C3,Methane,170,0.47085607217969894,89.07788487953385
HZ1_MEAN_W10S,C4,CO,80,0.40213141468784114,10.751308480194325
HZ1_MEAN_W10S,C4,Ethanol,80,0.3589517847701018,6.381692649338158
HZ1_MEAN_W10S,C4,Ethylene,80,0.42165145048935593,24.42705954998003
HZ1_MEAN_W10S,C4,Methane,80,0.46736465624550505,44.67976527939258
HZ1_MEAN_W10S,C5,CO,80,0.36642943542331236,101.78215186858448
HZ1_MEAN_W10S,C5,Ethanol,80,0.3818783881445946,16.61481905057323
HZ1_MEAN_W10S,C5,Ethylene,80,0.4700430791886273,10.677539398457666
HZ1_MEAN_W10S,C5,Methane,80,0.3290019845701488,89.76486382616143
HZ1_MEAN_W20S,C3,CO,94,0.32927112455387797,117.57465186377543
HZ1_MEAN_W20S,C3,Ethanol,89,0.40279105726330044,22.17875216873669
HZ1_MEAN_W20S,C3,Ethylene,92,0.4427572739973991,24.658922187713067
HZ1_MEAN_W20S,C3,Methane,85,0.47533740880141756,76.04751526933289
HZ1_MEAN_W20S,C4,CO,36,0.4009927324969948,9.361493093610422
HZ1_MEAN_W20S,C4,Ethanol,33,0.3786855842908657,9.992526268398935
HZ1_MEAN_W20S,C4,Ethylene,39,0.407674887489802,25.004392738462702
HZ1_MEAN_W20S,C4,Methane,40,0.5443089562558737,38.19154919844431
HZ1_MEAN_W20S,C5,CO,36,0.444692922404114,87.0151818719429
HZ1_MEAN_W20S,C5,Ethanol,37,0.3582537648943001,11.738631911401004
HZ1_MEAN_W20S,C5,Ethylene,35,0.489639458337889,15.587536929778103
HZ1_MEAN_W20S,C5,Methane,29,0.3137863841477719,86.97246405090232
HZ1_MEDIAN_W10S,C3,CO,170,0.3388764151495075,119.51786204461331
HZ1_MEDIAN_W10S,C3,Ethanol,170,0.35582861390320014,23.903899571814613
HZ1_MEDIAN_W10S,C3,Ethylene,170,0.38707515881685045,23.653504857063133
HZ1_MEDIAN_W10S,C3,Methane,170,0.47189313321690646,85.41810297771602
HZ1_MEDIAN_W10S,C4,CO,80,0.401437620851524,4.565323350991667
HZ1_MEDIAN_W10S,C4,Ethanol,80,0.3598956015590532,7.168037860085473
HZ1_MEDIAN_W10S,C4,Ethylene,80,0.42140290470075376,23.898383246908768
HZ1_MEDIAN_W10S,C4,Methane,80,0.4676675761182658,40.78222094046449
HZ1_MEDIAN_W10S,C5,CO,80,0.36316817130750134,101.5675574959796
HZ1_MEDIAN_W10S,C5,Ethanol,80,0.3837669751888836,14.675423264254169
HZ1_MEDIAN_W10S,C5,Ethylene,80,0.46939953170619786,10.642388946009346
HZ1_MEDIAN_W10S,C5,Methane,80,0.32950832805911506,84.95789009962334
HZ1_MEDIAN_W20S,C3,CO,94,0.3300011439384049,116.22329448938474
HZ1_MEDIAN_W20S,C3,Ethanol,89,0.4045905523098785,21.823307408658472
HZ1_MEDIAN_W20S,C3,Ethylene,92,0.442583795912062,24.40505965019352
HZ1_MEDIAN_W20S,C3,Methane,85,0.47520813803608053,73.05401944235322
HZ1_MEDIAN_W20S,C4,CO,36,0.4004004372494609,7.244248949194029
HZ1_MEDIAN_W20S,C4,Ethanol,33,0.39051732995185967,9.447917768308857
HZ1_MEDIAN_W20S,C4,Ethylene,39,0.41107012865372555,24.924309043969167
HZ1_MEDIAN_W20S,C4,Methane,40,0.5481717354345732,35.097964911747965
HZ1_MEDIAN_W20S,C5,CO,36,0.43525948970970163,81.39169178657559
HZ1_MEDIAN_W20S,C5,Ethanol,37,0.3589109051950696,11.811638764489945
HZ1_MEDIAN_W20S,C5,Ethylene,35,0.48863969019987685,15.504244368332698
HZ1_MEDIAN_W20S,C5,Methane,29,0.31383546217129005,85.23258698997307
HZ2_MEAN_W10S,C3,CO,170,0.33874769439048164,99.19563425510248
HZ2_MEAN_W10S,C3,Ethanol,170,0.35562480084005815,25.404336068307572
HZ2_MEAN_W10S,C3,Ethylene,170,0.387071786770252,18.42336182171751
HZ2_MEAN_W10S,C3,Methane,170,0.4741655841804441,68.8245773794076
HZ2_MEAN_W10S,C4,CO,80,0.40311089203965633,5.550469041114936
HZ2_MEAN_W10S,C4,Ethanol,80,0.35761502730112726,7.287430021456728
HZ2_MEAN_W10S,C4,Ethylene,80,0.42304796766448405,24.264183698621437
HZ2_MEAN_W10S,C4,Methane,80,0.4667297451404089,43.07676766941587
HZ2_MEAN_W10S,C5,CO,80,0.36820725312434643,80.34738474321992
HZ2_MEAN_W10S,C5,Ethanol,80,0.38340762852868016,12.909174736081525
HZ2_MEAN_W10S,C5,Ethylene,80,0.4702422443741719,7.464029175905591
HZ2_MEAN_W10S,C5,Methane,80,0.3293598667688397,81.57085388090765
HZ2_MEAN_W20S,C3,CO,94,0.33139796975981656,81.27070115332268
HZ2_MEAN_W20S,C3,Ethanol,89,0.40236857405909215,24.223452388353667
HZ2_MEAN_W20S,C3,Ethylene,92,0.4433674927279122,17.050800722195245
HZ2_MEAN_W20S,C3,Methane,85,0.4781499360108584,62.5470876994361
HZ2_MEAN_W20S,C4,CO,36,0.40105326681898085,20.636286770776685
HZ2_MEAN_W20S,C4,Ethanol,33,0.38118829057770426,12.144861860947938
HZ2_MEAN_W20S,C4,Ethylene,39,0.4109633226646253,22.603382372107625
HZ2_MEAN_W20S,C4,Methane,40,0.5439319357852418,38.81380822941577
HZ2_MEAN_W20S,C5,CO,36,0.44687547753943796,61.38728734842307
HZ2_MEAN_W20S,C5,Ethanol,37,0.3530471981078549,6.607108278938985
HZ2_MEAN_W20S,C5,Ethylene,35,0.4890309172237061,9.934410978638445
HZ2_MEAN_W20S,C5,Methane,29,0.3193634184027638,87.86397663448935
HZ2_MEDIAN_W10S,C3,CO,170,0.3424173898709978,95.5573598612152
HZ2_MEDIAN_W10S,C3,Ethanol,170,0.35909863714375245,24.571073710163947
HZ2_MEDIAN_W10S,C3,Ethylene,170,0.3903756382547761,18.297449361891683
HZ2_MEDIAN_W10S,C3,Methane,170,0.47561859827708763,66.40603659360707
HZ2_MEDIAN_W10S,C4,CO,80,0.40578108059569484,3.9126152154776084
HZ2_MEDIAN_W10S,C4,Ethanol,80,0.36694816121754614,8.515652318849169
HZ2_MEDIAN_W10S,C4,Ethylene,80,0.423992694822817,23.907853017945424
HZ2_MEDIAN_W10S,C4,Methane,80,0.469635530645256,37.44137655874073
HZ2_MEDIAN_W10S,C5,CO,80,0.3610060625253241,77.35745224129803
HZ2_MEDIAN_W10S,C5,Ethanol,80,0.3877401949604984,11.421055344502127
HZ2_MEDIAN_W10S,C5,Ethylene,80,0.4679688793856033,7.446079276646084
HZ2_MEDIAN_W10S,C5,Methane,80,0.3296396688141741,78.78294287875435
HZ2_MEDIAN_W20S,C3,CO,94,0.3353806216814331,78.44110480521478
HZ2_MEDIAN_W20S,C3,Ethanol,89,0.4069730808856848,23.692397938590716
HZ2_MEDIAN_W20S,C3,Ethylene,92,0.4456060347013239,16.840781319441454
HZ2_MEDIAN_W20S,C3,Methane,85,0.4777033891951505,55.84695732423489
HZ2_MEDIAN_W20S,C4,CO,36,0.39983415680628487,7.511452956775333
HZ2_MEDIAN_W20S,C4,Ethanol,33,0.39683597040449425,11.592339208872737
HZ2_MEDIAN_W20S,C4,Ethylene,39,0.4147543169839204,22.83741007377778
HZ2_MEDIAN_W20S,C4,Methane,40,0.5465440906724589,34.614956360509574
HZ2_MEDIAN_W20S,C5,CO,36,0.42911062666225014,60.62857662376865
HZ2_MEDIAN_W20S,C5,Ethanol,37,0.3603664928744439,7.0437142108558355
HZ2_MEDIAN_W20S,C5,Ethylene,35,0.4869165789719941,9.45871041773363
HZ2_MEDIAN_W20S,C5,Methane,29,0.317944148067383,84.02339063510844
HZ5_MEAN_W10S,C3,CO,168,0.346672801083333,41.75574549976496
HZ5_MEAN_W10S,C3,Ethanol,170,0.3611182749066639,27.971909238117416
HZ5_MEAN_W10S,C3,Ethylene,170,0.3947827543400737,11.375915287802261
HZ5_MEAN_W10S,C3,Methane,170,0.4775365702584875,56.34970557871332
HZ5_MEAN_W10S,C4,CO,80,0.4088788533765752,6.5113315320096055
HZ5_MEAN_W10S,C4,Ethanol,80,0.35971583348420283,8.789722780609386
HZ5_MEAN_W10S,C4,Ethylene,80,0.42639222173169433,21.267905132024275
HZ5_MEAN_W10S,C4,Methane,80,0.469383162346264,41.29292110480618
HZ5_MEAN_W10S,C5,CO,80,0.36746352034841395,65.34412514284357
HZ5_MEAN_W10S,C5,Ethanol,80,0.38939114138865477,4.836030352118426
HZ5_MEAN_W10S,C5,Ethylene,80,0.4723673685478515,1.0416010397459534
HZ5_MEAN_W10S,C5,Methane,80,0.33247947944114165,73.00058188020041
HZ5_MEAN_W20S,C3,CO,91,0.34379270966158554,39.103966813921744
HZ5_MEAN_W20S,C3,Ethanol,89,0.40967182499897464,26.915717343401422
HZ5_MEAN_W20S,C3,Ethylene,92,0.4501337367199946,7.966442480712188
HZ5_MEAN_W20S,C3,Methane,85,0.48358055208705575,58.28011942732961
HZ5_MEAN_W20S,C4,CO,36,0.4017843946699858,39.0364543580015
HZ5_MEAN_W20S,C4,Ethanol,33,0.39900149018904835,13.568608742571655
HZ5_MEAN_W20S,C4,Ethylene,39,0.4199919580122782,18.137900162090208
HZ5_MEAN_W20S,C4,Methane,40,0.5460798182499095,41.7976394571094
HZ5_MEAN_W20S,C5,CO,36,0.4415808183373978,52.59410595613566
HZ5_MEAN_W20S,C5,Ethanol,37,0.36422629053581934,7.885196050480139
HZ5_MEAN_W20S,C5,Ethylene,35,0.48866179050952374,0.2737323567228355
HZ5_MEAN_W20S,C5,Methane,29,0.3305741493438602,58.770404014160846
HZ5_MEDIAN_W10S,C3,CO,168,0.3505834416648337,42.71489646508934
HZ5_MEDIAN_W10S,C3,Ethanol,170,0.36316837293068527,24.55924555335978
HZ5_MEDIAN_W10S,C3,Ethylene,170,0.4002323781374801,10.333927806738945
HZ5_MEDIAN_W10S,C3,Methane,170,0.48198992157712484,52.75487723939911
HZ5_MEDIAN_W10S,C4,CO,80,0.41246984786382646,5.39568336821971
HZ5_MEDIAN_W10S,C4,Ethanol,80,0.36687762316403416,9.1874057766025
HZ5_MEDIAN_W10S,C4,Ethylene,80,0.4325252009250415,21.18154608871977
HZ5_MEDIAN_W10S,C4,Methane,80,0.4654574212454712,36.74435814614785
HZ5_MEDIAN_W10S,C5,CO,80,0.3627083977744761,64.07194292386639
HZ5_MEDIAN_W10S,C5,Ethanol,80,0.3962153766382253,4.0944415296116725
