method,budget_pct,class_id,class_name,precision,recall,f1,support
A0T,15,0,ethanol,0.9912536443148688,1.0,0.9956076134699853,340
A0T,15,1,carbon_monoxide,0.9970059880239521,0.9794117647058823,0.9881305637982196,340
A0T,15,2,ethylene,0.9883381924198251,0.9970588235294118,0.9926793557833089,340
A0T,15,3,methane,1.0,1.0,1.0,340
A0T,10,0,ethanol,1.0,0.9705882352941176,0.9850746268656716,340
A0T,10,1,carbon_monoxide,0.9855072463768116,1.0,0.9927007299270074,340
A0T,10,2,ethylene,0.9714285714285714,1.0,0.9855072463768115,340
A0T,10,3,methane,1.0,0.9852941176470589,0.9925925925925926,340
A0T,5,0,ethanol,1.0,0.9352941176470588,0.9665653495440729,340
A0T,5,1,carbon_monoxide,0.9361111111111111,0.9911764705882353,0.962857142857143,340
A0T,5,2,ethylene,0.9735294117647059,0.9735294117647059,0.9735294117647059,340
A0T,5,3,methane,0.9883040935672515,0.9941176470588236,0.9912023460410556,340
A4,15,0,ethanol,1.0,0.9764705882352941,0.988095238095238,340
A4,15,1,carbon_monoxide,0.9685714285714285,0.9970588235294118,0.9826086956521739,340
A4,15,2,ethylene,0.9881305637982196,0.9794117647058823,0.983751846381093,340
A4,15,3,methane,0.9912023460410557,0.9941176470588236,0.9926578560939794,340
A4,10,0,ethanol,0.990990990990991,0.9705882352941176,0.9806835066864785,340
A4,10,1,carbon_monoxide,0.9907692307692307,0.9470588235294117,0.9684210526315788,340
A4,10,2,ethylene,0.9340659340659341,1.0,0.9659090909090909,340
A4,10,3,methane,1.0,0.9941176470588236,0.9970501474926253,340
A4,5,0,ethanol,1.0,0.9705882352941176,0.9850746268656716,340
A4,5,1,carbon_monoxide,0.9668674698795181,0.9441176470588235,0.9553571428571428,340
A4,5,2,ethylene,0.9299719887955182,0.9764705882352941,0.9526542324246773,340
A4,5,3,methane,0.9736070381231672,0.9764705882352941,0.97503671071953,340
