experiment_id,method,target,scope,class_id,gas,true_ppm,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,12.5,42,67,2.4003779629211315,0.666509844337447,0.02133669300374339,nan,0.666509844337447
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,25.0,42,67,4.739332336762591,3.9222653453039333,0.04212739854900081,nan,1.877160933298138
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,37.5,42,67,6.438602541699464,5.374607598983378,0.057232022592884124,nan,4.77721772014238
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,50.0,42,67,7.092987887929506,6.213569039284831,0.06304878122604005,nan,6.201536741425339
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,62.5,42,67,6.496932926978549,5.606976830359494,0.05775051490647599,nan,5.252503857128664
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,75.0,42,67,4.974561905838765,3.8798912064590465,0.044218328051900145,nan,3.111355707477539
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,87.5,42,67,5.3472391635706105,4.612512158866663,0.04753101478729431,nan,1.1068650732675593
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,100.0,42,67,5.790045432811084,5.01777893905104,0.05146707051387629,nan,-1.2938990305284568
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,112.5,42,67,10.728728582679,9.459698293086173,0.09536647629047999,nan,-8.61476647311188
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,125.0,42,67,11.561274743741235,10.404726663291733,0.10276688661103318,nan,-10.404726663291733
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,1,CO,25.0,42,67,10.352643177645565,3.8009392968044655,0.04601174745620251,nan,3.8009392968044655
