method,target,scope,workpoint,population,coverage,review_rate,reject_rate,N,RMSE,NRMSE_range,MAE,P90AE,Bias,R2
A0T,C3,A0T_C3,HC90,accepted,0.9887934254762795,0.00635039223010833,0.004856182293612252,2647,9.801646059316116,0.05658986569838853,5.438643630532175,12.506030119757796,-0.016012769335002754,0.9783843050727914
A0T,C3,A0T_C3,HC90,accepted+review,0.9887934254762795,0.00635039223010833,0.004856182293612252,2664,9.867362088217313,0.05697374982784669,5.488623192611158,12.651156909315489,0.023233977422032648,0.9779758144519232
A0T,C3,A0T_C3,HC90,reject,0.9887934254762795,0.00635039223010833,0.004856182293612252,13,30.342932663571034,0.15652281001614224,20.950784926391353,56.01376529453324,19.21705231990602,-0.13938461937790403
A0T,C3,A0T_C3,HC95,accepted,0.9951438177063877,0.004109077325364214,0.0007471049682480389,2664,9.867362088217313,0.05697374982784669,5.488623192611158,12.651156909315489,0.023233977422032582,0.9779758144519232
A0T,C3,A0T_C3,HC95,accepted+review,0.9951438177063877,0.004109077325364214,0.0007471049682480389,2675,10.052520774309984,0.05765387126620506,5.5524574527649975,12.803554069889074,0.10111711887784293,0.9770880217701752
A0T,C3,A0T_C3,HC95,reject,0.9951438177063877,0.004109077325364214,0.0007471049682480389,2,22.71228087130516,0.19266694264579753,20.614351506421883,30.148302122338464,20.614351506421883,-12.205701180852591
A0T,C4,A0T_C4,HC90,accepted,0.9992647058823529,0.0007352941176470588,0.0,1359,15.019468786368353,0.07047807821101713,6.583625457331438,16.22583150524389,0.2589079099762655,0.9487381131909618
A0T,C4,A0T_C4,HC90,accepted+review,0.9992647058823529,0.0007352941176470588,0.0,1360,15.018111883179797,0.07046969951396866,6.588375944274632,16.22583150524389,0.2683089245278082,0.9487900813825803
A0T,C4,A0T_C4,HC90,reject,0.9992647058823529,0.0007352941176470588,0.0,0,,,,,,
A0T,C4,A0T_C4,HC95,accepted,1.0,0.0,0.0,1360,15.018111883179799,0.07046969951396867,6.588375944274632,16.22583150524389,0.2683089245278082,0.9487900813825803
A0T,C4,A0T_C4,HC95,accepted+review,1.0,0.0,0.0,1360,15.018111883179799,0.07046969951396867,6.588375944274632,16.22583150524389,0.2683089245278082,0.9487900813825803
A0T,C4,A0T_C4,HC95,reject,1.0,0.0,0.0,0,,,,,,
A0T,C5,A0T_C5,HC90,accepted,0.9948529411764706,0.0,0.005147058823529412,1353,19.87781071304814,0.13629556707267265,8.639205729147704,18.634187795392563,1.0313906820333236,0.9098254516040136
A0T,C5,A0T_C5,HC90,accepted+review,0.9948529411764706,0.0,0.005147058823529412,1353,19.87781071304814,0.13629556707267265,8.639205729147704,18.634187795392563,1.0313906820333236,0.9098254516040136
A0T,C5,A0T_C5,HC90,reject,0.9948529411764706,0.0,0.005147058823529412,7,137.8393722191477,1.1541402909573037,103.91866194693696,237.5,31.795623767348754,-1.3202116739057157
A0T,C5,A0T_C5,HC95,accepted,0.9948529411764706,0.0007352941176470588,0.004411764705882353,1353,19.87781071304814,0.13629556707267265,8.639205729147704,18.634187795392563,1.0313906820333236,0.9098254516040136
A0T,C5,A0T_C5,HC95,accepted+review,0.9948529411764706,0.0007352941176470588,0.004411764705882353,1354,19.935763736523885,0.13643351098935175,8.676638470197796,18.904963719319653,0.9868156984343533,0.9094589771340805
A0T,C5,A0T_C5,HC95,reject,0.9948529411764706,0.0007352941176470588,0.004411764705882353,6,146.90054069545033,1.2419583281627795,111.3512494195977,237.5,46.982083913735636,-1.8106154576394835
A4,C3,A4_C3,HC90,accepted,0.8778483376914457,0.05229734777736272,0.06985431453119163,2350,8.668194295637544,0.0488427546800016,4.980397794645853,11.795055055790868,0.10848351972652019,0.9842183449829244
A4,C3,A4_C3,HC90,accepted+review,0.8778483376914457,0.05229734777736272,0.06985431453119163,2490,8.979123770850812,0.05114151669356387,5.198922462192954,12.025103757756142,0.19028274378591173,0.9825715889621516
A4,C3,A4_C3,HC90,reject,0.8778483376914457,0.05229734777736272,0.06985431453119163,187,13.165124632549965,0.0976915712037959,9.583953558574036,17.1260875043033,0.9063516897644062,0.8478345545678538
A4,C3,A4_C3,HC95,accepted,0.9301456854688084,0.03586103847590587,0.033993276055285765,2490,8.979123770850814,0.05114151669356387,5.198922462192954,12.025103757756142,0.19028274378591165,0.9825715889621516
A4,C3,A4_C3,HC95,accepted+review,0.9301456854688084,0.03586103847590587,0.033993276055285765,2586,9.179166982710147,0.05271353379931025,5.329152996105977,12.261889476814957,0.2458573937949919,0.9813299087849258
A4,C3,A4_C3,HC95,reject,0.9301456854688084,0.03586103847590587,0.033993276055285765,91,12.957016821170587,0.11051240734905979,10.509083498722477,18.657152232935687,0.08246788636280436,0.8578476724651501
A4,C4,A4_C4,HC90,accepted,0.8742647058823529,0.04926470588235294,0.07647058823529412,1189,13.358543966458086,0.06309458731708087,5.820961201481261,14.345618688546566,0.6339165435508834,0.9603496176941789
