gas_id,alpha,pooled_source_calibration_RMSE,gas
0,0.0,4.673383945647625,Ethanol
0,0.01,4.529582271245082,Ethanol
0,0.1,4.431642128764534,Ethanol
0,1.0,4.490650013511505,Ethanol
0,10.0,4.7041025894612964,Ethanol
0,100.0,5.2108650881207454,Ethanol
0,1000.0,6.931017964817142,Ethanol
1,0.0,14.793128428184312,CO
1,0.01,14.765578382086568,CO
1,0.1,14.874357651080194,CO
1,1.0,15.017233365256434,CO
1,10.0,15.637156263885144,CO
1,100.0,17.715954131661093,CO
1,1000.0,21.59435549537876,CO
2,0.0,4.195330001363954,Ethylene
2,0.01,4.146228616385467,Ethylene
2,0.1,4.1615573006733175,Ethylene
2,1.0,4.2449707868378574,Ethylene
2,10.0,4.404726538856508,Ethylene
2,100.0,4.556952790626575,Ethylene
2,1000.0,5.811005516789764,Ethylene
3,0.0,8.349682615164184,Methane
3,0.01,8.224515038068116,Methane
3,0.1,8.237458277583055,Methane
3,1.0,8.535609762865354,Methane
3,10.0,9.665754112024361,Methane
3,100.0,11.971626543318049,Methane
3,1000.0,15.154975783345337,Methane
