target,target_coverage,threshold,calibration_N,calibration_retained_N,selection_split,target_test_used_for_selection,risk_formula,p95_scale_classification_uncertainty_risk,p95_scale_regression_disagreement_risk,p95_scale_source_prior_disagreement_risk
C5,0.5,0.35627999906656066,320,160,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.55,0.358329345428721,320,176,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.6,0.35999816451541905,320,192,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.65,0.36285305998820844,320,208,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.7,0.3664350533437541,320,224,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.75,0.37100119771781936,320,240,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.8,0.37907943550533574,320,256,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.85,0.3906636969842874,320,272,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.9,0.41931399464134406,320,288,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.95,0.4757645349390809,320,304,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,0.975,0.49479629918475393,320,312,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
C5,1.0,inf,320,320,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.10154773517894258,0.02515377619229004,2.111111111111111
