method,class_id,gas,precision,recall,f1
S4_fedavg,0,Ethanol,0.42424242424242425,0.041176470588235294,0.07506702412868632
S4_fedavg,1,CO,0.6545454545454545,0.21176470588235294,0.32
S4_fedavg,2,Ethylene,0.2818696883852691,0.5852941176470589,0.38049713193116635
S4_fedavg,3,Methane,0.6418786692759295,0.9647058823529412,0.770857814336075
S4_gaps_dg_p,0,Ethanol,0.6818181818181818,0.04411764705882353,0.08287292817679559
S4_gaps_dg_p,1,CO,0.7899159663865546,0.27647058823529413,0.4095860566448802
S4_gaps_dg_p,2,Ethylene,0.3738680465717982,0.85,0.5193171608265948
S4_gaps_dg_p,3,Methane,0.7354260089686099,0.9647058823529412,0.8346055979643767
S2_FedAvg,0,Ethanol,0.33962264150943394,0.052941176470588235,0.0916030534351145
S2_FedAvg,1,CO,0.38461538461538464,0.014705882352941176,0.028328611898016994
S2_FedAvg,2,Ethylene,0.3448275862068966,0.8823529411764706,0.49586776859504134
S2_FedAvg,3,Methane,0.7735849056603774,0.9647058823529412,0.8586387434554973
S2_GAPS-DG-P,0,Ethanol,0.4074074074074074,0.03235294117647059,0.05994550408719347
S2_GAPS-DG-P,1,CO,0.0,0.0,
S2_GAPS-DG-P,2,Ethylene,0.18529862174578868,0.3558823529411765,0.243705941591138
S2_GAPS-DG-P,3,Methane,0.4837758112094395,0.9647058823529412,0.6444007858546169
