source_set,method,scope,N,accuracy,macro_f1,nll,ece,checkpoint_sha256
S4,FedAvg,C1,680,0.9970588235294118,0.997058721755078,0.012045558570326968,0.001478070458945113,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,FedAvg,C2,680,0.9985294117647059,0.9985293990432443,0.004141645132726741,0.0021094371290767684,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,FedAvg,C3,678,1.0,1.0,0.0008069638058312682,0.0008066119873417765,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,FedAvg,C4,320,1.0,1.0,0.007438228348263997,0.006402598693966881,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,FedAvg,C5,1360,0.45073529411764707,0.3866054925989819,3.985706203260865,0.534400277299916,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,FedAvg,SOURCE_POOLED,2358,0.9987277353689568,0.9987266470895563,0.005909522073738169,0.0013670357634598628,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
S4,GAPS-DG-P,C1,680,0.9926470588235294,0.9926463613159139,0.02714109457668309,0.005246149091159601,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S4,GAPS-DG-P,C2,680,1.0,1.0,0.0009973282849779748,0.0009963313446325062,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S4,GAPS-DG-P,C3,678,1.0,1.0,0.0009190331462256854,0.0009185586531254009,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S4,GAPS-DG-P,C4,320,0.996875,0.9968748779249189,0.018344809015945256,0.002330644987523543,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S4,GAPS-DG-P,C5,1360,0.5338235294117647,0.4615954359031618,3.4332453096018614,0.45255412332275335,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S4,GAPS-DG-P,SOURCE_POOLED,2358,0.9974554707379135,0.9974539918656565,0.010868350680310866,0.0011952709757340888,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
S2,FedAvg,C1,680,0.9985294117647059,0.9985293990432443,0.011231897386190102,0.0007844126399825235,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
S2,FedAvg,C2,680,1.0,1.0,0.0006464030023699687,0.0006461313542197589,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
S2,FedAvg,C5,1360,0.4786764705882353,0.36860954434591753,4.082857309767214,0.5057970133993556,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
S2,FedAvg,SOURCE_POOLED,1360,0.9992647058823529,0.9992647042921805,0.0059391501942800354,6.914064288143784e-05,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
S2,GAPS-DG-P,C1,680,0.9985294117647059,0.9985293990432443,0.01124312158911171,0.0008036312811514623,3a19f14e4aa77111b775d55eaeaee8b54dbeda90b789ddb721c5ccf9582a4063
S2,GAPS-DG-P,C2,680,1.0,1.0,0.0006671535119691558,0.0006668243338080471,3a19f14e4aa77111b775d55eaeaee8b54dbeda90b789ddb721c5ccf9582a4063
S2,GAPS-DG-P,C5,1360,0.3382352941176471,0.3160174105109828,5.413317660256137,0.648408436468419,3a19f14e4aa77111b775d55eaeaee8b54dbeda90b789ddb721c5ccf9582a4063
S2,GAPS-DG-P,SOURCE_POOLED,1360,0.9992647058823529,0.9992647042921805,0.005955137550540434,6.840347367176314e-05,3a19f14e4aa77111b775d55eaeaee8b54dbeda90b789ddb721c5ccf9582a4063
