step,target_ce,target_accuracy
1.0,3.999218463897705,0.46875
2.0,4.250775337219238,0.46875
3.0,4.185880184173584,0.4375
4.0,4.278669357299805,0.46875
5.0,3.3671674728393555,0.5
6.0,3.202930450439453,0.5625
7.0,3.712887763977051,0.46875
8.0,3.005581855773926,0.5625
9.0,4.608366012573242,0.375
10.0,2.546313524246216,0.59375
11.0,3.735232353210449,0.5
12.0,4.135988235473633,0.4375
13.0,2.0669913291931152,0.71875
14.0,3.772709369659424,0.46875
15.0,2.8994367122650146,0.59375
16.0,4.216708660125732,0.40625
17.0,3.8637101650238037,0.4375
18.0,4.355185508728027,0.40625
19.0,4.596475124359131,0.375
20.0,3.162976026535034,0.59375
21.0,4.8593316078186035,0.34375
22.0,4.773417949676514,0.34375
23.0,4.283185005187988,0.4375
24.0,3.168262243270874,0.53125
25.0,2.1899991035461426,0.6875
26.0,3.4763495922088623,0.5
27.0,3.227177143096924,0.5625
28.0,3.286982536315918,0.5625
29.0,3.1057920455932617,0.53125
30.0,4.117486953735352,0.4375
31.0,3.692075490951538,0.46875
32.0,2.166245222091675,0.6875
33.0,3.2808589935302734,0.53125
34.0,3.4832427501678467,0.53125
35.0,3.0058095455169678,0.625
36.0,3.60418701171875,0.46875
37.0,3.6727893352508545,0.46875
38.0,4.604804039001465,0.375
39.0,4.071480751037598,0.40625
40.0,4.450942039489746,0.375
41.0,4.568889141082764,0.34375
42.0,2.8002805709838867,0.59375
43.0,4.301412105560303,0.40625
44.0,2.9867279529571533,0.5625
45.0,3.0398120880126953,0.53125
46.0,3.6728909015655518,0.46875
47.0,4.2340192794799805,0.46875
48.0,3.652907371520996,0.5
49.0,3.6941914558410645,0.46875
50.0,3.0546929836273193,0.59375
51.0,2.2111144065856934,0.6875
52.0,3.973989248275757,0.4375
53.0,4.357888698577881,0.40625
54.0,3.855443239212036,0.40625
55.0,4.8715314865112305,0.3125
56.0,2.719087600708008,0.5625
57.0,2.4964046478271484,0.65625
58.0,4.152186870574951,0.40625
59.0,3.171949863433838,0.5625
60.0,3.7506887912750244,0.5
61.0,3.1829617023468018,0.46875
62.0,4.055418014526367,0.40625
63.0,4.693239212036133,0.375
64.0,3.2315309047698975,0.5625
65.0,3.2390408515930176,0.5
66.0,4.159006118774414,0.4375
67.0,2.9254395961761475,0.5
68.0,3.5901827812194824,0.53125
69.0,3.150285482406616,0.5625
70.0,2.9439857006073,0.59375
71.0,3.139580488204956,0.53125
72.0,4.480163097381592,0.40625
73.0,4.456323623657227,0.375
74.0,3.1214122772216797,0.53125
75.0,3.0788965225219727,0.5625
76.0,3.0586049556732178,0.5625
77.0,3.923189401626587,0.46875
78.0,2.0786306858062744,0.71875
79.0,4.234683990478516,0.3125
80.0,3.4551889896392822,0.46875
81.0,3.535642623901367,0.5
82.0,4.311182498931885,0.375
83.0,4.541812896728516,0.28125
84.0,2.7105464935302734,0.59375
85.0,2.8804726600646973,0.59375
86.0,4.0952653884887695,0.4375
87.0,3.397780656814575,0.5
88.0,2.788516044616699,0.5625
89.0,2.484038829803467,0.625
90.0,3.92266583442688,0.46875
91.0,2.3539113998413086,0.65625
92.0,3.204380512237549,0.53125
93.0,3.4386651515960693,0.46875
94.0,4.169803142547607,0.34375
95.0,3.581637382507324,0.46875
96.0,2.731513023376465,0.625
97.0,3.64005184173584,0.4375
98.0,3.4327259063720703,0.46875
99.0,4.017773628234863,0.4375
100.0,3.569753408432007,0.5
