step,target_ce,target_accuracy
1.0,4.032062530517578,0.5
2.0,4.240138530731201,0.46875
3.0,4.100681304931641,0.4375
4.0,4.2779741287231445,0.46875
5.0,3.3634016513824463,0.5
6.0,3.1413798332214355,0.5625
7.0,3.6753666400909424,0.46875
8.0,3.0203208923339844,0.5625
9.0,4.593644142150879,0.375
10.0,2.459618091583252,0.59375
11.0,3.696455478668213,0.5
12.0,4.140740394592285,0.4375
13.0,2.003889799118042,0.71875
14.0,3.678985357284546,0.46875
15.0,2.829254150390625,0.59375
16.0,4.097087383270264,0.40625
17.0,3.7943639755249023,0.4375
18.0,4.229596138000488,0.40625
19.0,4.4893412590026855,0.375
20.0,3.0560765266418457,0.59375
21.0,4.677764415740967,0.34375
22.0,4.601053237915039,0.34375
23.0,4.14562463760376,0.4375
24.0,3.0323047637939453,0.5
25.0,2.079663038253784,0.6875
26.0,3.4109485149383545,0.5
27.0,3.0308241844177246,0.5625
28.0,3.136077642440796,0.5625
29.0,2.9045934677124023,0.53125
30.0,3.8703815937042236,0.4375
31.0,3.5175936222076416,0.4375
32.0,2.0764410495758057,0.6875
33.0,3.0676097869873047,0.53125
34.0,3.1862730979919434,0.53125
35.0,2.7761640548706055,0.625
36.0,3.3647665977478027,0.46875
37.0,3.276554584503174,0.46875
38.0,4.177104949951172,0.34375
39.0,3.4646244049072266,0.40625
40.0,3.953685998916626,0.375
41.0,3.9254188537597656,0.34375
42.0,2.459110736846924,0.59375
43.0,3.7696499824523926,0.40625
44.0,2.502016544342041,0.5625
45.0,2.5636215209960938,0.53125
46.0,3.186408758163452,0.46875
47.0,3.626242160797119,0.40625
48.0,3.0531346797943115,0.5
49.0,3.0035758018493652,0.46875
50.0,2.417227268218994,0.59375
51.0,1.7857402563095093,0.6875
52.0,3.199582099914551,0.375
53.0,3.446629524230957,0.40625
54.0,2.8806819915771484,0.40625
55.0,3.763631820678711,0.3125
56.0,2.1913301944732666,0.5625
57.0,2.0007433891296387,0.65625
58.0,3.1051793098449707,0.40625
59.0,2.301513910293579,0.5625
60.0,2.788740634918213,0.46875
61.0,2.5563762187957764,0.46875
62.0,2.7979955673217773,0.40625
63.0,3.0912067890167236,0.34375
64.0,2.2371695041656494,0.53125
65.0,2.1098740100860596,0.5625
66.0,2.998666286468506,0.40625
67.0,1.9550994634628296,0.5625
68.0,2.5172321796417236,0.46875
69.0,1.9452627897262573,0.5625
70.0,1.8687727451324463,0.59375
71.0,2.043180227279663,0.53125
72.0,2.8347623348236084,0.40625
73.0,2.528642177581787,0.375
74.0,2.145850896835327,0.53125
75.0,1.6245265007019043,0.5625
76.0,1.767080545425415,0.5625
77.0,2.289447069168091,0.46875
78.0,1.0827789306640625,0.71875
79.0,2.673240900039673,0.375
80.0,1.5114343166351318,0.46875
81.0,2.2316439151763916,0.4375
82.0,2.3350706100463867,0.40625
83.0,2.126331329345703,0.4375
84.0,1.203047275543213,0.59375
85.0,1.5030478239059448,0.53125
86.0,2.4260807037353516,0.4375
87.0,1.6192837953567505,0.53125
88.0,1.3558963537216187,0.5625
89.0,1.0124034881591797,0.65625
90.0,1.5782502889633179,0.4375
91.0,1.6370803117752075,0.65625
92.0,1.4194378852844238,0.5
93.0,1.5862481594085693,0.53125
94.0,1.8070489168167114,0.34375
95.0,1.6348294019699097,0.5625
96.0,1.3519835472106934,0.53125
97.0,1.385209321975708,0.53125
98.0,1.2351497411727905,0.5625
99.0,1.6771154403686523,0.40625
100.0,1.8819942474365234,0.4375
