true_class,true_gas,forced_route,forced_route_gas,N,mean_incremental_squared_ppm,primary_cost_squared_ppm,median_incremental_squared_ppm,p90_incremental_squared_ppm,mean_range_normalized_incremental_squared
0,Ethanol,0,Ethanol,80,0.0,0.0,0.0,0.0,0.0
0,Ethanol,1,CO,80,32344.96354143995,32344.96354143995,30620.34939381252,50624.13582449162,2.555651440311305
0,Ethanol,2,Ethylene,80,3431.091402809652,3431.091402809652,2478.9215716302565,7653.787906321541,0.27109857997508363
0,Ethanol,3,Methane,80,34131.2308111653,34131.2308111653,32867.936837127825,51202.967866773186,2.69678860730195
1,CO,0,Ethanol,80,20761.74441872871,20761.74441872871,15720.967901370968,46280.54051609988,0.4101085317279745
1,CO,1,CO,80,0.0,0.0,0.0,0.0,0.0
1,CO,2,Ethylene,80,18394.98773437076,18394.98773437076,12598.06074750963,45091.987531716855,0.3633577824073237
1,CO,3,Methane,80,14066.460705224763,14066.460705224763,9991.426109439399,34083.92243519766,0.27785601393036574
2,Ethylene,0,Ethanol,80,3950.907080412874,3950.907080412874,2686.253755771899,9947.93699293155,0.31217043598323946
2,Ethylene,1,CO,80,34125.8681710135,34125.8681710135,32864.83997446179,51202.17707508737,2.696364892524523
2,Ethylene,2,Ethylene,80,0.0,0.0,0.0,0.0,0.0
2,Ethylene,3,Methane,80,4281.107817162455,4281.107817162455,2227.835873345952,9998.522889953756,0.3382603707387618
3,Methane,0,Ethanol,80,20270.35789485467,20270.35789485467,12651.273018226082,46269.96810150102,0.40040213125638857
3,Methane,1,CO,80,17303.931054899866,17303.931054899866,15555.125710272889,39933.538524527896,0.3418060455288862
3,Methane,2,Ethylene,80,6270.892879483545,6270.892879483545,2497.924289802696,15619.62730681248,0.12386948897745272
3,Methane,3,Methane,80,0.0,0.0,0.0,0.0,0.0
