filename,N,a0t_excess_squared_error_sum,a4_excess_squared_error_sum,a0t_minus_a4_excess_squared_error
B5_GCO_F010_R1.txt,17,0.0,0.0,0.0
B5_GCO_F010_R2.txt,17,0.0,0.0,0.0
B5_GCO_F020_R1.txt,17,0.0,0.0,0.0
B5_GCO_F020_R2.txt,17,0.0,0.0,0.0
B5_GCO_F030_R1.txt,18,0.0,0.0,0.0
B5_GCO_F030_R2.txt,16,0.0,0.0,0.0
B5_GCO_F040_R1.txt,18,0.0,0.0,0.0
B5_GCO_F040_R2.txt,16,0.0,0.0,0.0
B5_GCO_F050_R1.txt,17,0.0,0.0,0.0
B5_GCO_F050_R2.txt,17,0.0,0.0,0.0
B5_GCO_F060_R1.txt,15,0.0,0.0,0.0
B5_GCO_F060_R2.txt,19,0.0,0.0,0.0
B5_GCO_F070_R1.txt,19,0.0,0.0,0.0
B5_GCO_F070_R2.txt,15,0.0,25702.17513016234,-25702.17513016234
B5_GCO_F080_R1.txt,19,0.0,0.0,0.0
B5_GCO_F080_R2.txt,15,0.0,0.0,0.0
B5_GCO_F090_R1.txt,18,0.0,0.0,0.0
B5_GCO_F090_R2.txt,16,0.0,0.0,0.0
B5_GCO_F100_R1.txt,17,0.0,56406.25,-56406.25
B5_GCO_F100_R2.txt,17,0.0,0.0,0.0
B5_GEa_F010_R1.txt,18,56406.25,12656.25,43750.0
B5_GEa_F010_R2.txt,16,169209.8538728683,0.0,169209.8538728683
B5_GEa_F020_R1.txt,19,0.0,0.0,0.0
B5_GEa_F020_R2.txt,15,0.0,9989.390769078935,-9989.390769078935
B5_GEa_F030_R1.txt,17,0.0,0.0,0.0
B5_GEa_F030_R2.txt,17,0.0,7656.171042720284,-7656.171042720284
B5_GEa_F040_R1.txt,17,0.0,0.0,0.0
B5_GEa_F040_R2.txt,17,0.0,0.0,0.0
B5_GEa_F050_R1.txt,16,0.0,0.0,0.0
B5_GEa_F050_R2.txt,18,0.0,0.0,0.0
B5_GEa_F060_R1.txt,18,0.0,0.0,0.0
B5_GEa_F060_R2.txt,16,0.0,0.0,0.0
B5_GEa_F070_R1.txt,17,0.0,0.0,0.0
B5_GEa_F070_R2.txt,17,0.0,0.0,0.0
B5_GEa_F080_R1.txt,17,0.0,0.0,0.0
B5_GEa_F080_R2.txt,17,0.0,0.0,0.0
B5_GEa_F090_R1.txt,18,0.0,0.0,0.0
B5_GEa_F090_R2.txt,16,0.0,0.0,0.0
B5_GEa_F100_R1.txt,18,0.0,0.0,0.0
B5_GEa_F100_R2.txt,16,0.0,0.0,0.0
B5_GEy_F010_R1.txt,20,0.0,0.0,0.0
B5_GEy_F010_R2.txt,14,112812.5,0.0,112812.5
B5_GEy_F020_R1.txt,17,0.0,0.0,0.0
B5_GEy_F020_R2.txt,17,0.0,0.0,0.0
B5_GEy_F030_R1.txt,15,0.0,0.0,0.0
B5_GEy_F030_R2.txt,19,0.0,0.0,0.0
B5_GEy_F040_R1.txt,18,0.0,0.0,0.0
B5_GEy_F040_R2.txt,16,0.0,0.0,0.0
B5_GEy_F050_R1.txt,17,0.0,0.0,0.0
B5_GEy_F050_R2.txt,17,0.0,0.0,0.0
B5_GEy_F060_R1.txt,19,0.0,0.0,0.0
B5_GEy_F060_R2.txt,15,0.0,0.0,0.0
B5_GEy_F070_R1.txt,16,0.0,0.0,0.0
B5_GEy_F070_R2.txt,18,0.0,0.0,0.0
B5_GEy_F080_R1.txt,20,0.0,0.0,0.0
B5_GEy_F080_R2.txt,14,0.0,0.0,0.0
B5_GEy_F090_R1.txt,17,0.0,0.0,0.0
B5_GEy_F090_R2.txt,17,0.0,0.0,0.0
B5_GEy_F100_R1.txt,16,0.0,0.0,0.0
B5_GEy_F100_R2.txt,18,0.0,0.0,0.0
B5_GMe_F010_R1.txt,14,0.0,0.0,0.0
B5_GMe_F010_R2.txt,20,0.0,0.0,0.0
B5_GMe_F020_R1.txt,16,0.0,0.0,0.0
B5_GMe_F020_R2.txt,18,0.0,0.0,0.0
B5_GMe_F030_R1.txt,15,0.0,0.0,0.0
B5_GMe_F030_R2.txt,19,0.0,0.0,0.0
B5_GMe_F040_R1.txt,15,0.0,0.0,0.0
B5_GMe_F040_R2.txt,19,0.0,0.0,0.0
B5_GMe_F050_R1.txt,17,0.0,0.0,0.0
B5_GMe_F050_R2.txt,17,0.0,0.0,0.0
B5_GMe_F060_R1.txt,17,0.0,0.0,0.0
B5_GMe_F060_R2.txt,17,0.0,0.0,0.0
B5_GMe_F070_R1.txt,16,0.0,0.0,0.0
B5_GMe_F070_R2.txt,18,0.0,0.0,0.0
B5_GMe_F080_R1.txt,16,0.0,0.0,0.0
B5_GMe_F080_R2.txt,18,0.0,0.0,0.0
B5_GMe_F090_R1.txt,17,45251.19728028594,55509.83750187632,-10258.64022159038
B5_GMe_F090_R2.txt,17,0.0,0.0,0.0
B5_GMe_F100_R1.txt,18,0.0,12434.817594124082,-12434.817594124082
B5_GMe_F100_R2.txt,16,0.0,0.0,0.0
