identity,budget,class_id,gas,recall,f1
I0,20,0,Ethanol,0.9911764705882353,0.9926362297496317
I0,20,1,CO,0.9705882352941176,0.9579100145137881
I0,20,2,Ethylene,0.9705882352941176,0.9748892171344166
I0,20,3,Methane,0.9735294117647059,0.9807407407407408
I0,5,0,Ethanol,0.9441176470588235,0.9567809239940388
I0,5,1,CO,0.9411764705882353,0.9302325581395349
I0,5,2,Ethylene,0.9529411764705882,0.9487554904831624
I0,5,3,Methane,0.9676470588235294,0.9705014749262537
I1,20,0,Ethanol,0.9941176470588236,0.9825581395348837
I1,20,1,CO,0.9588235294117647,0.9616519174041299
I1,20,2,Ethylene,0.9441176470588235,0.9683257918552036
I1,20,3,Methane,0.9705882352941176,0.955137481910275
I1,5,0,Ethanol,0.9911764705882353,0.9796511627906976
I1,5,1,CO,0.9352941176470588,0.9535232383808097
I1,5,2,Ethylene,0.9823529411764705,0.9639249639249639
I1,5,3,Methane,0.9676470588235294,0.9791666666666667
I2,20,0,Ethanol,0.9941176470588236,0.9854227405247814
I2,20,1,CO,0.9764705882352941,0.9764705882352941
I2,20,2,Ethylene,0.9911764705882353,0.9882697947214076
I2,20,3,Methane,0.9735294117647059,0.9851190476190476
I2,5,0,Ethanol,0.9970588235294118,0.9658119658119659
I2,5,1,CO,0.9264705882352942,0.9388971684053651
I2,5,2,Ethylene,0.9411764705882353,0.9467455621301775
I2,5,3,Methane,0.9647058823529412,0.9776453055141581
