policy,class_id,gas,true_ppm,N,RMSE,MAE,Bias
argmax,0,Ethanol,12.5,34,62.13252558956017,18.225287686741925,18.225287686741925
cost,0,Ethanol,12.5,34,62.13252558956017,18.225287686741925,18.225287686741925
argmax,0,Ethanol,25.0,34,2.8688888411400786,2.1208609485200753,0.31688751153325917
cost,0,Ethanol,25.0,34,2.8688888411400786,2.1208609485200753,0.31688751153325917
argmax,0,Ethanol,37.5,34,6.977361522056071,4.232974320040311,4.232974320040311
cost,0,Ethanol,37.5,34,6.977361522056071,4.232974320040311,4.232974320040311
argmax,0,Ethanol,50.0,34,3.2646102552792304,2.2598893845663706,1.4187142468626357
cost,0,Ethanol,50.0,34,3.2646102552792304,2.2598893845663706,1.4187142468626357
argmax,0,Ethanol,62.5,34,3.3611042032675718,2.1614208341491357,1.5727446508526812
cost,0,Ethanol,62.5,34,3.3611042032675718,2.1614208341491357,1.5727446508526812
argmax,0,Ethanol,75.0,34,6.041465947959691,4.912498382952266,-3.220520996904447
cost,0,Ethanol,75.0,34,6.041465947959691,4.912498382952266,-3.220520996904447
argmax,0,Ethanol,87.5,34,5.304341668167816,4.330233981340623,3.3112379808415646
cost,0,Ethanol,87.5,34,5.304341668167816,4.330233981340623,3.3112379808415646
argmax,0,Ethanol,100.0,34,3.6754734425951656,2.5437776084877113,-0.8746868402443172
cost,0,Ethanol,100.0,34,3.6754734425951656,2.5437776084877113,-0.8746868402443172
argmax,0,Ethanol,112.5,34,6.868565624577179,5.18567261805974,-4.521675012436498
cost,0,Ethanol,112.5,34,6.868565624577179,5.18567261805974,-4.521675012436498
argmax,0,Ethanol,125.0,34,4.6407867295986565,2.8284239873739017,-2.8284239873739017
cost,0,Ethanol,125.0,34,4.6407867295986565,2.8284239873739017,-2.8284239873739017
argmax,1,CO,25.0,34,8.28310258219508,4.415633378675517,4.415633378675517
cost,1,CO,25.0,34,30.10831979796836,10.673867138778215,10.673867138778215
argmax,1,CO,50.0,34,19.020770629434455,14.47765250596751,-4.370436146491731
cost,1,CO,50.0,34,52.975531844060875,28.533513453242275,9.784903750455854
argmax,1,CO,75.0,34,16.298496057410965,13.348795365619102,-2.2992164141477094
cost,1,CO,75.0,34,16.298496057410965,13.348795365619102,-2.2992164141477094
argmax,1,CO,100.0,34,19.836625447424925,15.162822336219135,3.311542679435315
cost,1,CO,100.0,34,21.381929781763617,15.58452327642619,2.8898417392282583
argmax,1,CO,125.0,34,28.2944327622098,18.028692073853364,6.5718410117757236
cost,1,CO,125.0,34,27.69299496430167,17.875487677392936,6.725045408236155
argmax,1,CO,150.0,34,25.517808981760762,21.113904067101952,11.787476557782504
cost,1,CO,150.0,34,31.58892543284844,23.524524133960327,9.376856490924133
argmax,1,CO,175.0,34,11.870024471042354,9.678685277317971,0.6894920304955067
cost,1,CO,175.0,34,11.870024471042354,9.678685277317971,0.6894920304955067
