method,scope,class_id,recall,f1
Source-only,C1,0,1.0,0.9970674486803519
Source-only,C1,1,0.9941176470588236,0.9970501474926253
Source-only,C1,2,1.0,1.0
Source-only,C1,3,1.0,1.0
Source-only,C2,0,1.0,1.0
Source-only,C2,1,1.0,1.0
Source-only,C2,2,1.0,1.0
Source-only,C2,3,1.0,1.0
Source-only,C5,0,0.052941176470588235,0.0916030534351145
Source-only,C5,1,0.014705882352941176,0.028328611898016994
Source-only,C5,2,0.8823529411764706,0.49586776859504134
Source-only,C5,3,0.9647058823529412,0.8586387434554973
Source-only,C1+C2,0,1.0,0.9985315712187959
Source-only,C1+C2,1,0.9970588235294118,0.9985272459499264
Source-only,C1+C2,2,1.0,1.0
Source-only,C1+C2,3,1.0,1.0
Posthoc A0T-full,C1,0,1.0,0.6706114398422091
Posthoc A0T-full,C1,1,0.7764705882352941,0.7719298245614037
Posthoc A0T-full,C1,2,0.0058823529411764705,0.011695906432748537
Posthoc A0T-full,C1,3,1.0,1.0
Posthoc A0T-full,C2,0,1.0,0.7264957264957265
Posthoc A0T-full,C2,1,0.9529411764705882,0.8950276243093922
Posthoc A0T-full,C2,2,0.11764705882352941,0.21052631578947367
Posthoc A0T-full,C2,3,1.0,1.0
Posthoc A0T-full,C5,0,0.9911764705882353,0.9926362297496317
Posthoc A0T-full,C5,1,0.9705882352941176,0.9579100145137881
Posthoc A0T-full,C5,2,0.9705882352941176,0.9748892171344166
Posthoc A0T-full,C5,3,0.9735294117647059,0.9807407407407408
Posthoc A0T-full,C1+C2,0,1.0,0.6974358974358975
Posthoc A0T-full,C1+C2,1,0.8647058823529412,0.8352272727272728
Posthoc A0T-full,C1+C2,2,0.061764705882352944,0.11634349030470914
Posthoc A0T-full,C1+C2,3,1.0,1.0
Posthoc A4,C1,0,0.9941176470588236,0.9970501474926253
Posthoc A4,C1,1,1.0,0.9970674486803519
Posthoc A4,C1,2,1.0,1.0
Posthoc A4,C1,3,1.0,1.0
Posthoc A4,C2,0,1.0,0.9970674486803519
Posthoc A4,C2,1,1.0,1.0
Posthoc A4,C2,2,0.9941176470588236,0.9970501474926253
Posthoc A4,C2,3,1.0,1.0
Posthoc A4,C5,0,0.8735294117647059,0.9324960753532182
Posthoc A4,C5,1,0.8676470588235294,0.8309859154929577
Posthoc A4,C5,2,0.8676470588235294,0.8753709198813057
Posthoc A4,C5,3,0.9647058823529412,0.938483547925608
Posthoc A4,C1+C2,0,0.9970588235294118,0.9970588235294118
Posthoc A4,C1+C2,1,1.0,0.9985315712187959
Posthoc A4,C1+C2,2,0.9970588235294118,0.9985272459499264
Posthoc A4,C1+C2,3,1.0,1.0
Posthoc Target-head,C1,0,1.0,0.9970674486803519
Posthoc Target-head,C1,1,0.9941176470588236,0.9970501474926253
Posthoc Target-head,C1,2,1.0,1.0
Posthoc Target-head,C1,3,1.0,1.0
Posthoc Target-head,C2,0,1.0,1.0
Posthoc Target-head,C2,1,1.0,1.0
Posthoc Target-head,C2,2,1.0,1.0
Posthoc Target-head,C2,3,1.0,1.0
Posthoc Target-head,C5,0,0.052941176470588235,0.0916030534351145
Posthoc Target-head,C5,1,0.014705882352941176,0.028328611898016994
Posthoc Target-head,C5,2,0.8823529411764706,0.49586776859504134
Posthoc Target-head,C5,3,0.9647058823529412,0.8586387434554973
Posthoc Target-head,C1+C2,0,1.0,0.9985315712187959
Posthoc Target-head,C1+C2,1,0.9970588235294118,0.9985272459499264
Posthoc Target-head,C1+C2,2,1.0,1.0
Posthoc Target-head,C1+C2,3,1.0,1.0
