step,target_ce,target_accuracy
1.0,3.9992189407348633,0.46875
2.0,4.18200159072876,0.46875
3.0,3.4737472534179688,0.53125
4.0,4.183971881866455,0.46875
5.0,2.2993521690368652,0.625
6.0,2.011341094970703,0.6875
7.0,3.052210807800293,0.53125
8.0,1.8598252534866333,0.625
9.0,2.9799013137817383,0.5625
10.0,2.137202024459839,0.6875
11.0,2.1623692512512207,0.65625
12.0,2.444164991378784,0.59375
13.0,1.3493436574935913,0.78125
14.0,1.345618486404419,0.75
15.0,1.6113560199737549,0.75
16.0,1.186445951461792,0.78125
17.0,1.1508768796920776,0.71875
18.0,1.5275834798812866,0.75
19.0,0.46254962682724,0.9375
20.0,1.1995036602020264,0.78125
21.0,1.2730250358581543,0.78125
22.0,1.3937509059906006,0.65625
23.0,1.4493420124053955,0.71875
24.0,0.7537344098091125,0.8125
25.0,0.6232469081878662,0.875
26.0,0.46657055616378784,0.90625
27.0,0.33013641834259033,0.90625
28.0,0.7600502967834473,0.875
29.0,0.2448028177022934,0.90625
30.0,0.23516763746738434,0.9375
31.0,0.5885732173919678,0.8125
32.0,0.11382398754358292,0.96875
33.0,0.3071633577346802,0.90625
34.0,0.2864096760749817,0.90625
35.0,0.018752148374915123,1.0
36.0,0.18500468134880066,0.9375
37.0,0.37016379833221436,0.9375
38.0,0.4461234211921692,0.90625
39.0,0.010457401163876057,1.0
40.0,0.19876140356063843,0.9375
41.0,0.1592569798231125,0.96875
42.0,0.16964277625083923,0.96875
43.0,0.11768735200166702,0.9375
44.0,0.28458932042121887,0.90625
45.0,0.22165223956108093,0.9375
46.0,0.24331550300121307,0.96875
47.0,0.13150902092456818,0.9375
48.0,0.09810231626033783,0.96875
49.0,0.08813958615064621,0.96875
50.0,0.00318210874684155,1.0
51.0,0.08902719616889954,0.96875
52.0,0.0061507392674684525,1.0
53.0,0.004317793063819408,1.0
54.0,0.23872916400432587,0.90625
55.0,0.007118660490959883,1.0
56.0,0.05685001611709595,0.96875
57.0,0.04877939075231552,0.96875
58.0,0.1175244152545929,0.96875
59.0,0.1358155757188797,0.90625
60.0,0.02173621580004692,1.0
61.0,0.030779313296079636,0.96875
62.0,0.011144050396978855,1.0
63.0,0.17016038298606873,0.9375
64.0,0.025007300078868866,0.96875
65.0,0.019164031371474266,1.0
66.0,0.03264110907912254,1.0
67.0,0.020483125001192093,1.0
68.0,0.0027180814649909735,1.0
69.0,0.03386924788355827,1.0
70.0,0.09493714570999146,0.9375
71.0,0.00903668999671936,1.0
72.0,0.08838578313589096,0.96875
73.0,0.020460190251469612,1.0
74.0,0.008535419590771198,1.0
75.0,0.007450584787875414,1.0
76.0,0.020448889583349228,1.0
77.0,0.018422678112983704,1.0
78.0,0.004507787059992552,1.0
79.0,0.05340556055307388,0.96875
80.0,0.019977953284978867,1.0
81.0,0.014451866038143635,1.0
82.0,0.004519321024417877,1.0
83.0,0.018115460872650146,1.0
84.0,0.011931699700653553,1.0
85.0,0.007104900665581226,1.0
86.0,0.02851749025285244,1.0
87.0,0.015843158587813377,1.0
88.0,0.01151813194155693,1.0
89.0,0.0106771569699049,1.0
90.0,0.04575927555561066,0.96875
91.0,0.0058788214810192585,1.0
92.0,0.013213349506258965,1.0
93.0,0.0035942760296165943,1.0
94.0,0.019908521324396133,1.0
95.0,0.0034013090189546347,1.0
96.0,0.010975820943713188,1.0
97.0,0.027290863916277885,1.0
98.0,0.0022839768789708614,1.0
99.0,0.023162055760622025,1.0
100.0,0.010564274154603481,1.0
