step,val_loss,coral_loss,mmd_global,mmd_class,adv_loss,proto_anchor,proto_loss,consist_loss,residual_loss,mmd_proto_loss,stage_mmd_loss,align_reg_legacy_loss,target_ce_loss,target_ce_acc,weighted_coral_loss,weighted_mmd_global,weighted_mmd_class,weighted_adv_loss,weighted_proto_anchor,weighted_proto_loss,weighted_consist_loss,weighted_residual_loss,weighted_mmd_proto_loss,weighted_stage_mmd_loss,weighted_align_reg_legacy_loss,weighted_target_ce_loss,total_loss
1.0,0.024023644626140594,1.1243611879763193e-05,0.11773312091827393,0.453431636095047,0.006578722037374973,0.0,0.0,0.0,0.0,0.0,0.5603364706039429,0.0,0.0,0.0,5.621805939881597e-06,0.05886656045913696,0.2267158180475235,0.0032893610186874866,0.0,0.0,0.0,0.0,0.0,0.11206729710102081,0.0,0.0,0.42496830224990845
2.0,0.0010909362463280559,6.743552603438729e-06,0.21636754274368286,0.5983728170394897,0.017889846116304398,0.0,0.0,0.0,0.0,0.0,0.6771717071533203,0.0,0.0,0.0,3.3717763017193647e-06,0.10818377137184143,0.2991864085197449,0.008944923058152199,0.0,0.0,0.0,0.0,0.0,0.1354343444108963,0.0,0.0,0.5528437495231628
3.0,0.020854266360402107,1.050651007972192e-05,0.05093848705291748,0.30764874815940857,0.00902114249765873,0.0,0.0,0.0,0.0,0.0,0.39553651213645935,0.0,0.0,0.0,5.25325503986096e-06,0.02546924352645874,0.15382437407970428,0.004510571248829365,0.0,0.0,0.0,0.0,0.0,0.07910730689764023,0.0,0.0,0.28377100825309753
4.0,0.0027812961488962173,3.8901316656847484e-06,0.15631777048110962,0.5503729581832886,0.0188144538551569,0.0,0.0,0.0,0.0,0.0,0.6746016144752502,0.0,0.0,0.0,1.9450658328423742e-06,0.07815888524055481,0.2751864790916443,0.00940722692757845,0.0,0.0,0.0,0.0,0.0,0.13492032885551453,0.0,0.0,0.5004561543464661
5.0,0.022582948207855225,7.507567715947516e-06,0.16031956672668457,0.4797111451625824,0.016924789175391197,0.0,0.0,0.0,0.0,0.0,0.5444405674934387,0.0,0.0,0.0,3.753783857973758e-06,0.08015978336334229,0.2398555725812912,0.008462394587695599,0.0,0.0,0.0,0.0,0.0,0.10888811200857162,0.0,0.0,0.45995259284973145
6.0,0.021130304783582687,7.363682016148232e-06,0.06092274188995361,0.2675173878669739,0.009260684251785278,0.0,0.0,0.0,0.0,0.0,0.3065200448036194,0.0,0.0,0.0,3.681841008074116e-06,0.030461370944976807,0.13375869393348694,0.004630342125892639,0.0,0.0,0.0,0.0,0.0,0.061304010450839996,0.0,0.0,0.25128841400146484
7.0,0.028613418340682983,1.124548725783825e-05,0.19561976194381714,0.3766174912452698,0.005727260373532772,0.0,0.0,0.0,0.0,0.0,0.47687414288520813,0.0,0.0,0.0,5.622743628919125e-06,0.09780988097190857,0.1883087456226349,0.002863630186766386,0.0,0.0,0.0,0.0,0.0,0.09537483006715775,0.0,0.0,0.41297611594200134
8.0,0.007000460289418697,8.95104676601477e-06,0.0988917350769043,0.3518383204936981,0.019061990082263947,0.0,0.0,0.0,0.0,0.0,0.3860737085342407,0.0,0.0,0.0,4.475523383007385e-06,0.04944586753845215,0.17591916024684906,0.009530995041131973,0.0,0.0,0.0,0.0,0.0,0.07721474021673203,0.0,0.0,0.31911569833755493
9.0,0.0012542640324681997,9.64042374107521e-06,0.11330676078796387,0.4168962240219116,0.03210258483886719,0.0,0.0,0.0,0.0,0.0,0.5313917994499207,0.0,0.0,0.0,4.820211870537605e-06,0.056653380393981934,0.2084481120109558,0.016051292419433594,0.0,0.0,0.0,0.0,0.0,0.10627835988998413,0.0,0.0,0.3886902332305908
10.0,0.0012750320602208376,1.1924916179850698e-05,0.23455500602722168,0.3455413281917572,0.0344972088932991,0.0,0.0,0.0,0.0,0.0,0.7099797129631042,0.0,0.0,0.0,5.962458089925349e-06,0.11727750301361084,0.1727706640958786,0.01724860444664955,0.0,0.0,0.0,0.0,0.0,0.14199595153331757,0.0,0.0,0.4505736827850342
11.0,0.040639277547597885,1.1175908184668515e-05,0.16231638193130493,0.3584500253200531,0.04467576742172241,0.0,0.0,0.0,0.0,0.0,0.333965539932251,0.0,0.0,0.0,5.5879540923342574e-06,0.08115819096565247,0.17922501266002655,0.022337883710861206,0.0,0.0,0.0,0.0,0.0,0.06679310649633408,0.0,0.0,0.39015907049179077
12.0,0.0013172952458262444,9.189613592752721e-06,0.13153403997421265,0.3306604325771332,0.05145531892776489,0.0,0.0,0.0,0.0,0.0,0.4985504150390625,0.0,0.0,0.0,4.594806796376361e-06,0.06576701998710632,0.1653302162885666,0.025727659463882446,0.0,0.0,0.0,0.0,0.0,0.09971008449792862,0.0,0.0,0.3578568696975708
