method,scope,N,accuracy,macro_f1,nll,ece,checkpoint_sha256
Source-only,C1,680,0.9985294117647059,0.9985293990432443,0.011231897386190102,0.0007844126399825235,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
Source-only,C2,680,1.0,1.0,0.0006464030023699687,0.0006461313542197589,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
Source-only,C5,1360,0.4786764705882353,0.36860954434591753,4.082857309767214,0.5057970133993556,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
Source-only,C1+C2,1360,0.9992647058823529,0.9992647042921805,0.0059391501942800354,6.914064288143784e-05,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
Posthoc A0T-full,C1,680,0.6955882352941176,0.6135592927090903,2.4179932287150585,0.29943099319934846,857f3954003bffad1af716002a1bd2915923389faec31b69f5c72e563aaa212c
Posthoc A0T-full,C2,680,0.7676470588235295,0.7080124166486481,1.7681724477130791,0.22561719978556913,857f3954003bffad1af716002a1bd2915923389faec31b69f5c72e563aaa212c
Posthoc A0T-full,C5,1360,0.9764705882352941,0.9765440505346443,0.07129153653030822,0.010052415575174703,857f3954003bffad1af716002a1bd2915923389faec31b69f5c72e563aaa212c
Posthoc A0T-full,C1+C2,1360,0.7316176470588235,0.6622516651169699,2.093082838214069,0.2625240964924588,857f3954003bffad1af716002a1bd2915923389faec31b69f5c72e563aaa212c
Posthoc A4,C1,680,0.9985294117647059,0.9985293990432443,0.011246079051047145,0.00032639196690397034,96f146a628f85c324cc2c2ae93b5e0d726a3e92208f2eca66c5468980e1a270b
Posthoc A4,C2,680,0.9985294117647059,0.9985293990432443,0.006964938396392264,0.0013913911931655147,96f146a628f85c324cc2c2ae93b5e0d726a3e92208f2eca66c5468980e1a270b
Posthoc A4,C5,1360,0.8933823529411765,0.8943341146632724,0.6010787320433085,0.08962174553204985,96f146a628f85c324cc2c2ae93b5e0d726a3e92208f2eca66c5468980e1a270b
Posthoc A4,C1+C2,1360,0.9985294117647059,0.9985294101745334,0.009105508723719704,0.0008281528511468147,96f146a628f85c324cc2c2ae93b5e0d726a3e92208f2eca66c5468980e1a270b
Posthoc Target-head,C1,680,0.9985294117647059,0.9985293990432443,0.01139319738756176,0.0005874207791159991,8af3a4a011d212c7002dade55e594afce9f82acab46145b33c68e381da44d3bf
Posthoc Target-head,C2,680,1.0,1.0,0.00083360340231938,0.0008332104367367865,8af3a4a011d212c7002dade55e594afce9f82acab46145b33c68e381da44d3bf
Posthoc Target-head,C5,1360,0.4786764705882353,0.36860954434591753,3.7428366185935293,0.5037585428094162,8af3a4a011d212c7002dade55e594afce9f82acab46145b33c68e381da44d3bf
Posthoc Target-head,C1+C2,1360,0.9992647058823529,0.9992647042921805,0.00611340039494057,0.00012289482881044922,8af3a4a011d212c7002dade55e594afce9f82acab46145b33c68e381da44d3bf
