method,quantile,confidence
A0T-5L,0.0,0.47435447573661804
A0T-5L,0.25,0.9978044331073761
A0T-5L,0.5,0.9988008141517639
A0T-5L,0.75,0.9992280900478363
A0T-5L,0.9,0.9996290564537048
A0T-5L,0.95,0.9996347486972809
A0T-5L,1.0,0.999656081199646
MME-compatible-5L15U,0.0,0.40951016545295715
MME-compatible-5L15U,0.25,0.9977356642484665
MME-compatible-5L15U,0.5,0.998837947845459
MME-compatible-5L15U,0.75,0.9992148578166962
MME-compatible-5L15U,0.9,0.9994482874870301
MME-compatible-5L15U,0.95,0.9994664788246155
MME-compatible-5L15U,1.0,0.9995349645614624
GAPS-SSDA-5L15U,0.0,0.43049392104148865
GAPS-SSDA-5L15U,0.25,0.9800336509943008
GAPS-SSDA-5L15U,0.5,0.996616005897522
GAPS-SSDA-5L15U,0.75,0.999232679605484
GAPS-SSDA-5L15U,0.9,0.9996369242668152
GAPS-SSDA-5L15U,0.95,0.999642139673233
GAPS-SSDA-5L15U,1.0,0.9996516704559326
