method,class_id,precision,recall,f1
A0T-5L,0,0.9697885196374623,0.9441176470588235,0.9567809239940388
A0T-5L,1,0.9195402298850575,0.9411764705882353,0.9302325581395349
A0T-5L,2,0.9446064139941691,0.9529411764705882,0.9487554904831624
A0T-5L,3,0.9733727810650887,0.9676470588235294,0.9705014749262537
MME-compatible-5L15U,0,0.9626436781609196,0.9852941176470589,0.9738372093023256
MME-compatible-5L15U,1,0.961764705882353,0.961764705882353,0.961764705882353
MME-compatible-5L15U,2,0.9791044776119403,0.9647058823529412,0.9718518518518519
MME-compatible-5L15U,3,0.9792284866468842,0.9705882352941176,0.9748892171344166
GAPS-SSDA-5L15U,0,0.9744408945686901,0.8970588235294118,0.9341500765696784
GAPS-SSDA-5L15U,1,0.9105960264900662,0.8088235294117647,0.8566978193146416
GAPS-SSDA-5L15U,2,0.8126520681265207,0.9823529411764705,0.8894806924101198
GAPS-SSDA-5L15U,3,0.9850299401197605,0.9676470588235294,0.9762611275964392
