grid_index,tau,lambda_u,fold,train_labeled_N,validation_labeled_N,unlabeled_N,validation_macro_f1,validation_nll,mean_step_acceptance,adaptation_seconds,target_test_accessed
0,0.9,0.25,0,40,40,240,0.6858066502463054,1.682936832376928,0.939375,21.175746700027958,False
0,0.9,0.25,1,40,40,240,0.7253787878787878,0.9354272860062132,0.9240625,23.2202430999605,False
1,0.9,0.5,0,40,40,240,0.6217726220923152,1.749948607397966,0.9471875,20.783524799975567,False
1,0.9,0.5,1,40,40,240,0.6851228555082511,0.9714469657958251,0.9290625,21.963517399970442,False
2,0.9,1.0,0,40,40,240,0.5796940128836681,2.403321618498336,0.95,17.727051499998197,False
2,0.9,1.0,1,40,40,240,0.5746738067916188,1.1624665484945176,0.9365625,22.077262499951757,False
3,0.95,0.25,0,40,40,240,0.6808373590982286,1.8163866521026342,0.915625,25.024306099978276,False
3,0.95,0.25,1,40,40,240,0.7682525807525808,0.8855734708019414,0.9009375,20.027477200026624,False
4,0.95,0.5,0,40,40,240,0.6428054298642534,2.0583282037788444,0.931875,16.136665199999698,False
4,0.95,0.5,1,40,40,240,0.6944444444444444,0.8112352013096883,0.9209375,22.053332300041802,False
5,0.95,1.0,0,40,40,240,0.5820990603599299,1.629831241345417,0.9225,22.01510129997041,False
5,0.95,1.0,1,40,40,240,0.546685606060606,1.2844485783342012,0.9096875,20.2925909999758,False
