round,client_id,logical_downlink_bytes,logical_uplink_bytes,application_downlink_bytes,application_uplink_bytes,application_total_bytes
1,C1,154941,184386,155244,185168,340412
1,C2,154941,166055,155244,166834,322078
2,C1,175978,183866,176335,184706,361041
2,C2,175978,166836,176335,167673,344008
3,C1,175940,182844,176297,183684,359981
3,C2,175940,166866,176297,167703,344000
4,C1,175874,182720,176231,183560,359791
4,C2,175874,166870,176231,167707,343938
5,C1,175852,182973,176209,183813,360022
5,C2,175852,166875,176209,167712,343921
6,C1,175855,183472,176212,184312,360524
6,C2,175855,166885,176212,167722,343934
7,C1,175824,184164,176181,185004,361185
7,C2,175824,166798,176181,167635,343816
8,C1,175838,183915,176195,184755,360950
8,C2,175838,166807,176195,167644,343839
9,C1,175808,184253,176165,185093,361258
9,C2,175808,166895,176165,167732,343897
10,C1,175787,184284,176144,185124,361268
10,C2,175787,166810,176144,167647,343791
11,C1,175748,184276,176105,185116,361221
11,C2,175748,166830,176105,167667,343772
12,C1,175750,184268,176107,185108,361215
12,C2,175750,166848,176107,167685,343792
13,C1,175718,184182,176075,185022,361097
13,C2,175718,166840,176075,167677,343752
14,C1,175723,184256,176080,185096,361176
14,C2,175723,166773,176080,167610,343690
15,C1,175721,184164,176078,185004,361082
15,C2,175721,166777,176078,167614,343692
16,C1,175716,184082,176073,184922,360995
16,C2,175716,166788,176073,167625,343698
17,C1,175711,184000,176068,184840,360908
17,C2,175711,166721,176068,167558,343626
18,C1,175709,184028,176066,184868,360934
18,C2,175709,166730,176066,167567,343633
19,C1,175685,183965,176042,184805,360847
19,C2,175685,166691,176042,167528,343570
20,C1,175680,183965,176037,184805,360842
20,C2,175680,166722,176037,167559,343596
21,C1,175691,183885,176048,184725,360773
21,C2,175691,166722,176048,167559,343607
22,C1,175675,183989,176032,184829,360861
22,C2,175675,166711,176032,167548,343580
23,C1,175685,183885,176042,184725,360767
23,C2,175685,166702,176042,167539,343581
24,C1,175686,183893,176043,184733,360776
24,C2,175686,166712,176043,167549,343592
25,C1,175684,183868,176041,184708,360749
25,C2,175684,166694,176041,167531,343572
